place_id,place_name,about,link
ChIJRXam6OVFYDkRMY0eVoCByOM,Jama Masjid Chhota Udepur,All,https://lh5.googleusercontent.com/p/AF1QipMBlWNw-ulpyx8QclvGs36oc8bu1RdYjNA1Opu7=w397-h298-k-no
ChIJRXam6OVFYDkRMY0eVoCByOM,Jama Masjid Chhota Udepur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Q3nWX0Y9TmVtHMIo5ZeqmA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=297.4466&pitch=0&thumbfov=100
ChIJRXam6OVFYDkRMY0eVoCByOM,Jama Masjid Chhota Udepur,Videos,https://lh5.googleusercontent.com/p/AF1QipPsesnosXfkqA7IWNQYzLDzosDAfnSqUc_R2vUY=w529-h298-k-no
ChIJHcpH55RFYDkRFs5AA1igs7E,Kausar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO15K1C1nTzxS-Od3bWlP60eSTTG319UKM6MRmQ=w397-h298-k-no
ChIJHcpH55RFYDkRFs5AA1igs7E,Kausar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I-v4v6HQg2d8gUqWKvFBeA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=302.82065&pitch=0&thumbfov=100
ChIJw0EmquxFYDkRIRRPMSF7iqM,Bab-E-Haram Masjid (Markaz Masjid),All,https://lh5.googleusercontent.com/p/AF1QipNjHWSfXRMY-eH4rzkiWn4UvOlUVzAzhJbeX39Q=w397-h298-k-no
ChIJw0EmquxFYDkRIRRPMSF7iqM,Bab-E-Haram Masjid (Markaz Masjid),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2XmWqP8CGG5MVLlJ9sjL4Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=294.23764&pitch=0&thumbfov=100
ChIJd3s1V-hFYDkRQvNAA7_DuwI,Noor E Muhammadi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipORjR0z7n3wpbPc8JmJsCfTHEtZYYybwrPAm5kz=w224-h398-k-no
ChIJd3s1V-hFYDkRQvNAA7_DuwI,Noor E Muhammadi Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cDv4IBm3PZxV93uIlK6ItA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=203.72688&pitch=0&thumbfov=100
ChIJOaXafuxFYDkR4MYXBaflgYI,Nurul islaam masjid,All,https://lh5.googleusercontent.com/p/AF1QipMzn-3iCyFHtzHeOp8TwYyFtYaq82zLqwpemNyp=w224-h398-k-no
ChIJOaXafuxFYDkR4MYXBaflgYI,Nurul islaam masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_5a2tWqQMIBKb6KjW6FgDg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=15.362155&pitch=0&thumbfov=100
ChIJOaXafuxFYDkR4MYXBaflgYI,Nurul islaam masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMzn-3iCyFHtzHeOp8TwYyFtYaq82zLqwpemNyp=w224-h398-k-no
ChIJKdbbBeVFYDkRo34GeTiP7Ys,Saifee Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO6tD-jm-ycV9M_U5XsdBdePBdl2fJReSv9JmJb=w529-h298-k-no
ChIJKdbbBeVFYDkRo34GeTiP7Ys,Saifee Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMDSxMkBX82hU4boMeXe8m4_MeHhSvOl1-UnR4o=w224-h298-k-no-pi-10-ya265-ro-0-fo100
ChIJsVKVsu5FYDkRwG65IK0Yxrw,Bhora Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPsCOYdiWTO9_gtAWcBtPR3W_zibl65_mbWB8m6=w529-h298-k-no
ChIJsVKVsu5FYDkRwG65IK0Yxrw,Bhora Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipO8F-uvY_JFZcKv6b5OSmbuqHYA6TZTDORiC5xU=w224-h298-k-no-pi-0-ya91.99999-ro-0-fo100
ChIJCYd96wdFYDkRgNpIaYjC6KQ,Masjide Raza,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d2I8YMJJupnaX_uLKsTl9w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=52.716995&pitch=0&thumbfov=100
ChIJCYd96wdFYDkRgNpIaYjC6KQ,Masjide Raza,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d2I8YMJJupnaX_uLKsTl9w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=52.716995&pitch=0&thumbfov=100
ChIJFXtYREJFYDkRELc8Zxpm_To,cistiyaa msjid,All,https://lh5.googleusercontent.com/p/AF1QipP7WQorJb4LK-RAUXozbFWMYpdgPM9XgAnF4vvN=w224-h482-k-no
ChIJFXtYREJFYDkRELc8Zxpm_To,cistiyaa msjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=geyytNzGSh3j6zVD1wAuaA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=288.54086&pitch=0&thumbfov=100
ChIJ-aYaEMFFYDkRo9aEEzJBLOM,Madrasa Chhotaudepur,All,https://lh5.googleusercontent.com/p/AF1QipOGWXcBRGweEzFdfs_Anzozyq16yY-18CjXOsaR=w224-h298-k-no
ChIJ-aYaEMFFYDkRo9aEEzJBLOM,Madrasa Chhotaudepur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e6UXPtMcNDMJeYjECg3w4Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=108.99982&pitch=0&thumbfov=100
ChIJCdLEyKVFYDkReme0zgN-QLM,Marka Masjid Maa,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yqa1XX5brjW04Z1sGBEb3A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=60.245823&pitch=0&thumbfov=100
ChIJCdLEyKVFYDkReme0zgN-QLM,Marka Masjid Maa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yqa1XX5brjW04Z1sGBEb3A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=60.245823&pitch=0&thumbfov=100
ChIJfzEHl7BFYDkR--iIzTlPnLg,Eidgah,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VzW3Z8K5fgghAot6hKNLKg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=301.24112&pitch=0&thumbfov=100
ChIJfzEHl7BFYDkR--iIzTlPnLg,Eidgah,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VzW3Z8K5fgghAot6hKNLKg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=301.24112&pitch=0&thumbfov=100
ChIJtZahp5NFYDkRmesYCkQfe60,Kasba Jama Masjid khanqah Qutbiya Rabbani,All,https://lh5.googleusercontent.com/p/AF1QipP7A-8ONMJtTrUvx-11XfmGFlGunOaxb7sbl2z1=w612-h298-k-no
ChIJtZahp5NFYDkRmesYCkQfe60,Kasba Jama Masjid khanqah Qutbiya Rabbani,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fhvkuFcKsWOA4YtuK3rCSQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=284.32608&pitch=0&thumbfov=100
