name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid Center,Cultural center,"R9G4+VX2 Masjid Center, Polimera Rd, Wood Nagar Colony, Chirala, Andhra Pradesh 523155",Wood Nagar Colony,"R9G4+VX2, Polimera Rd",Chirala,523155,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid+Center/data=!4m7!3m6!1s0x3a4a4418f533ee53:0xd4ef4a15bf963ee1!8m2!3d15.8271488!4d80.3574056!16s%2Fg%2F1tfhy017!19sChIJU-4z9RhESjoR4T6WvxVK79Q?authuser=0&hl=en&rclk=1,"15.8271488,80.35740559999999"
Juma Masjid,Mosque,"R9G4+RXC Juma Masjid, Polimera Rd, Wood Nagar Colony, Chirala, Andhra Pradesh 523155",Wood Nagar Colony,"R9G4+RXC, Polimera Rd",Chirala,523155,Andhra Pradesh,IN,https://www.google.com/maps/place/Juma+Masjid/data=!4m7!3m6!1s0x3a4a44185f3a1d0f:0x54c8be6e330d874e!8m2!3d15.8270743!4d80.3574036!16s%2Fg%2F1q6clmgq2!19sChIJDx06XxhESjoRTocNM26-yFQ?authuser=0&hl=en&rclk=1,"15.8270743,80.3574036"
"Jamia Masjid, Islam Peta - 2",Mosque,"Jamia Masjid, Islam Peta - 2, Islam peta-2,, Chirala, Andhra Pradesh",R.K Puram,"Islam peta-2,",Chirala,,Andhra Pradesh,IN,"https://www.google.com/maps/place/Jamia+Masjid,+Islam+Peta+-+2/data=!4m7!3m6!1s0x3a4a443c857be415:0x16b6b8cb6fa4a6b8!8m2!3d15.8199035!4d80.3525842!16s%2Fg%2F11c3n2pbh6!19sChIJFeR7hTxESjoRuKakb8u4thY?authuser=0&hl=en&rclk=1","15.819903499999999,80.3525842"
Masjid-A-Aksa,Mosque,"R976+QR6 Masjid-A-Aksa, Papay Palem Rd, Kothapeta, Chirala, Andhra Pradesh 523157",Kothapeta,"R976+QR6, Papay Palem Rd",Chirala,523157,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid-A-Aksa/data=!4m7!3m6!1s0x3a4a44263b25ad33:0xad3298bd5a7518f8!8m2!3d15.8144182!4d80.3620308!16s%2Fg%2F1q6bbjqjz!19sChIJM60lOyZESjoR-Bh1Wr2YMq0?authuser=0&hl=en&rclk=1,"15.814418199999999,80.3620308"
Masjid E Mommin (shaik Hussain BANO) founder,Mosque,"Masjid E Mommin (shaik Hussain BANO) founder, Bano Rahiman, Road, Vetapalem, Chirala, Andhra Pradesh 523187",,"Bano Rahiman, Road","Vetapalem, Chirala",523187,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid+E+Mommin+%28shaik+Hussain+BANO%29+founder/data=!4m7!3m6!1s0x3a4a45f96ee7f7df:0xd66f3f3aad810082!8m2!3d15.7759867!4d80.3034034!16s%2Fg%2F11g0480c9l!19sChIJ3_fnbvlFSjoRggCBrTo_b9Y?authuser=0&hl=en&rclk=1,"15.775986699999999,80.3034034"
Juma Masjid,Mosque,"R9P7+7FX Juma Masjid, Bapatla Rd, Perala, Chirala, Andhra Pradesh 523157",Perala,"R9P7+7FX, Bapatla Rd",Chirala,523157,Andhra Pradesh,IN,https://www.google.com/maps/place/Juma+Masjid/data=!4m7!3m6!1s0x3a4a441d1807bcff:0xddadde2e4280b6b5!8m2!3d15.835747!4d80.363741!16s%2Fg%2F1pyqfx249!19sChIJ_7wHGB1ESjoRtbaAQi7erd0?authuser=0&hl=en&rclk=1,"15.835747,80.36374099999999"
Masjid e Saleemia,Mosque,"Q8P3+5XP Masjid e Saleemia, Vetapalem, Chirala, Andhra Pradesh 523187",,Q8P3+5XP,"Vetapalem, Chirala",523187,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid+e+Saleemia/data=!4m7!3m6!1s0x3a4a4510d4270463:0x52b870868b6980ae!8m2!3d15.7854676!4d80.3049469!16s%2Fg%2F1td0dy18!19sChIJYwQn1BBFSjoRroBpi4ZwuFI?authuser=0&hl=en&rclk=1,"15.785467599999999,80.30494689999999"
Noor Masjid,Mosque,"R83J+6HP Noor Masjid, Jandrapeta, Jandrapeta Main Centre, Chirala, Andhra Pradesh 523165",Jandrapeta,R83J+6HP,"Jandrapeta Main Centre, Chirala",523165,Andhra Pradesh,IN,https://www.google.com/maps/place/Noor+Masjid/data=!4m7!3m6!1s0x3a4a445291be484f:0xc7f040087e4e356!8m2!3d15.8030904!4d80.3314381!16s%2Fg%2F1pyqjs46_!19sChIJT0i-kVJESjoRVuPkhwAEfww?authuser=0&hl=en&rclk=1,"15.803090399999999,80.3314381"
Khuduciya Masjid,Mosque,"R8JX+9WW Khuduciya Masjid, Gandhi nagar, Chirala, Andhra Pradesh 523155",Gandhi nagar,R8JX+9WW,Chirala,523155,Andhra Pradesh,IN,https://www.google.com/maps/place/Khuduciya+Masjid/data=!4m7!3m6!1s0x3a4a441152796d01:0xa5c520fa6b9d9348!8m2!3d15.83099!4d80.349839!16s%2Fg%2F11c6d_xg2y!19sChIJAW15UhFESjoRSJOda_ogxaU?authuser=0&hl=en&rclk=1,"15.83099,80.349839"
Mecca Mosque,Mosque,"R89W+J2Q Mecca Mosque, Nawabpet, Chirala, Andhra Pradesh 523155",Nawabpet,R89W+J2Q,Chirala,523155,Andhra Pradesh,IN,https://www.google.com/maps/place/Mecca+Mosque/data=!4m7!3m6!1s0x3a4a443f352b915b:0xde4ee88e62c80940!8m2!3d15.8190758!4d80.3451204!16s%2Fg%2F1vj5yn0r!19sChIJW5ErNT9ESjoRQAnIYo7oTt4?authuser=0&hl=en&rclk=1,"15.819075799999998,80.3451204"
