name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
"Buddha Temple,",Buddhist temple,"Buddha Temple,, New Basti, Clement Town, Dehradun, Bharu Wala Grant, Uttarakhand 248002","New Basti, Clement Town",,"Dehradun, Bharu Wala Grant",248002,Uttarakhand,IN,"https://www.google.com/maps/place/Buddha+Temple,/data=!4m7!3m6!1s0x39092bf2993050c1:0x87aaaea1a401b644!8m2!3d30.2597095!4d77.9967249!16s%2Fg%2F1td31dyk!19sChIJwVAwmfIrCTkRRLYBpKGuqoc?authuser=0&hl=en&rclk=1","30.2597095,77.99672489999999"
Mindrolling Monastery,Monastery,"Mindrolling Monastery, 3, Buddha Temple Road, New Basti, Clement Town, Dehradun, Bharu Wala Grant, Uttarakhand 248002","New Basti, Clement Town","3, Buddha Temple Road","Dehradun, Bharu Wala Grant",248002,Uttarakhand,IN,https://www.google.com/maps/place/Mindrolling+Monastery/data=!4m7!3m6!1s0x39092bf8c1f85db1:0x6c4a0325eba5dd46!8m2!3d30.2615418!4d77.99771!16s%2Fg%2F11c1ljkdqg!19sChIJsV34wfgrCTkRRt2l6yUDSmw?authuser=0&hl=en&rclk=1,"30.2615418,77.99771"
"Army Public School, Clement Town",CBSE School,"7275+R6G Army Public School, Clement Town, Army cant, Bharuwala Colony, Clement Town, Dehradun, Uttarakhand 248002","Bharuwala Colony, Clement Town",7275+R6G Army cant,Dehradun,248002,Uttarakhand,IN,"https://www.google.com/maps/place/Army+Public+School,+Clement+Town/data=!4m7!3m6!1s0x39092bfc0ea410a7:0x360bfc8d9fb4545e!8m2!3d30.2646451!4d78.0083559!16s%2Fg%2F1vr3bk1r!19sChIJpxCkDvwrCTkRXlS0n438CzY?authuser=0&hl=en&rclk=1","30.2646451,78.0083559"
Tashi Kyil Monastery,Buddhist temple,"7X4W+P3Q Tashi Kyil Monastery, Tashi Kyil Monastery ,Tibetan Colony, Selection Board Rd, Clement Town, Dehradun, Uttarakhand 248002","New Basti, Clement Town","7X4W+P3Q, Tashi Kyil Monastery ,Tibetan Colony, Selection Board Rd",Dehradun,248002,Uttarakhand,IN,https://www.google.com/maps/place/Tashi+Kyil+Monastery/data=!4m7!3m6!1s0x39092b8ceac1670d:0xff61c47214548f83!8m2!3d30.2568482!4d77.9952328!16s%2Fg%2F11g_l_rmk!19sChIJDWfB6owrCTkRg49UFHLEYf8?authuser=0&hl=en&rclk=1,"30.2568482,77.9952328"
Green Taxi Service,Taxi service,"Green Taxi Service, Muskan Chowk, Azad Colony Rd, near Sana Masjid, Morowala, Clement Town, Dehradun, Uttarakhand 248001","Morowala, Clement Town","Muskan Chowk, Azad Colony Rd, near Sana Masjid",Dehradun,248001,Uttarakhand,IN,https://www.google.com/maps/place/Green+Taxi+Service/data=!4m7!3m6!1s0x39092b5c4fc2e141:0xdc9980cceb8cff80!8m2!3d30.2876613!4d78.002768!16s%2Fg%2F11p02qp2t1!19sChIJQeHCT1wrCTkRgP-M68yAmdw?authuser=0&hl=en&rclk=1,"30.2876613,78.002768"
Mayfair Avenue,Housing society,"Mayfair Avenue, Morowala, Clement Town, Dehradun, Uttarakhand 248002","Morowala, Clement Town",,Dehradun,248002,Uttarakhand,IN,https://www.google.com/maps/place/Mayfair+Avenue/data=!4m7!3m6!1s0x39092b3837f6c3b9:0xe950c9250615b229!8m2!3d30.2833473!4d78.0055956!16s%2Fg%2F11h76md9gq!19sChIJucP2NzgrCTkRKbIVBiXJUOk?authuser=0&hl=en&rclk=1,"30.2833473,78.00559559999999"
Cantonment Board Clement Town,Government office,"Cantonment Board Clement Town, Bharuwala Colony, Clement Town, Dehradun, Uttarakhand 248002","Bharuwala Colony, Clement Town",,Dehradun,248002,Uttarakhand,IN,https://www.google.com/maps/place/Cantonment+Board+Clement+Town/data=!4m7!3m6!1s0x39092be5958a2b7b:0x540215905839a8bb!8m2!3d30.2658113!4d78.0078914!16s%2Fg%2F1s04f40hz!19sChIJeyuKleUrCTkRu6g5WJAVAlQ?authuser=0&hl=en&rclk=1,"30.2658113,78.00789139999999"
Redcliffe Labs - Collection Center,Diagnostic center,"Redcliffe Labs - Collection Center, House No 90 Majra West, Near, Masjid Wali Gali, Dehradun, Uttarakhand 248171","Sewla Kalan, Majra","House No 90 Majra West, Near, Masjid Wali Gali","Dehradun, Shewala Kala",248171,Uttarakhand,IN,https://www.google.com/maps/place/Redcliffe+Labs+-+Collection+Center/data=!4m7!3m6!1s0x39092b58dcbd3a85:0xece1c8597396550d!8m2!3d30.2942616!4d78.0011742!16s%2Fg%2F11y26jx9r1!19sChIJhTq93FgrCTkRDVWWc1nI4ew?authuser=0&hl=en&rclk=1,"30.2942616,78.0011742"
Makkah masjid (Jama,Mosque,"Makkah masjid (Jama, Anand Vihar, Ajabpur Kalan, Dehradun, Uttarakhand 248001","Anand Vihar, Ajabpur Kalan",,Dehradun,248001,Uttarakhand,IN,https://www.google.com/maps/place/Makkah+masjid+%28Jama/data=!4m7!3m6!1s0x39092994d67ed10b:0x45f0d586c6c3aef!8m2!3d30.295721!4d78.0431853!16s%2Fg%2F11ny3jwrn6!19sChIJC9F-1pQpCTkR7zpsbFgNXwQ?authuser=0&hl=en&rclk=1,"30.295721,78.04318529999999"
"Shiva mandir ,Gorakhpur Chowk,Premnagar , Dehradun.",Hindu temple,"Shiva mandir ,Gorakhpur Chowk,Premnagar , Dehradun., Shahpur, Indian Military Academy, Dehradun, Arcadia Grant, Uttarakhand 248007","Shahpur, Indian Military Academy",,"Dehradun, Arcadia Grant",248007,Uttarakhand,IN,"https://www.google.com/maps/place/Shiva+mandir+,Gorakhpur+Chowk,Premnagar+,+Dehradun./data=!4m7!3m6!1s0x39092a929a61c943:0x4edb67a3de1ba7f5!8m2!3d30.3165279!4d77.9617078!16s%2Fg%2F11gzq4nkc!19sChIJQ8lhmpIqCTkR9acb3qNn204?authuser=0&hl=en&rclk=1","30.316527899999997,77.9617078"
