place_id,place_name,about,link
ChIJLTHnF3ht8DkRa3XUK0azNHo,"Jama Masjid, Ishipur",All,https://lh5.googleusercontent.com/p/AF1QipP9TzHbx4Us5QTaUksuVDrO6LeUDPpxet3wtFYT=w529-h298-k-no
ChIJLTHnF3ht8DkRa3XUK0azNHo,"Jama Masjid, Ishipur",By owner,https://lh5.googleusercontent.com/p/AF1QipPZykWrBKsJ03bzuXa1db-kq5Qba2USNjDgy0QV=w298-h298-k-no
ChIJLTHnF3ht8DkRa3XUK0azNHo,"Jama Masjid, Ishipur",Videos,https://lh5.googleusercontent.com/p/AF1QipPz8ALV7f9Faksug-I0iVwRNROD6KjZWhQfqPdJ=w224-h389-k-no
ChIJ44S_-lMV8DkRHoX0WN8G02M,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM5UnckSnfdwr_tPyApZ9TdPz0LRchwCTnoH7yB=w529-h298-k-no
ChIJ44S_-lMV8DkRHoX0WN8G02M,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2eWIbudJuli2AnMCiibJ7Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=265.41898&pitch=0&thumbfov=100
ChIJLSATWNQU8DkRImvZtykEWgw,Jama Masjid Bhader,All,https://lh5.googleusercontent.com/p/AF1QipNlPgUcLMGu_rcrQv4SFH4SvJnDixruzxmr-n_v=w298-h298-k-no
ChIJLSATWNQU8DkRImvZtykEWgw,Jama Masjid Bhader,Videos,https://lh5.googleusercontent.com/p/AF1QipN-k-uNuPLogFsQG9uoE41ZnzrJHPqsB_hhDLS6=w224-h398-k-no
ChIJG3N5KbZs8DkRBQyxYW-p11c,"Masjid,msjd Bansapti",All,https://lh5.googleusercontent.com/p/AF1QipNJ4W3ezN7CIhmOE0irG1fW93J6Qu5y3RAVQqeo=w397-h298-k-no
ChIJG3N5KbZs8DkRBQyxYW-p11c,"Masjid,msjd Bansapti",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IUmkFL9lUSkl_0avWDkJUw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=208.62521&pitch=0&thumbfov=100
ChIJG3N5KbZs8DkRBQyxYW-p11c,"Masjid,msjd Bansapti",Videos,https://lh5.googleusercontent.com/p/AF1QipNkNSHqJIqt-yd601fEcn_HWz5PbrOBDQhzbp62=w529-h298-k-no
ChIJaSOE48Nq8DkRHQa4teYn-I0,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNqzdA_ZsRIK8_s91B04lDXQcI5BMZiKcQh9lPh=w224-h497-k-no
ChIJMZzwGQxr8DkRfmxfLyUM5Po,Shafiqiya Sunni Raza Jama Masjid Gohar,All,https://lh5.googleusercontent.com/p/AF1QipPRKnWY0I4EW-uaiv_bDW5pVYAASo34Uf_sFw0o=w224-h397-k-no
ChIJMZzwGQxr8DkRfmxfLyUM5Po,Shafiqiya Sunni Raza Jama Masjid Gohar,Dome,https://lh5.googleusercontent.com/p/AF1QipNzK2UuXx4FH0EMtx_ox8Qp7xF1y7huNiNJszfV=w372-h298-k-no
ChIJMZzwGQxr8DkRfmxfLyUM5Po,Shafiqiya Sunni Raza Jama Masjid Gohar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YPKi3OqbOCRzLFpr1qvbUA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=21.716265&pitch=0&thumbfov=100
ChIJMzyK4qET8DkRLB2Kjc8zKmc,"Jama Masjid,Rajganj",All,https://lh5.googleusercontent.com/p/AF1QipOJWU010tpj7etOv2_8aDCg87NVt06_ZzFyDoL-=w619-h298-k-no
ChIJMzyK4qET8DkRLB2Kjc8zKmc,"Jama Masjid,Rajganj",Dome,https://lh5.googleusercontent.com/p/AF1QipPQdlPqYaWz5F251UNd82bYpqyfycnGIUzn9Jej=w224-h298-k-no
ChIJMzyK4qET8DkRLB2Kjc8zKmc,"Jama Masjid,Rajganj",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4xXecwiTx43MWKrf4PC-Zg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=322.8511&pitch=0&thumbfov=100
ChIJ_2_LM_AT8DkRlTBSe7EUQRs,"Jamma, Masjid, Birbanna Bhagalpur",All,https://lh5.googleusercontent.com/p/AF1QipMOJ58_fZj-LqHzw1zbckV6KshyIX2Kbu4KuIMY=w224-h477-k-no
ChIJ_2_LM_AT8DkRlTBSe7EUQRs,"Jamma, Masjid, Birbanna Bhagalpur",Dome,https://lh5.googleusercontent.com/p/AF1QipOtc_PeWWNKA-Wst1GujBO9IHnL_iy2PHukKz3E=w224-h477-k-no
ChIJWXxnPK5t8DkR06EYUxaNJ-o,Babupur Govindpur Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMf5JKZBYRihq2-hooll9Xa2h8_93AltEy-sE1Z=w224-h398-k-no
ChIJh2kebBdr8DkR-pIPv3gIzd4,GOUSIYA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipN4r7-lz_E1jxU22WFILSYiKJsU29OrDUtrCMhw=w224-h397-k-no
ChIJF-wQd04V8DkRwbghO_ls0JA,Pathanpura Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPzGNdLNnYZo3TUk1Sk1Ra0LdY7l17JXKKoUPVk=w529-h298-k-no
ChIJF-wQd04V8DkRwbghO_ls0JA,Pathanpura Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-mepjfJP-CJoRYBxivv0fg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=279.75354&pitch=0&thumbfov=100
ChIJF-wQd04V8DkRwbghO_ls0JA,Pathanpura Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNRB7i6s6DaJGrG00NGf7ijhRi7xpqjE_jBnIro=w224-h407-k-no
ChIJcXOC8XJB8DkR7S3xWclxdPE,Noori Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOsHOLFoeaG0bLCuKkJLhfIWV9LR1hhq9XFz3zW=w224-h398-k-no
ChIJcXOC8XJB8DkR7S3xWclxdPE,Noori Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNKZst14Q0JdHqRsOxawOJhSMq21uNC9B28wdw5=w529-h298-k-no
ChIJcXOC8XJB8DkR7S3xWclxdPE,Noori Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMRu0J4tEjsRQWTGt0g6kc6DXzI3qmzkNa0sbCG=w224-h398-k-no
