name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid,Mosque,"QQ77+9PM Masjid, Nethaji Rd, Allpettai, Manjakuppam, Cuddalore, Tamil Nadu 607001","Allpettai, Manjakuppam","QQ77+9PM, Nethaji Rd",Cuddalore,607001,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x3a5498ed10f12ca5:0x88b1497991d6a02c!8m2!3d11.7634538!4d79.7643008!16s%2Fg%2F1261sp39t!19sChIJpSzxEO2YVDoRLKDWkXlJsYg?authuser=0&hl=en&rclk=1,"11.763453799999999,79.7643008"
Bazzar Masjid,Mosque,"PQW4+W65 Bazzar Masjid, Subbarayalu Nagar Road, Thirupapuliyur, Cuddalore, Tamil Nadu 607002",Thirupapuliyur,"PQW4+W65, Subbarayalu Nagar Road",Cuddalore,607002,Tamil Nadu,IN,https://www.google.com/maps/place/Bazzar+Masjid/data=!4m7!3m6!1s0x3a5498623450971f:0x3e9859e336c97ee1!8m2!3d11.7472678!4d79.7556245!16s%2Fg%2F1hm1rdjb7!19sChIJH5dQNGKYVDoR4X7JNuNZmD4?authuser=0&hl=en&rclk=1,"11.7472678,79.7556245"
Jamiya mosque pudupalayam,Mosque,"PQW7+RVW Jamiya mosque pudupalayam, Pudupalayam, Cuddalore, Tamil Nadu 607001",Pudupalayam,PQW7+RVW,Cuddalore,607001,Tamil Nadu,IN,https://www.google.com/maps/place/Jamiya+mosque+pudupalayam/data=!4m7!3m6!1s0x3a54985e521df09d:0x3875d325f5246856!8m2!3d11.747107!4d79.76469!16s%2Fg%2F1t_kdyvk!19sChIJnfAdUl6YVDoRVmgk9SXTdTg?authuser=0&hl=en&rclk=1,"11.747107,79.76469"
Rahmania Masjid,Mosque,"PPWR+MMM Rahmania Masjid, Cuddalore-Vadalur Road, Ramanujam Nagar, Ramnatham Nagar, Koothapakkam, Cuddalore, Tamil Nadu 607002","Ramanujam Nagar, Ramnatham Nagar, Koothapakkam","PPWR+MMM, Cuddalore-Vadalur Road",Cuddalore,607002,Tamil Nadu,IN,https://www.google.com/maps/place/Rahmania+Masjid/data=!4m7!3m6!1s0x3a54987fa0c290c7:0x8f9da5b65011fb5a!8m2!3d11.746706!4d79.741674!16s%2Fg%2F1hm30g97z!19sChIJx5DCoH-YVDoRWvsRULalnY8?authuser=0&hl=en&rclk=1,"11.746706,79.741674"
Anjuman-E- Islamic Masjid,Mosque,"QQ3C+W8P Anjuman-E- Islamic Masjid, Vaira Saalai, Pudukuppam, Cuddalore, Tamil Nadu 607001",Pudukuppam,"QQ3C+W8P, Vaira Saalai",Cuddalore,607001,Tamil Nadu,IN,https://www.google.com/maps/place/Anjuman-E-+Islamic+Masjid/data=!4m7!3m6!1s0x3a5498f7207f6add:0x834c3b350433178d!8m2!3d11.7548313!4d79.7708406!16s%2Fg%2F1vs5v3z5!19sChIJ3Wp_IPeYVDoRjRczBDU7TIM?authuser=0&hl=en&rclk=1,"11.7548313,79.7708406"
Gunduuppalavadi mosque,Mosque,"QQ7F+Q9C Gunduuppalavadi mosque, Jayalakshmi Nagar Rd, VPR Nagar, NGO Colony, Cuddalore, Tamil Nadu 607001","VPR Nagar, NGO Colony","QQ7F+Q9C, Jayalakshmi Nagar Rd",Cuddalore,607001,Tamil Nadu,IN,https://www.google.com/maps/place/Gunduuppalavadi+mosque/data=!4m7!3m6!1s0x3a5498ef86dedddf:0x592599783faa39b8!8m2!3d11.7644426!4d79.7733909!16s%2Fg%2F11c0rrdp97!19sChIJ393ehu-YVDoRuDmqP3iZJVk?authuser=0&hl=en&rclk=1,"11.764442599999999,79.7733909"
Mosque,Mosque,"PQH3+PC7 Mosque, Cuddalore, Tamil Nadu 607004",,PQH3+PC7,Cuddalore,,Tamil Nadu,IN,https://www.google.com/maps/place/Mosque/data=!4m7!3m6!1s0x3a549954d2e21005:0xb1315538bbb3db41!8m2!3d11.7292755!4d79.7535425!16s%2Fg%2F11gk8pxshr!19sChIJBRDi0lSZVDoRQduzuzhVMbE?authuser=0&hl=en&rclk=1,"11.7292755,79.7535425"
Mosque,Mosque,"Mosque, 15B, Sayapettai Rd, Semendalam, Semmandalam, Tamil Nadu 607001",Semendalam,"15B, Sayapettai Rd",Semmandalam,607001,Tamil Nadu,IN,https://www.google.com/maps/place/Mosque/data=!4m7!3m6!1s0x3a54993b8f6c95bf:0x35d5f150ce7ac69e!8m2!3d11.7635602!4d79.7509565!16s%2Fg%2F11lgkt3wzj!19sChIJv5VsjzuZVDoRnsZ6zlDx1TU?authuser=0&hl=en&rclk=1,"11.763560199999999,79.7509565"
KATHARIYA PALLIVASAL,Mosque,"QQ88+3Q4 KATHARIYA PALLIVASAL, Dhakshinamoorthy Nagar, Cuddalore, Tamil Nadu 607001",Dhakshinamoorthy Nagar,QQ88+3Q4,Cuddalore,607001,Tamil Nadu,IN,https://www.google.com/maps/place/KATHARIYA+PALLIVASAL/data=!4m7!3m6!1s0x3a5499f196205745:0x567cc95f06a14e0a!8m2!3d11.7651754!4d79.7668663!16s%2Fg%2F11thjrnwxh!19sChIJRVcglvGZVDoRCk6hBl_JfFY?authuser=0&hl=en&rclk=1,"11.765175399999999,79.76686629999999"
masjid muhammathiya,Mosque,"QQ7F+R9F masjid muhammathiya, Jayalakshmi Nagar Rd, VPR Nagar, Uppalavadi, Cuddalore, Tamil Nadu 607001","VPR Nagar, Uppalavadi","QQ7F+R9F, Jayalakshmi Nagar Rd",Cuddalore,607001,Tamil Nadu,IN,https://www.google.com/maps/place/masjid+muhammathiya/data=!4m7!3m6!1s0x3a5498ef81d9dcd9:0xcb939be7b8509862!8m2!3d11.7645565!4d79.7734091!16s%2Fg%2F11c6qrz98n!19sChIJ2dzZge-YVDoRYphQuOebk8s?authuser=0&hl=en&rclk=1,"11.7645565,79.7734091"
