place_id,place_name,about,link
ChIJg7PrVW0gvzsR0oamSEg-fkg,Faisal Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMgtxzgdpYU77OdlPWKmEUXTOhCLYK7WDDINSPL=w224-h298-k-no
ChIJg7PrVW0gvzsR0oamSEg-fkg,Faisal Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN12cn4yRZ9VWctLmjxih5E6uZUpwhlRZ4cUoiE=w224-h398-k-no
ChIJg7PrVW0gvzsR0oamSEg-fkg,Faisal Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipM4hc7RkOrV0Qxeuu09NkduWp5i_u1tdYPlI51b=w224-h398-k-no
ChIJg7PrVW0gvzsR0oamSEg-fkg,Faisal Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pKgsgsyqBpUnIYbsAV8zLA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=331.96426&pitch=0&thumbfov=100
ChIJ7QACX2wgvzsRCsxugSq4skw,Sultansha Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPGg7NXu8jl5zD5ieluukhx8yrHenkZYaiMBB_o=w397-h298-k-no
ChIJ7QACX2wgvzsRCsxugSq4skw,Sultansha Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Avg7zz7UDqVESp_i0SQCSQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=195.06697&pitch=0&thumbfov=100
ChIJV_EtuIzfvjsR2TmDNSZB5mA,Jamia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN9dojDpTpDSpeKES6lc0QPiGnqxmuetXEoXqP-=w397-h298-k-no
ChIJV_EtuIzfvjsR2TmDNSZB5mA,Jamia Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rc3i_8sBRy-Ok4FxqoH0BQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=303.64117&pitch=0&thumbfov=100
ChIJV_EtuIzfvjsR2TmDNSZB5mA,Jamia Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMHZ8jKsmdaIY3QR_JK_SrdGS8YZ1mVKfB5m_wo=w529-h298-k-no
ChIJxbuWfIvfvjsR27r_IkywzLI,Hazarath Khwaja Bandanawaz Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMn8inyauF7vWHXJ2GRro0d8A8v-__ONneUTbB7=w329-h298-k-no
ChIJxbuWfIvfvjsR27r_IkywzLI,Hazarath Khwaja Bandanawaz Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hKvwzUTyQEQ64WUQdBbBfw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=279.03436&pitch=0&thumbfov=100
