place_id,place_name,about,link
ChIJw3k22eQv5DkRijr7LaMhgk8,Muslim Graveyard Darjeeling,All,https://lh5.googleusercontent.com/p/AF1QipOvWXANvwdEiO4U8B_ZytgvMM40WjatCTPliskP=w224-h298-k-no
ChIJw3k22eQv5DkRijr7LaMhgk8,Muslim Graveyard Darjeeling,By owner,https://lh5.googleusercontent.com/p/AF1QipM3kSmvtTpxMRoYRnVD6Xs3td2LbpXH5S3m_T3J=w397-h298-k-no
ChIJgQ-Luuou5DkRZopIQ53WtfI,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOGNWwx4RoAu-tLovnG1sS7ZGwexkV_aB3QX9Af=w397-h298-k-no
ChIJgQ-Luuou5DkRZopIQ53WtfI,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipPTRZ-UQdfOT81gGZYlS_duLZGun_bLQruz0SfO=w529-h298-k-no
ChIJgQ-Luuou5DkRZopIQ53WtfI,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMHDJtUc7q55J98Qc5oCrGYp_cWg1fvgr2Y-B8y=w529-h298-k-no
ChIJgQ-Luuou5DkRZopIQ53WtfI,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPZCEgVwDn8Z1IF-9Prba6YDoICeoWcKSGbSjtM=w238-h298-k-no
ChIJgQ-Luuou5DkRZopIQ53WtfI,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMFKTVgMhLl9me6tFDbtdd3BWGx_U4FG0gpVcnk=w224-h298-k-no-pi-1.6092635-ya41.18157-ro-2.4457533-fo100
ChIJEUSXX5Qu5DkROvHaiVO6nhg,Choti Masjid,All,https://lh5.googleusercontent.com/p/AF1QipME05_OkkaI3W8j4wkKtv2zWoe1GETDBKXJ6VnW=w224-h474-k-no
ChIJEUSXX5Qu5DkROvHaiVO6nhg,Choti Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipOamJmKmPJilvk5vjiW1tjYuaJJQO4SfpGfu7Hi=w224-h298-k-no
ChIJEUSXX5Qu5DkROvHaiVO6nhg,Choti Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNwCQFOX70L0B7nEYDBIZI582W3hgR5uCyod2dw=w224-h398-k-no
ChIJEUSXX5Qu5DkROvHaiVO6nhg,Choti Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipM83E-wF_71JSTP3e0SRg_CofRN-4oWHen1wJrr=w529-h298-k-no
ChIJlzYAl-ou5DkRc5EXzdAZa8I,Boroosqke,All,https://lh5.googleusercontent.com/p/AF1QipPsOSANnTvAywCat0VgGtHBjzmHB445CVQSMzfA=w529-h298-k-no
ChIJlzYAl-ou5DkRc5EXzdAZa8I,Boroosqke,Videos,https://lh5.googleusercontent.com/p/AF1QipOl6F9whqHo00pf8ovQ7V84Az4bqpVrDg3ndHwY=w224-h397-k-no
ChIJoTIMsdYu5DkRISQQoWJ-AAQ,"Katwali Masjid, Gorkhaland",All,https://lh5.googleusercontent.com/p/AF1QipPtPMJ83zenHfltzZfxo4fgFCZ7Dh1bOKw6UwOo=w224-h298-k-no
ChIJSZzsfiAv5DkRVcOVOrBFYEs,"Masjid, Gorkhaland",All,https://lh5.googleusercontent.com/p/AF1QipNaNDHInBsBgAjig8fkmaE0Jcmzo8EGXGAaUKrp=w397-h298-k-no
ChIJSZzsfiAv5DkRVcOVOrBFYEs,"Masjid, Gorkhaland",Dome,https://lh5.googleusercontent.com/p/AF1QipPWzMk3caiYwZI85v5EcI8bAAnxFnDr0WcrnWgd=w224-h298-k-no
ChIJZw80EyEv5DkRnsnT-WR-24A,Darjeeling,All,https://lh5.googleusercontent.com/p/AF1QipOMt_nJ2P0KfVL1WX-_wOL50DxYLpgm3TGtlEnS=w529-h298-k-no
ChIJZw80EyEv5DkRnsnT-WR-24A,Darjeeling,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3EaYvLNSpQee40gc9z9XuQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=284.68814&pitch=0&thumbfov=100
