place_id,place_name,about,link
ChIJD1UJ0359rjsRZ0oGZSU6yhs,Bilal Masque,All,https://lh5.googleusercontent.com/p/AF1QipOq8Zx34oFs4Mm6MfeZXctzpEbJ3ZtyiucOfyBN=w397-h298-k-no
ChIJD1UJ0359rjsRZ0oGZSU6yhs,Bilal Masque,Dome,https://lh5.googleusercontent.com/p/AF1QipM1FJdNyNjKdHLmGAuvcQgxJPRA7EYnJKRuREWK=w646-h298-k-no
ChIJD1UJ0359rjsRZ0oGZSU6yhs,Bilal Masque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4jjlOBNL4AirApUqLZN0mg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=236.07545&pitch=0&thumbfov=100
ChIJHedO-4F9rjsR5Xxc2MzzErE,Masjid E Azam,All,https://lh5.googleusercontent.com/p/AF1QipOKdJV74gTpbDnAxHoVBb9kfs095xaLsag7CpUZ=w224-h398-k-no
ChIJHedO-4F9rjsR5Xxc2MzzErE,Masjid E Azam,Videos,https://lh5.googleusercontent.com/p/AF1QipM5IpSoMMu6YJlXha5f12nTxE6nZEgzeKJNOrOA=w224-h398-k-no
ChIJO7iId399rjsR98XX9Cg1wZ4,Jamiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOIdTWjunpArAho9Z9er7sMRz7P_Fvbggx_Tuk8=w224-h298-k-no
ChIJO7iId399rjsR98XX9Cg1wZ4,Jamiya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMPgSXZt0qq8RhL2MIQHwBkhv4Ha64pzPaqpHtK=w224-h398-k-no
ChIJ1_2cBD59rjsRCYL_HGHoJDE,Masjid e Yusuf,All,https://lh5.googleusercontent.com/p/AF1QipMYJH84s9DoAYDCQfTI7EDPaJNH0UpxqiJ8EdH0=w529-h298-k-no
ChIJ1_2cBD59rjsRCYL_HGHoJDE,Masjid e Yusuf,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NAncZJO3j-TG-MxCr297aA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=146.34695&pitch=0&thumbfov=100
ChIJKUHVerZ9rjsRftuiHneBvWM,Masjid e ammar,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-73xtyaz_yTnP4LVQYg3gA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=359.10107&pitch=0&thumbfov=100
ChIJKUHVerZ9rjsRftuiHneBvWM,Masjid e ammar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-73xtyaz_yTnP4LVQYg3gA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=359.10107&pitch=0&thumbfov=100
ChIJD0ytL3qHrjsRhp5xVggg-sU,Masjid-e-noor,All,https://lh5.googleusercontent.com/p/AF1QipP266N_nAUjTySH8lIsH8lL-8yspzln_abQWwqz=w397-h298-k-no
ChIJD0ytL3qHrjsRhp5xVggg-sU,Masjid-e-noor,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UKaPuVcHQQADiCP-zpEdfg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=236.64197&pitch=0&thumbfov=100
ChIJcSpKH-d9rjsRQ94UsztcbKQ,Jamiya masjid eid gha,All,https://lh5.googleusercontent.com/p/AF1QipMagTuvxESsHQOq8v6j5tb2bu6aSGkplVTJ07Nx=w645-h298-k-no
ChIJcSpKH-d9rjsRQ94UsztcbKQ,Jamiya masjid eid gha,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2aYu81K6fhV49EbI1Xqprg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=22.554092&pitch=0&thumbfov=100
ChIJmf4mAIJ9rjsRpYz41fU85yM,Masjid-e-Noor,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vay_62NakxqoZin0_ddjcA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=34.111042&pitch=0&thumbfov=100
ChIJmf4mAIJ9rjsRpYz41fU85yM,Masjid-e-Noor,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vay_62NakxqoZin0_ddjcA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=34.111042&pitch=0&thumbfov=100
ChIJ0arZACJ9rjsRDrOZEwYCWGE,Masjid E Abdul Qadir,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GBgsAfoWFzCeb3siq5WpvA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=218.43257&pitch=0&thumbfov=100
ChIJ0arZACJ9rjsRDrOZEwYCWGE,Masjid E Abdul Qadir,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GBgsAfoWFzCeb3siq5WpvA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=218.43257&pitch=0&thumbfov=100
