name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Deoria Jama Masjid,Mosque,"GQ4J+HRC Deoria Jama Masjid, Gari Bazar, Kailashpuri, Deoria, Uttar Pradesh 274806","Gari Bazar, Kailashpuri",GQ4J+HRC,Deoria,274806,Uttar Pradesh,IN,https://www.google.com/maps/place/Deoria+Jama+Masjid/data=!4m7!3m6!1s0x3993c53d146a674b:0xb3f542bb2933c34a!8m2!3d26.5064351!4d83.7820157!16s%2Fg%2F1tvm1538!19sChIJS2dqFD3FkzkRSsMzKbtC9bM?authuser=0&hl=en&rclk=1,"26.506435099999997,83.7820157"
Shaheed baba dargah,Mosque,"GQ8G+25X Shaheed baba dargah, Gorakhpur - Deoria Rd, Deoria, Mehra, Uttar Pradesh 274001",,"GQ8G+25X, Gorakhpur - Deoria Rd","Deoria, Mehra",274001,Uttar Pradesh,IN,https://www.google.com/maps/place/Shaheed+baba+dargah/data=!4m7!3m6!1s0x3993c52661747375:0x6fac32770c73212f!8m2!3d26.5151038!4d83.7754964!16s%2Fg%2F11d_8gd_f2!19sChIJdXN0YSbFkzkRLyFzDHcyrG8?authuser=0&hl=en&rclk=1,"26.5151038,83.7754964"
Lakdi Hatta. Hazrat Bilal Masjid,Mosque,"GQ3P+JQV Lakdi Hatta. Hazrat Bilal Masjid, Lakdi Hatta, Saket Nagar, Deoria, Uttar Pradesh 274001","Lakdi Hatta, Saket Nagar",GQ3P+JQV,Deoria,274001,Uttar Pradesh,IN,https://www.google.com/maps/place/Lakdi+Hatta.+Hazrat+Bilal+Masjid/data=!4m7!3m6!1s0x3993c5df910865b7:0x778bff22429fd0e!8m2!3d26.5041187!4d83.786911!16s%2Fg%2F11h0v8xsf0!19sChIJt2UIkd_FkzkRDv0pJPK_eAc?authuser=0&hl=en&rclk=1,"26.5041187,83.78691099999999"
Jama Masjid Ahle Hadees (Chhoti Masjid),Mosque,"GQ4J+RCR Jama Masjid Ahle Hadees (Chhoti Masjid), Kailashpuri, Deoria, Uttar Pradesh 274806",Kailashpuri,GQ4J+RCR,Deoria,,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid+Ahle+Hadees+%28Chhoti+Masjid%29/data=!4m7!3m6!1s0x3993c5374dd5f8ef:0xd37532f65fc2f314!8m2!3d26.5071179!4d83.7810041!16s%2Fg%2F11g0bxf2v9!19sChIJ7_jVTTfFkzkRFPPCX_YyddM?authuser=0&hl=en&rclk=1,"26.507117899999997,83.78100409999999"
Sakrapar Masjid,Mosque,"FRQ2+9WX Sakrapar Masjid, Sakrapar, Nunkhar, Uttar Pradesh 274001",,FRQ2+9WX,"Sakrapar, Nunkhar",274001,Uttar Pradesh,IN,https://www.google.com/maps/place/Sakrapar+Masjid/data=!4m7!3m6!1s0x3993c5d10162352b:0x8e01af379979828!8m2!3d26.4884823!4d83.8023494!16s%2Fg%2F11ft_0jw10!19sChIJKzViAdHFkzkRKJiXefMa4Ag?authuser=0&hl=en&rclk=1,"26.488482299999998,83.8023494"
Maktab Deeniyat Mashzid Ahmadnager,Mosque,"GQ6G+F97 Maktab Deeniyat Mashzid Ahmadnager, Kailashpuri, Deoria, Uttar Pradesh 274001",Kailashpuri,GQ6G+F97,Deoria,274001,Uttar Pradesh,IN,https://www.google.com/maps/place/Maktab+Deeniyat+Mashzid+Ahmadnager/data=!4m7!3m6!1s0x3993c5337381960f:0x7b95ae9df408dce5!8m2!3d26.511168!4d83.7759248!16s%2Fg%2F11g0w3ylnv!19sChIJD5aBczPFkzkR5dwI9J2ulXs?authuser=0&hl=en&rclk=1,"26.511167999999998,83.7759248"
Piparpati Masjid,Mosque,"FRX2+69Q Piparpati Masjid, Piparpati, Uttar Pradesh 274001",,FRX2+69Q,Piparpati,274001,Uttar Pradesh,IN,https://www.google.com/maps/place/Piparpati+Masjid/data=!4m7!3m6!1s0x3993c50b37ef79cf:0x3cf2719b9163214!8m2!3d26.4980884!4d83.8009995!16s%2Fg%2F11ggs4h7x4!19sChIJz3nvNwvFkzkRFDIWuRknzwM?authuser=0&hl=en&rclk=1,"26.4980884,83.8009995"
Madni masjid,Mosque,"FQVF+CHF Madni masjid, Ram Naath Nagar, Deoria, Uttar Pradesh 274001",Ram Naath Nagar,FQVF+CHF,Deoria,274001,Uttar Pradesh,IN,https://www.google.com/maps/place/Madni+masjid/data=!4m7!3m6!1s0x3993c5f0f966d749:0xbb0b8c7aeea8acfa!8m2!3d26.4935566!4d83.7739372!16s%2Fg%2F11qz3zbszm!19sChIJSddm-fDFkzkR-qyo7nqMC7s?authuser=0&hl=en&rclk=1,"26.493556599999998,83.77393719999999"
Ali Nagar Masjid,Mosque,"GQ7F+5FC Ali Nagar Masjid, Unnamed Road, Ali Nagar, Deoria, Uttar Pradesh 274001",Ali Nagar,"GQ7F+5FC, Unnamed Road",Deoria,274001,Uttar Pradesh,IN,https://www.google.com/maps/place/Ali+Nagar+Masjid/data=!4m7!3m6!1s0x3993c5b45f0f9427:0x7483b962a517de9d!8m2!3d26.512932!4d83.7736484!16s%2Fg%2F11h4nb3xxy!19sChIJJ5QPX7TFkzkRnd4XpWK5g3Q?authuser=0&hl=en&rclk=1,"26.512932,83.7736484"
Purani Masjid,Mosque,"GQ9J+WCG Purani Masjid, Shanti Nagar, Mehra, Uttar Pradesh 274001",,GQ9J+WCG,"Shanti Nagar, Mehra",274001,Uttar Pradesh,IN,https://www.google.com/maps/place/Purani+Masjid/data=!4m7!3m6!1s0x3993c5207e59c165:0xdedf85b33292b3c0!8m2!3d26.519801!4d83.781067!16s%2Fg%2F11f01t8d7t!19sChIJZcFZfiDFkzkRwLOSMrOF394?authuser=0&hl=en&rclk=1,"26.519800999999998,83.781067"
