place_id,place_name,about,link
ChIJvxcGqawcGDkRKVqpeRPjPrs,Shahi Mosque,All,https://lh5.googleusercontent.com/p/AF1QipOmhq4f4dV5BbTe1g4bsykLdsL8t8l-EZW0axfx=w529-h298-k-no
ChIJvxcGqawcGDkRKVqpeRPjPrs,Shahi Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1e8aV8eVNAIAAAGur0tLyQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=320&pitch=0&thumbfov=100
ChIJvxcGqawcGDkRKVqpeRPjPrs,Shahi Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipNc19BRDrs6H5z9i-DLvYSgkovrqOtImkii5RDG=w224-h401-k-no
ChIJzyf-pBYbGDkR1DHAAo0Mpjk,Madni Masjid (Tablighi Markaz),All,https://lh5.googleusercontent.com/p/AF1QipMqSQd4mFxIHpTaYO8RpIt3eXVzK-0UhJe94aP5=w397-h298-k-no
ChIJzyf-pBYbGDkR1DHAAo0Mpjk,Madni Masjid (Tablighi Markaz),Videos,https://lh5.googleusercontent.com/p/AF1QipNteRwNh6V3-N1bsUKJDPq2YFFg9W2AYM93IiD3=w224-h448-k-no
ChIJqVg-yV8DGDkREL6g6HoWfQw,JAMIA MASJID RAZAQIA DEPALPUR,All,https://lh5.googleusercontent.com/p/AF1QipMQUl7E4U7IGPWTA_QOugTlFXSCznrNFH-eMPvF=w397-h298-k-no
ChIJqVg-yV8DGDkREL6g6HoWfQw,JAMIA MASJID RAZAQIA DEPALPUR,Dome,https://lh5.googleusercontent.com/p/AF1QipPo5_Ag56jzjiG9pJYKWUUPIcn9ALJf5P3NeMLP=w415-h298-k-no
ChIJqVg-yV8DGDkREL6g6HoWfQw,JAMIA MASJID RAZAQIA DEPALPUR,Videos,https://lh5.googleusercontent.com/p/AF1QipPmzRfQPMgnpttrbPqWRXspUEMfOjO2_8gGvCrU=w529-h298-k-no
ChIJjerEEVYDGDkR1IuaYoiNTgc,Shrine of Sain Abdul Razaq andJamia Masjid Oliya,All,https://lh5.googleusercontent.com/p/AF1QipMHSASXiavSlD4dRr7xGznFG0n2TTpsrPEZdkRp=w224-h298-k-no
ChIJjerEEVYDGDkR1IuaYoiNTgc,Shrine of Sain Abdul Razaq andJamia Masjid Oliya,Dome,https://lh5.googleusercontent.com/p/AF1QipMB2JKNLMOjm4cgXHmHcdbJ3uPyUC30F8oL3Qw=w224-h298-k-no
ChIJjerEEVYDGDkR1IuaYoiNTgc,Shrine of Sain Abdul Razaq andJamia Masjid Oliya,Videos,https://lh5.googleusercontent.com/p/AF1QipMoJHFiOCkPJviVF6gTG5LLn_roUSN6dTYui9IY=w224-h453-k-no
