place_id,place_name,about,link
ChIJ3_99raxD2jsRd3uyVlEpU8w,Masjid Kudsi (markaz),All,https://lh5.googleusercontent.com/p/AF1QipP_-Pdk7NKkrucxBLaX9opB-mFhGiy3uNQTks5u=w397-h298-k-no
ChIJ5aEIclRD2jsRwD3o-4GsmEU,dargha masjid,All,https://lh5.googleusercontent.com/p/AF1QipPo31vOGmMfLJzNgNH3X0uFEbijXbtX7wdAqN5f=w224-h392-k-no
ChIJ5aEIclRD2jsRwD3o-4GsmEU,dargha masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipM9ulTazUsaCNajYCu8upa-PMj6pzrFeTfxPqkI=w224-h398-k-no
ChIJzUWepq1D2jsRhXY3xHBNWrE,Dargha Hazrat Bhole Shah Baba,All,https://lh5.googleusercontent.com/p/AF1QipMTT1AhWQfmhnT6zacAwI0h7BfUqT86ufcCR5jj=w224-h298-k-no
ChIJzUWepq1D2jsRhXY3xHBNWrE,Dargha Hazrat Bhole Shah Baba,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T524swSqMGLwP69cK_ealA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=101.060234&pitch=0&thumbfov=100
ChIJzUWepq1D2jsRhXY3xHBNWrE,Dargha Hazrat Bhole Shah Baba,Videos,https://lh5.googleusercontent.com/p/AF1QipN7PGUdSN6Fz1QpMKxaA2mGcNRsxglwHKIA_TfN=w224-h398-k-no
ChIJAfSKhaJD2jsR9JHIgXfJAT0,Ahemadiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNK5m_w9LVg_xpVDMMaNQf9jNWk1yn3q4462sjr=w627-h298-k-no
ChIJAfSKhaJD2jsR9JHIgXfJAT0,Ahemadiya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMW9MX-xlxuMatZ_q96xKFxnpY4EKijAr_De9rE=w224-h398-k-no
ChIJ3exj3zxD2jsRHR1LK0uWAKE,Bilal Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOzVpZNkQmUsbQral0bKZFk1Y5AlM4vvg2rp7NS=w529-h298-k-no
ChIJEeffNq1D2jsRkbiH0I3CF4Q,Masjid Madarsa-E- Hazrat AbuBakar,All,https://lh5.googleusercontent.com/p/AF1QipOzh8EOmXq8HBwXojj7Owm6f8JlSQ08ZInlqfjd=w662-h298-k-no
ChIJv810ZxpD2jsReE9MjccJagg,JAMA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipMv3941HhNbpNbSS3lDiXPUSXnUddR_Yv9sfE4K=w678-h298-k-no
ChIJv810ZxpD2jsReE9MjccJagg,JAMA MASJID,Dome,https://lh5.googleusercontent.com/p/AF1QipNUQ5disztT8L0XOCFUbfJqNKqma-gI28c3b_d-=w397-h298-k-no
ChIJXxx-NApD2jsRbviuQTQPWY8,Rabiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPiUD1LtBiD7LeDlgKTh2zVQdxLUYBqXU9qU5P_=w397-h298-k-no
ChIJARW0wGFD2jsRo4dW-YpIn7Y,Jama Masjib,All,https://lh5.googleusercontent.com/p/AF1QipOCy8ObBKM729fX4o7W18y9qK4Kku3BMO0eYWPB=w529-h298-k-no
ChIJARW0wGFD2jsRo4dW-YpIn7Y,Jama Masjib,Videos,https://lh5.googleusercontent.com/p/AF1QipOCy8ObBKM729fX4o7W18y9qK4Kku3BMO0eYWPB=w529-h298-k-no
ChIJfeNFaI9D2jsRMhnbEMxvcbs,Masjid E Huda,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7_NTUfa9LFKOW0LJJGEV4w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=228.71541&pitch=0&thumbfov=100
ChIJfeNFaI9D2jsRMhnbEMxvcbs,Masjid E Huda,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7_NTUfa9LFKOW0LJJGEV4w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=228.71541&pitch=0&thumbfov=100
