name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Teliyo Wali Masjid,Mosque,"Teliyo Wali Masjid, Gandhi Nagar, Subhash Nagar, Dhanaura, Uttar Pradesh 244231","Gandhi Nagar, Subhash Nagar",,Dhanaura,244231,Uttar Pradesh,IN,https://www.google.com/maps/place/Teliyo+Wali+Masjid/data=!4m7!3m6!1s0x390b9fce86f701d1:0x8117235cbd1568a!8m2!3d28.9613263!4d78.2586842!16s%2Fg%2F11h392p3g4!19sChIJ0QH3hs6fCzkRilbRyzVyEQg?authuser=0&hl=en&rclk=1,"28.9613263,78.25868419999999"
Jama Masjid,Mosque,"X744+6HM Jama Masjid, Moh. Katra, Dhanaura, Uttar Pradesh",,"X744+6HM, Moh. Katra",Dhanaura,,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390b9f05b6acea6b:0x2bd6e74db905b838!8m2!3d28.9555833!4d78.2564169!16s%2Fg%2F11fy2285h9!19sChIJa-qstgWfCzkROLgFuU3n1is?authuser=0&hl=en&rclk=1,"28.955583299999997,78.25641689999999"
Madina Masjid,Mosque,"V5XQ+V2G Madina Masjid, Alam Nagar, Uttar Pradesh 244225",,"V5XQ+V2G, Alam Nagar","Jalalpur Dhana, Kaseruwa",244225,Uttar Pradesh,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x390b9de042b5f3b1:0xb8f0c66bec1c7195!8m2!3d28.8996836!4d78.1875915!16s%2Fg%2F11sh7qt23q!19sChIJsfO1QuCdCzkRlXEc7GvG8Lg?authuser=0&hl=en&rclk=1,"28.8996836,78.1875915"
mdiinaa msjid,Mosque,"X7XW+5PR mdiinaa msjid, Mukaiyyadpur Majra Deengra, Uttar Pradesh 244231",,X7XW+5PR,Mukaiyyadpur Majra Deengra,244231,Uttar Pradesh,IN,https://www.google.com/maps/place/%E0%A4%AE%E0%A4%A6%E0%A5%80%E0%A4%A8%E0%A4%BE+%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A6/data=!4m7!3m6!1s0x390ba3e895f23541:0xa78968fab884c206!8m2!3d28.997984!4d78.2967563!16s%2Fg%2F11h4x8bnpf!19sChIJQTXyleijCzkRBsKEuPpoiac?authuser=0&hl=en&rclk=1,"28.997984,78.2967563"
CHHOTI MASJID,Mosque,"W8P9+2PX CHHOTI MASJID, CHAK WASIPUR, Dhanaura, Ghansurpur Mafi, Uttar Pradesh 244231",,"W8P9+2PX, CHAK WASIPUR","Dhanaura, Ghansurpur Mafi",244231,Uttar Pradesh,IN,https://www.google.com/maps/place/CHHOTI+MASJID/data=!4m7!3m6!1s0x390ba04122815589:0x43a32c9d987c3313!8m2!3d28.935104!4d78.3193492!16s%2Fg%2F11f4hlhhyc!19sChIJiVWBIkGgCzkREzN8mJ0so0M?authuser=0&hl=en&rclk=1,"28.935104,78.31934919999999"
Jama Masjid,Mosque,"27GJ+FGM Jama Masjid, Phandheri Sadat, fundedee, Uttar Pradesh 244231",,27GJ+FGM,"Phandheri Sadat, fundedee",244231,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390b9890a27db997:0x407d887c82a2755a!8m2!3d29.0262097!4d78.2812928!16s%2Fg%2F11c1hrt0_h!19sChIJl7l9opCYCzkRWnWignyIfUA?authuser=0&hl=en&rclk=1,"29.0262097,78.2812928"
Chhoti Masjid Ek Minar Wali,Mosque,"X737+VV5 Chhoti Masjid Ek Minar Wali, Katra Rd, near Muslim Fund, Mohalla, Dhanaura, Uttar Pradesh 244231",,"X737+VV5, Katra Rd, near Muslim Fund, Mohalla",Dhanaura,,Uttar Pradesh,IN,https://www.google.com/maps/place/Chhoti+Masjid+Ek+Minar+Wali/data=!4m7!3m6!1s0x390b9f0eaaaaaaab:0x4fb1cdf1c75444f!8m2!3d28.9546402!4d78.2647269!16s%2Fg%2F11f00q1jn4!19sChIJq6qqqg6fCzkRT0R1HN8c-wQ?authuser=0&hl=en&rclk=1,"28.9546402,78.2647269"
iidgaah dhnauraa,Mosque,"28RP+7HF iidgaah dhnauraa, Dhanaura Silvernagar, Uttar Pradesh 250611",,28RP+7HF,Dhanaura Silvernagar,,Uttar Pradesh,IN,https://www.google.com/maps/place/%E0%A4%88%E0%A4%A6%E0%A4%97%E0%A4%BE%E0%A4%B9+%E0%A4%A7%E0%A4%A8%E0%A5%8C%E0%A4%B0%E0%A4%BE/data=!4m7!3m6!1s0x390c4fc42ff36531:0x2bb59e6657a9c41a!8m2!3d29.0406839!4d77.3364065!16s%2Fg%2F11jg_d8x78!19sChIJMWXzL8RPDDkRGsSpV2aetSs?authuser=0&hl=en&rclk=1,"29.040683899999998,77.3364065"
Rehmat Masjid Ahle Sunnat Wal Zamaat,Mosque,"W74P+76W Rehmat Masjid Ahle Sunnat Wal Zamaat, Dhanaura Rd, Lambiya, Uttar Pradesh 244231",,"W74P+76W, Dhanaura Rd",Lambiya,244231,Uttar Pradesh,IN,https://www.google.com/maps/place/Rehmat+Masjid+Ahle+Sunnat+Wal+Zamaat/data=!4m7!3m6!1s0x390b9f7d1b75fc33:0xde9f44c7299fc66f!8m2!3d28.9057321!4d78.285564!16s%2Fg%2F11fn9lj5z3!19sChIJM_x1G32fCzkRb8afKcdEn94?authuser=0&hl=en&rclk=1,"28.905732099999998,78.285564"
ZAMA MASJID,Mosque,"VGH7+G3C ZAMA MASJID, Dhanaura Aheer, Uttar Pradesh 244221",,VGH7+G3C,Dhanaura Aheer,244221,Uttar Pradesh,IN,https://www.google.com/maps/place/ZAMA+MASJID/data=!4m7!3m6!1s0x390b075dd9be9477:0x245955e6d2570555!8m2!3d28.8788223!4d78.5126426!16s%2Fg%2F11rtyh0bhh!19sChIJd5S-2V0HCzkRVQVX0uZVWSQ?authuser=0&hl=en&rclk=1,"28.8788223,78.51264259999999"
