name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid-e-Ayesha,Mosque,"Masjid-e-Ayesha, BDO Vairavanathan St, Dharmapuri, Tamil Nadu 636701",,BDO Vairavanathan St,Dharmapuri,636701,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid-e-Ayesha/data=!4m7!3m6!1s0x3bac1722f1d5b6d3:0x9ed23c3e8bc17f9a!8m2!3d12.11152!4d78.1471883!16s%2Fg%2F11b72njl2_!19sChIJ07bV8SIXrDsRmn_Biz480p4?authuser=0&hl=en&rclk=1,"12.111519999999999,78.1471883"
Abubakar Masjid (RS),Mosque,"45C2+V5W Abubakar Masjid (RS), v, Jettihalli, A.Jettihalli, Tamil Nadu 636701",Jettihalli,"45C2+V5W, v","A.Jettihalli, Vellegoundan Palayam",636701,Tamil Nadu,IN,https://www.google.com/maps/place/Abubakar+Masjid+%28RS%29/data=!4m7!3m6!1s0x3bac171b7ec47d9d:0x461f7b3e95ca48d!8m2!3d12.1222327!4d78.1504508!16s%2Fg%2F11b7r4vznv!19sChIJnX3EfhsXrDsRjaRc6bP3YQQ?authuser=0&hl=en&rclk=1,"12.1222327,78.1504508"
Masjid - E - Rahamath,Mosque,"45Q8+96X Masjid - E - Rahamath, Dharmapuri, Tamil Nadu 636701",,45Q8+96X,Dharmapuri,636701,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+-+E+-+Rahamath/data=!4m7!3m6!1s0x3bac1657b0c830dd:0xf7dd638c5786fe8f!8m2!3d12.1384911!4d78.1656134!16s%2Fg%2F11fx99ypty!19sChIJ3TDIsFcWrDsRj_6GV4xj3fc?authuser=0&hl=en&rclk=1,"12.1384911,78.1656134"
Masjid-e-Umar,Mosque,"45G5+73M Masjid-e-Umar, Dharmapuri, Tamil Nadu 636701",,45G5+73M,Dharmapuri,636701,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid-e-Umar/data=!4m7!3m6!1s0x3bac16fd48f66449:0x9e3037c30e291a66!8m2!3d12.125711!4d78.157681!16s%2Fg%2F11g7y66pg0!19sChIJSWT2SP0WrDsRZhopDsM3MJ4?authuser=0&hl=en&rclk=1,"12.125710999999999,78.157681"
Madina Masjid,Mosque,"45P7+X43 Madina Masjid, four roads aavin back side, Dharmapuri, Tamil Nadu",,"45P7+X43, four roads aavin back side",Dharmapuri,,Tamil Nadu,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x3bac16560fc69ad7:0xe6059b35470aac6a!8m2!3d12.1373986!4d78.1627873!16s%2Fg%2F11hbg9br8g!19sChIJ15rGD1YWrDsRaqwKRzWbBeY?authuser=0&hl=en&rclk=1,"12.1373986,78.16278729999999"
Masjid E Azam,Mosque,"45M7+9FJ Masjid E Azam, Dharmapuri, Tamil Nadu 636701",,45M7+9FJ,Dharmapuri,636701,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+E+Azam/data=!4m7!3m6!1s0x3bac16f91f4b4831:0xa1ecc5acc84e25ae!8m2!3d12.133457!4d78.1636409!16s%2Fg%2F11dzt3d2nz!19sChIJMUhLH_kWrDsRriVOyKzF7KE?authuser=0&hl=en&rclk=1,"12.133457,78.16364089999999"
Masjid-e-rahman TNTJ Anna Nagar,Mosque,"45M3+Q6F Masjid-e-rahman TNTJ Anna Nagar, Dharmapuri-Bengaluru Rd, Anna Nagar, Santhi Nagar, Krishnagiri, Vellegoundan Palayam, Tamil Nadu 635001","Anna Nagar, Santhi Nagar","45M3+Q6F, Dharmapuri-Bengaluru Rd","Krishnagiri, Vellegoundan Palayam",635001,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid-e-rahman+TNTJ+Anna+Nagar/data=!4m7!3m6!1s0x3bac1700f2327cf5:0x7dc01a99bea7c18!8m2!3d12.1344489!4d78.1530462!16s%2Fg%2F11fy1fk7xd!19sChIJ9Xwy8gAXrDsRGHzqm6kB3Ac?authuser=0&hl=en&rclk=1,"12.134448899999999,78.15304619999999"
Masjid_e_kubra,Mosque,"45R7+J74 Masjid_e_kubra, A.Reddihalli, Dharmapuri, Tamil Nadu 636701",,"45R7+J74, A.Reddihalli","Dharmapuri, A.Reddihalli",636701,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid_e_kubra/data=!4m7!3m6!1s0x3bac1656b0ac4647:0xed8345b32d5af833!8m2!3d12.1415052!4d78.1631933!16s%2Fg%2F11dxqg_z0h!19sChIJR0assFYWrDsRM_haLbNFg-0?authuser=0&hl=en&rclk=1,"12.1415052,78.1631933"
Keal Jamia Masjid,Mosque,"45M8+XJV Keal Jamia Masjid, keal masudhi street, Dharmapuri, Tamil Nadu 636701",,"45M8+XJV, keal masudhi street",Dharmapuri,,Tamil Nadu,IN,https://www.google.com/maps/place/Keal+Jamia+Masjid/data=!4m7!3m6!1s0x3bac17ce949538f5:0x9541263d10da9cd9!8m2!3d12.1349939!4d78.1665333!16s%2Fg%2F11g1mn7kh1!19sChIJ9TiVlM4XrDsR2ZzaED0mQZU?authuser=0&hl=en&rclk=1,"12.1349939,78.1665333"
TNTJ KEEL THERU BRANCH,Mosque,"TNTJ KEEL THERU BRANCH, 19a/8a, Dharmapuri - Tirupattur Road, PU Shanmugam Nagar, Tamil Nadu",PU Shanmugam Nagar,"19a/8a, Dharmapuri - Tirupattur Road",Dharmapuri,,Tamil Nadu,IN,https://www.google.com/maps/place/TNTJ+KEEL+THERU+BRANCH/data=!4m7!3m6!1s0x3bac16f86e63a36b:0xe1cef776bbb85ac9!8m2!3d12.1357696!4d78.1666879!16s%2Fg%2F11g8v3s63l!19sChIJa6NjbvgWrDsRyVq4u3b3zuE?authuser=0&hl=en&rclk=1,"12.1357696,78.1666879"
