name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Kids video,Mosque,"Kids video, MB Rd, Bagulamari, Dhubri, Assam 783323",Bagulamari,MB Rd,Dhubri,783323,Assam,IN,https://www.google.com/maps/place/Kids+video/data=!4m7!3m6!1s0x39e2a1b096c3aa1b:0xa3dd08e077e19d65!8m2!3d26.0124538!4d89.9683837!16s%2Fg%2F11q8824y56!19sChIJG6rDlrCh4jkRZZ3hd-AI3aM?authuser=0&hl=en&rclk=1,"26.0124538,89.96838369999999"
Naya Masjid,Mosque,"Naya Masjid, Bagulamari, Dhubri, Assam 783301",Bagulamari,,Dhubri,783301,Assam,IN,https://www.google.com/maps/place/Naya+Masjid/data=!4m7!3m6!1s0x39e2a03411675cc7:0x402444cef721d145!8m2!3d26.0226389!4d89.9664938!16s%2Fg%2F1tslh3zr!19sChIJx1xnETSg4jkRRdEh985EJEA?authuser=0&hl=en&rclk=1,"26.0226389,89.9664938"
Bidyapara Markaaz Masjid,Mosque,"2XCM+J2C Bidyapara Markaaz Masjid, Dr Zakir Hussain Rd, Ward Number 9, Bidyapara, Dhubri, Assam 783301","Ward Number 9, Bidyapara","2XCM+J2C, Dr Zakir Hussain Rd",Dhubri,783301,Assam,IN,https://www.google.com/maps/place/Bidyapara+Markaaz+Masjid/data=!4m7!3m6!1s0x39e2a01597d72735:0x55a48fa01c8a983d!8m2!3d26.0215538!4d89.9825289!16s%2Fg%2F1tk6nr74!19sChIJNSfXlxWg4jkRPZiKHKCPpFU?authuser=0&hl=en&rclk=1,"26.0215538,89.98252889999999"
A M Co ROAD Masjid,Mosque,"A M Co ROAD Masjid, Santi Nagar, Dhubri, Assam 783323",Santi Nagar,,Dhubri,783323,Assam,IN,https://www.google.com/maps/place/A+M+Co+ROAD+Masjid/data=!4m7!3m6!1s0x39e2a04869052881:0x25b7ab56ad585626!8m2!3d26.0157448!4d89.9709452!16s%2Fg%2F1hjgvlwp2!19sChIJgSgFaUig4jkRJlZYrVartyU?authuser=0&hl=en&rclk=1,"26.0157448,89.9709452"
Halgura Masjid,Mosque,"2XF6+32G Halgura Masjid, Adabari PT 1, Bidyapara II Part Pt, Assam 783324",Adabari PT 1,2XF6+32G,Bidyapara II Part Pt,783324,Assam,IN,https://www.google.com/maps/place/Halgura+Masjid/data=!4m7!3m6!1s0x39e2a1cb9c68eadf:0x5662a40dd4ed484e!8m2!3d26.0226935!4d89.9600872!16s%2Fg%2F11g9nrgp_l!19sChIJ3-ponMuh4jkRTkjt1A2kYlY?authuser=0&hl=en&rclk=1,"26.0226935,89.96008719999999"
Bahadurtary Jame Masjid,Mosque,"2X6J+C2H Bahadurtary Jame Masjid, Unnamed Road, Boro Bazar, Dhubri, Assam 783301",Boro Bazar,"2X6J+C2H, Unnamed Road",Dhubri,783301,Assam,IN,https://www.google.com/maps/place/Bahadurtary+Jame+Masjid/data=!4m7!3m6!1s0x39e2a0423d272ccf:0x44d42f3206d26c6b!8m2!3d26.0109435!4d89.9799119!16s%2Fg%2F11fxdyvyqd!19sChIJzywnPUKg4jkRa2zSBjIv1EQ?authuser=0&hl=en&rclk=1,"26.0109435,89.97991189999999"
Indira Gandhi Road Masjid,Mosque,"2X8F+W8H Indira Gandhi Road Masjid, Indira Gandhi Rd, Santi Nagar, Dhubri, Assam 783301",Santi Nagar,"2X8F+W8H, Indira Gandhi Rd",Dhubri,783301,Assam,IN,https://www.google.com/maps/place/Indira+Gandhi+Road+Masjid/data=!4m7!3m6!1s0x39e2a0478c6fbbcd:0xdb34c55f6ebd59ae!8m2!3d26.0173193!4d89.9733683!16s%2Fg%2F12lw8h1_9!19sChIJzbtvjEeg4jkRrlm9bl_FNNs?authuser=0&hl=en&rclk=1,"26.0173193,89.97336829999999"
"Fokirpara Jama Masjid, Dhubri City",Mosque,"Ward No.7, Fokirpara Jama Masjid, Dhubri City, CR Das Rd, Boro Bazar, Dhubri, Assam 783301",Boro Bazar,"Ward No.7, CR Das Rd",Dhubri,783301,Assam,IN,"https://www.google.com/maps/place/Fokirpara+Jama+Masjid,+Dhubri+City/data=!4m7!3m6!1s0x39e2a014fc1d40e3:0x87f9220175a67d2c!8m2!3d26.0203461!4d89.9837166!16s%2Fg%2F1vystyy0!19sChIJ40Ad_BSg4jkRLH2mdQEi-Yc?authuser=0&hl=en&rclk=1","26.020346099999998,89.9837166"
Subash Nagar Jame Masjid,Mosque,"2X7G+MMH Subash Nagar Jame Masjid, Subash Nagar, Dhubri, Assam 783323",Subash Nagar,2X7G+MMH,Dhubri,,Assam,IN,https://www.google.com/maps/place/Subash+Nagar+Jame+Masjid/data=!4m7!3m6!1s0x39e2a0412d201bdf:0x9b1c5d53f21f859e!8m2!3d26.0141834!4d89.9767227!16s%2Fg%2F11f5dckllm!19sChIJ3xsgLUGg4jkRnoUf8lNdHJs?authuser=0&hl=en&rclk=1,"26.0141834,89.9767227"
Masjid-E-Umar,Mosque,"2XG8+G46 Masjid-E-Umar, Jhagrarpar, Dhubri, Assam 783324",Jhagrarpar,2XG8+G46,Dhubri,783324,Assam,IN,https://www.google.com/maps/place/Masjid-E-Umar/data=!4m7!3m6!1s0x39e2a18fb940cd77:0x3f892501a57a6777!8m2!3d26.0262799!4d89.9652755!16s%2Fg%2F11g08y69x3!19sChIJd81AuY-h4jkRd2d6pQEliT8?authuser=0&hl=en&rclk=1,"26.0262799,89.96527549999999"
