place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJ-edX5nTkDDkR-k5VJXxXgJY,Jama Masjid (Okhla),All,https://lh5.googleusercontent.com/p/AF1QipMAEMwCwXC1t8mfauZGmwNMbkzKozA0BM9h94IE=w224-h298-k-no
ChIJ-edX5nTkDDkR-k5VJXxXgJY,Jama Masjid (Okhla),Latest,https://lh5.googleusercontent.com/p/AF1QipOCuQ_OKexnFVwyG6jTw70Ks29_nR0-DUVUENAx=w224-h499-k-no
ChIJ-edX5nTkDDkR-k5VJXxXgJY,Jama Masjid (Okhla),Videos,https://lh5.googleusercontent.com/p/AF1QipMLTUSoAlaruIV69n7V7ioThXhAn2BbO5pvIJHx=w224-h398-k-no
ChIJ-edX5nTkDDkR-k5VJXxXgJY,Jama Masjid (Okhla),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=z-QJChe4QhZGcPWyP8lFTg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=237.94215&pitch=0&thumbfov=100
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,All,https://lh5.googleusercontent.com/p/AF1QipPuvEEBl7TFqidewO8nsNOsC2QdlIhKzeO8wTqs=w420-h298-k-no
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,Dome,https://lh5.googleusercontent.com/p/AF1QipPsDBtmO8rEKXfaej3f3ZAybZnhNsdB53hBEPBz=w224-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,All,https://lh5.googleusercontent.com/p/AF1QipNtxwh2kZLuz6nxQHQwr72uh1RGcPFbQ5GR-FaK=w407-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,Latest,https://lh5.googleusercontent.com/p/AF1QipNHzfC__WPwbsAJyGT4-Fd6v2UCKJ3pKQh7Ld-_=w397-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,Videos,https://lh5.googleusercontent.com/p/AF1QipOErgRYZmqhpfHzqcP_EphJgVbOb3tTOqTv31vE=w529-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,Dome,https://lh5.googleusercontent.com/p/AF1QipMKFpFmRT6yYXCaWFJBtACywWL01Un1oL6zmaoE=w397-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipOwLkruWfY46QnsV3AIITSYY5WhlkbRkre8TmqR=w224-h298-k-no-pi-14.840526-ya18.926828-ro-0-fo100
ChIJ4-M7UwxxczkRn5SRr82Aghc,Shahi Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMHk3MElBEbSWGaTBtbcCggJVYuHh6LUbFAMPTn=w529-h298-k-no
ChIJ4-M7UwxxczkRn5SRr82Aghc,Shahi Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNT5VRgrHAfQzP7RPdJF0w-ig2EfbVYgZomV6FD=w224-h298-k-no
ChIJ4-M7UwxxczkRn5SRr82Aghc,Shahi Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMAlQQVBGkXgoeyvcQdFX_VfagLFcz1cGLo9VTM=w529-h298-k-no
ChIJ4-M7UwxxczkRn5SRr82Aghc,Shahi Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipODHekF5nMqOEqx36BV694_beFJX1DTR7ISqnFL=w645-h298-k-no
ChIJJU-ed3FxczkRuVtFbAColHQ,Shahi Mosque Eidgah,All,https://lh5.googleusercontent.com/p/AF1QipOlGtbNeZOC0N3JS3BRyTsLAXNAEKZyW1zGA12_=w611-h298-k-no
ChIJJU-ed3FxczkRuVtFbAColHQ,Shahi Mosque Eidgah,Dome,https://lh5.googleusercontent.com/p/AF1QipNrtRcDHSVrmOkczmbKCZXXeeUZbjW_FUB7Uchu=w224-h298-k-no
ChIJZ5twzRrkDDkRd5tHNVJe8o0,Mohammadi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPjee2JyJzaRHRh7Pi-TCkPvGN1ZuXchcfx4aJj=w224-h298-k-no
ChIJZ5twzRrkDDkRd5tHNVJe8o0,Mohammadi Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNuxiv0ivg3aCwLrVdSYGDL-mKe6VSqvGV3JT2o=w224-h398-k-no
ChIJh9gOCAbkDDkR3UR9wa6IiFg,Usmania Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPtMoJLbStAGHDuAB0EXun4xKJNJ48Hw-lQI5lS=w529-h298-k-no
ChIJh9gOCAbkDDkR3UR9wa6IiFg,Usmania Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipMHWj9aT4i6g_xDidl7o_boDWqAyt458kyD4nGS=w224-h398-k-no
ChIJh9gOCAbkDDkR3UR9wa6IiFg,Usmania Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipP-6JLC9oYkHuz0XKwlfT6_EkBryWbFGwSKdvQ3=w224-h398-k-no
ChIJh9gOCAbkDDkR3UR9wa6IiFg,Usmania Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UXkj5siPW-M75jB87EaCiQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=4.013308&pitch=0&thumbfov=100
