place_id,place_name,about,link
ChIJqVToLd5nzjsR-T5vzWu_8nc,Jama Mosque Jama masjid gadi gali,All,https://lh5.googleusercontent.com/p/AF1QipNcT9sDk-D-v-yhJmyNi96Cv6qlwwOVeuJzty1x=w224-h398-k-no
ChIJD7OAMoVnzjsRfBJuqN0_Gkk,Huzur Gunj Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM9k4M2H5RSIMeUcdbdhZBEjct_rLB9c2aDwpVF=w397-h298-k-no
ChIJD7OAMoVnzjsRfBJuqN0_Gkk,Huzur Gunj Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOW9LzGLs747s48rYP0i7kKfYj--cheITo_ykLW=w224-h298-k-no
ChIJD7OAMoVnzjsRfBJuqN0_Gkk,Huzur Gunj Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPK6IeQ7vGS3LA1xwBA200r0AhKLjWSMa-KC7RX=w224-h398-k-no
ChIJD7OAMoVnzjsRfBJuqN0_Gkk,Huzur Gunj Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipN9hhYXItodBka59-ta1NztO29Dxk2WWeIv6j4c=w224-h298-k-no-pi0-ya350-ro-0-fo100
ChIJYesl6tRnzjsROHzmBkPb7Gk,Darbari masjid,All,https://lh5.googleusercontent.com/p/AF1QipO71uEz5iz3MtzIrDGVUVJ5YypH5B--yJaxUi4Q=w529-h298-k-no
ChIJYesl6tRnzjsROHzmBkPb7Gk,Darbari masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipO71uEz5iz3MtzIrDGVUVJ5YypH5B--yJaxUi4Q=w529-h298-k-no
ChIJYesl6tRnzjsROHzmBkPb7Gk,Darbari masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOXylY9KWgMm6VWcf7JHM42EjrAn0pOZIJcfRXg=w224-h398-k-no
ChIJr6vjX5dnzjsRCkb_TfCifXE,Husaini Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPr41k-LYXc9BgV9OTQEhMdwp8vkMdA-gea_Y_w=w224-h298-k-no
ChIJMeutueNnzjsRJjY_qEeXzsE,Madena mhajed,All,https://lh5.googleusercontent.com/p/AF1QipOs5tgHVBI3POP-rNw_oc5N7YX2McC2iXrYcvWq=w529-h298-k-no
ChIJz9jkrDVnzjsReBJMHx1HGNA,Masjid-E-Umar Faruq,All,https://lh5.googleusercontent.com/p/AF1QipOpqUop2nFO0YZq7xHv0PIASWb6aWyK7I0YGwj2=w529-h298-k-no
ChIJz9jkrDVnzjsReBJMHx1HGNA,Masjid-E-Umar Faruq,By owner,https://lh5.googleusercontent.com/p/AF1QipMINOh32vn3LLyMBFakg67lEpnldaBZb_ctAgXN=w529-h298-k-no
ChIJf_ejA_RnzjsRU4pmvX0yxcw,Masjid Roza Bagh,All,https://lh5.googleusercontent.com/p/AF1QipPu3d4gllqK0w-mnlVmRE-U2_lZyjCyTzcUCfOR=w397-h298-k-no
