place_id,place_name,about,link
ChIJ93dO2Rxy9zkRo2picxqd6YI,Masjid-a- City Centre,All,https://lh5.googleusercontent.com/p/AF1QipNlogt6A9c_q9tCXHTC15l6DIWsawEm8v85Q6In=w298-h298-k-no
ChIJ93dO2Rxy9zkRo2picxqd6YI,Masjid-a- City Centre,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uFCv2Y3XWOUcHTulaYhhSA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=237.04268&pitch=0&thumbfov=100
ChIJvQ4n3stx9zkRtjoWOuxH5ds,Bidhannagar EidGaah,All,https://lh5.googleusercontent.com/p/AF1QipPZm2l7TlASaXC_qDLLlfKudfTE-9aem9b4QVz0=w529-h298-k-no
ChIJvQ4n3stx9zkRtjoWOuxH5ds,Bidhannagar EidGaah,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=P3dRFe7hX3QJH55OWlULOw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=39.84869&pitch=0&thumbfov=100
ChIJvQ4n3stx9zkRtjoWOuxH5ds,Bidhannagar EidGaah,Videos,https://lh5.googleusercontent.com/p/AF1QipNvcFW-eGW1VerLopCypCj3DGkFVQ2IZJ1emxzO=w224-h398-k-no
ChIJJdR2_wht9zkRxzxmAU3QCo0,Amrai Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP2u-xmbcSxAt2wOdMTaAj3tCca34FCMh68OQ3Y=w224-h497-k-no
ChIJJdR2_wht9zkRxzxmAU3QCo0,Amrai Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipMaDQIwcFZNZYypr3GYW0kp_V668RVHWAukRHP3=w224-h398-k-no
ChIJJdR2_wht9zkRxzxmAU3QCo0,Amrai Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMzv_kD3grPc6_8fuXHBpadEhs98wTWsLpdVVgX=w224-h398-k-no
ChIJJdR2_wht9zkRxzxmAU3QCo0,Amrai Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPsI8mHZIB5RpCh9Ftv2-RsTf7D9AQ1-whfTK1C=w224-h298-k-no
ChIJJdR2_wht9zkRxzxmAU3QCo0,Amrai Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6pgCSE1Qk-4rkt9Yk1NtqA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=29.597075&pitch=0&thumbfov=100
ChIJ8ftL5ZNt9zkRokEU5Bu1Kis,Jama Masjid jm` msjd,All,https://lh5.googleusercontent.com/p/AF1QipORmMtGwAbANcqmyWAlYpEpsBYXK30jnvxls34k=w397-h298-k-no
ChIJ8ftL5ZNt9zkRokEU5Bu1Kis,Jama Masjid jm` msjd,Dome,https://lh5.googleusercontent.com/p/AF1QipOwcPApawGvZUeOSPiDoxWK7XX5RVcYfiLqMU6q=w224-h298-k-no
ChIJHz44XuJs9zkRw-OH6DIHJPI,Arati Masjid Durgapur msjd,All,https://lh5.googleusercontent.com/p/AF1QipM6ADlrmNjf-QVBD2eWUPXQzg1OGDl0hI40uBaM=w529-h298-k-no
ChIJHz44XuJs9zkRw-OH6DIHJPI,Arati Masjid Durgapur msjd,Dome,https://lh5.googleusercontent.com/p/AF1QipNtipaiHcTxZJm_Mmodbi-7QvcrhawszeSwi8I=w224-h298-k-no
ChIJHz44XuJs9zkRw-OH6DIHJPI,Arati Masjid Durgapur msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipNVTUW_cLb5tZzJsWyc6V_fJc5DCMTz6CiXMf3p=w238-h298-k-no
ChIJHz44XuJs9zkRw-OH6DIHJPI,Arati Masjid Durgapur msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0ipFmdJZyCir0uMROnh1Gw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=210.55241&pitch=0&thumbfov=100
ChIJ7YnxROtx9zkRUwDRLMwxEHg,Subhas Pally Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f9x5WpCCWK8QlzG8IACDGA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=34.130787&pitch=0&thumbfov=100
ChIJ7YnxROtx9zkRUwDRLMwxEHg,Subhas Pally Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f9x5WpCCWK8QlzG8IACDGA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=34.130787&pitch=0&thumbfov=100
ChIJY20PJRFu9zkR5stczotnYns,Chandidas Central Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMv9haDqVu1exkipCFrWXvCO7CUGOinPYfBwzuR=w529-h298-k-no
ChIJY20PJRFu9zkR5stczotnYns,Chandidas Central Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-yC9HsjP5xJU5ze7Idh9ZQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=3.9715424&pitch=0&thumbfov=100
ChIJY20PJRFu9zkR5stczotnYns,Chandidas Central Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMPyw2lSM-x3WNn_5vzTLt3xjuuxZ7wMCJg5srX=w529-h298-k-no
ChIJ8f5o8JNt9zkRZkLx4J6kv-c,MR-28 MASJID MAHALLA,All,https://lh5.googleusercontent.com/p/AF1QipM304844qlHJ67MHaAxSYSSPE6lMtDgH2TefrcH=w645-h298-k-no
ChIJ8f5o8JNt9zkRZkLx4J6kv-c,MR-28 MASJID MAHALLA,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KR0J0DZsn3tYyXqk7SAZfg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=43.99403&pitch=0&thumbfov=100
ChIJ45IggQJu9zkRvZN__hjWa4c,Sonar Tori Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPu1P7h1gGk0i-pFsxVWj2_EMedx9x_JM6jqB--=w224-h298-k-no
ChIJ45IggQJu9zkRvZN__hjWa4c,Sonar Tori Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOJ9f41DtptvAv5OkMBx5mFZ2zjrG2pq81wCdGQ=w224-h298-k-no
ChIJ45IggQJu9zkRvZN__hjWa4c,Sonar Tori Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMhgcAoRg-aVTwAI8RZYGKNq2q17SK6qr0NYZin=w224-h497-k-no
ChIJjWUjgnNx9zkRUYLZTHxQ3sM,Station Bazar Masjid Durgapur,All,https://lh5.googleusercontent.com/p/AF1QipOnue-3XECt7Pd8ItulOL1iqUcH5gjTP0I-aDpK=w224-h298-k-no
ChIJjWUjgnNx9zkRUYLZTHxQ3sM,Station Bazar Masjid Durgapur,Videos,https://lh5.googleusercontent.com/p/AF1QipM5CVdeyp-ocG9EN3jEjT3Vg7arwu-NjIjzX-gF=w224-h398-k-no
ChIJayvJh4Jt9zkRvheXF8IwJiY,Masjid E-Belal,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=19z9BGgJmKYtkuOIBZ9Kog&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=231.9307&pitch=0&thumbfov=100
ChIJayvJh4Jt9zkRvheXF8IwJiY,Masjid E-Belal,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=19z9BGgJmKYtkuOIBZ9Kog&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=231.9307&pitch=0&thumbfov=100
ChIJ0S2k4utx9zkRnM872EMWTNU,Sagar Bhanga Jumma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOiGalpPPtd-Tzy8IPMMVkxLbCAoz91EDk5-CmU=w224-h398-k-no
ChIJOQmsyzdx9zkRhzpLM99_AD8,Anjuman Masjid (Jama Masjid) (BidhanNagar Masjid),All,https://lh5.googleusercontent.com/p/AF1QipMwbIVFW23VFrMhV--wBNvWvHzvKcDcuYgXPDs7=w529-h298-k-no
ChIJOQmsyzdx9zkRhzpLM99_AD8,Anjuman Masjid (Jama Masjid) (BidhanNagar Masjid),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wFR-9Sc-iBxmLhAAcexpeQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=1.1121348&pitch=0&thumbfov=100
ChIJ8UzHByhu9zkRi4As5_m-BVE,CRPF MOSQUE,All,https://lh5.googleusercontent.com/p/AF1QipOmbL8Xef46oT2EGxb4ZOw-zpjStJDoEWwugAgS=w529-h298-k-no
ChIJyehsHddx9zkRYW2LVlhQ5JE,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOr_tILyWjKv5TpnK_wMcvfG5P3zXqZQ98_Tmka=w224-h398-k-no
ChIJyehsHddx9zkRYW2LVlhQ5JE,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMfdESuD3H9yYx7As3RnS12Dx_mopPO8Ry2g86P=w224-h398-k-no
ChIJuaVPJ6xz9zkRBKsVyMCw1dw,Palashadiha Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOkxiK2kFyEFwiqvXfs51LdAMqIFUYiRW0OKB2D=w224-h497-k-no
ChIJuaVPJ6xz9zkRBKsVyMCw1dw,Palashadiha Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMfjaEuLPE0Be-hoxy60DldRYRYa9T1KaBiKJTi=w224-h398-k-no
ChIJDcouj4Nt9zkRIUbrkrYVoNs,Benachity Choti masjid,All,https://lh5.googleusercontent.com/p/AF1QipPnmlzRaQyNU2-sNB5OQ7pAEfSYwZ1XdGb5zxc=w224-h398-k-no
ChIJDcouj4Nt9zkRIUbrkrYVoNs,Benachity Choti masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1B8_CDVfbU-SgLA-c3Ltlg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=84.03555&pitch=0&thumbfov=100
ChIJzQif8z1t9zkR-T7uUzemDCY,Noorie Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM2P2NP2OdYYaw2BKcI9TU-e8k6rYmyEgrk5HnW=w446-h298-k-no
ChIJzQif8z1t9zkR-T7uUzemDCY,Noorie Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=z3VBJNOAcCRyo5bphiqG6w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=14.297956&pitch=0&thumbfov=100
ChIJzQif8z1t9zkR-T7uUzemDCY,Noorie Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOcTug-C3ae_pNwHc7aqXTU9Veou9phVd2xXr1M=w529-h298-k-no
ChIJ0wOHlnNt9zkRh36_DnKuxcM,New Steel Park Mosque,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3Rz2_AeECqPF12iWgPSFlA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=266.70963&pitch=0&thumbfov=100
ChIJ0wOHlnNt9zkRh36_DnKuxcM,New Steel Park Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3Rz2_AeECqPF12iWgPSFlA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=266.70963&pitch=0&thumbfov=100
ChIJxbBqJwpt9zkRxGp0oacXGuc,Amrai Nurani Masjid aamraai nuuraanii msjid,All,https://lh5.googleusercontent.com/p/AF1QipM2Ol-pfmjaMVntUskSxNw11TXlPFuH2hgLwZ8B=w397-h298-k-no
ChIJxbBqJwpt9zkRxGp0oacXGuc,Amrai Nurani Masjid aamraai nuuraanii msjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l2FT3BuCWxCKUV0b3faD2A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=181.17035&pitch=0&thumbfov=100
ChIJDyJg4V5t9zkRft_1PbOfTmQ,Kada Road Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPZmkkPm5DtJLcW5LxzH952Tfkneq_HQmJbD6Z0=w251-h298-k-no
ChIJDyJg4V5t9zkRft_1PbOfTmQ,Kada Road Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOlIX6RIuMTW0s8bOn0M2nbaxBrt83YQ-siobiR=w224-h417-k-no
ChIJDyJg4V5t9zkRft_1PbOfTmQ,Kada Road Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNfl-D3AK7drsRBpFGde3xn0wkQ55W2BTqNK9O0=w529-h298-k-no
ChIJDyJg4V5t9zkRft_1PbOfTmQ,Kada Road Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XTp0AoG7t5-8FMg12L78DQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=286.8763&pitch=0&thumbfov=100
ChIJJ1R6l5Rx9zkRu7E_ps1d2uE,Roy Danga Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNlkg6IuL3qXrSSpKLpSmSx3SSCPV4aipEcdtn7=w397-h298-k-no
ChIJJ1R6l5Rx9zkRu7E_ps1d2uE,Roy Danga Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Oe0gI8UxaH91dMiVHCvBxA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=52.917038&pitch=0&thumbfov=100
ChIJJ1R6l5Rx9zkRu7E_ps1d2uE,Roy Danga Juma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPJPWneSdodl_BdyamL8bSU-YkdSE_jJWfG8PE0=w529-h298-k-no
ChIJtduaQYJt9zkROQY0qgzBN1s,Madina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM62_1vAtdSbTcov4SF2EP5OlLKqi01EEEa4ggF=w529-h298-k-no
ChIJtduaQYJt9zkROQY0qgzBN1s,Madina Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_9T2fZTFB-b-t04NbaNK2Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=343.25235&pitch=0&thumbfov=100
ChIJpXN72PZv9zkRdQhxDSIE6sE,Small mosque,All,https://lh5.googleusercontent.com/p/AF1QipOS-DISC9XiR4Ur_79DmiUe-nqrubxg90sMrDIb=w224-h485-k-no
ChIJpXN72PZv9zkRdQhxDSIE6sE,Small mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_8tiiaff0mtqMcd5mABHUA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=269.54016&pitch=0&thumbfov=100
ChIJpXN72PZv9zkRdQhxDSIE6sE,Small mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipMZqjptrtXOXOHet_FR-Jiu7MGco3iXY1vktVhk=w224-h482-k-no
ChIJ38QT5Itx9zkRzSVLqTSVFK8,New Muslimpara Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rS3V4m59hQnA99oOjBbuSQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=234.5566&pitch=0&thumbfov=100
