name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"Jama Masjid, Old Delhi, Delhi, 110006","Jama Masjid, Old Delhi",,Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390cfd18df89b215:0xdd57369e29bf9d96!8m2!3d28.6506792!4d77.2334421!16zL20vMDR5emo1!19sChIJFbKJ3xj9DDkRlp2_KZ42V90?authuser=0&hl=en&rclk=1,"28.6506792,77.23344209999999"
Sabz Masjid,Mosque,"Sabz Masjid, 3571, Lalkuan Bazar Rd, Bazar Sirkiwalan, Lal Kuan Bazar, Chandni Chowk, Delhi, 110006","Bazar Sirkiwalan, Lal Kuan Bazar, Chandni Chowk","3571, Lalkuan Bazar Rd",Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Sabz+Masjid/data=!4m7!3m6!1s0x390cfd16a94877a7:0x7b35bb653cd42e20!8m2!3d28.652163!4d77.223599!16s%2Fm%2F04q247t!19sChIJp3dIqRb9DDkRIC7UPGW7NXs?authuser=0&hl=en&rclk=1,"28.652162999999998,77.223599"
Masjid Umar Farooq,Mosque,"Masjid Umar Farooq, F-56, Allama Shibli Nomani Road, Shaheen Bagh, Okhla, New Delhi, Delhi 110025","Shaheen Bagh, Okhla","F-56, Allama Shibli Nomani Road",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Masjid+Umar+Farooq/data=!4m7!3m6!1s0x390ce41c85bb1f59:0x6e5c74657b2ef350!8m2!3d28.5444786!4d77.3006375!16s%2Fg%2F12qfsrfxd!19sChIJWR-7hRzkDDkRUPMue2V0XG4?authuser=0&hl=en&rclk=1,"28.544478599999998,77.3006375"
Masjid Umar,Mosque,"Masjid Umar, H Block, Abul Fazal Enclave, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Abul Fazal Enclave, Jamia Nagar, Okhla",H Block,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Masjid+Umar/data=!4m7!3m6!1s0x390ce40e52efde7f:0x5e0487c814d4c357!8m2!3d28.5535005!4d77.2956955!16s%2Fg%2F11b6snzn79!19sChIJf97vUg7kDDkRV8PUFMiHBF4?authuser=0&hl=en&rclk=1,"28.5535005,77.2956955"
ehle islam masjid,Mosque,"M424+RPW ehle islam masjid, Road No. 28, Block F, Tagore Garden, Tagore Garden Extension, Delhi, 110027","Block F, Tagore Garden, Tagore Garden Extension","M424+RPW, Road No. 28",Delhi,110027,Delhi,IN,https://www.google.com/maps/place/ehle+islam+masjid/data=!4m7!3m6!1s0x390d037c17da8ec7:0x293fd9ad00fa4988!8m2!3d28.6521245!4d77.1068316!16s%2Fg%2F1260w63bx!19sChIJx47aF3wDDTkRiEn6AK3ZPyk?authuser=0&hl=en&rclk=1,"28.6521245,77.10683159999999"
bilal masjid.,Mosque,"P24V+6FG bilal masjid., Durga Mandir Rd, Phase 2, Inder Enclave, Rohini, New Delhi, Delhi, 110086","Phase 2, Inder Enclave, Rohini","P24V+6FG, Durga Mandir Rd","New Delhi, Delhi",110086,Delhi,IN,https://www.google.com/maps/place/bilal+masjid./data=!4m7!3m6!1s0x390d06709583ec61:0x52f266630d1af0ed!8m2!3d28.7055626!4d77.0437043!16s%2Fg%2F11g6r27xpk!19sChIJYeyDlXAGDTkR7fAaDWNm8lI?authuser=0&hl=en&rclk=1,"28.7055626,77.0437043"
Ilahi Masjid,Mosque,"J8HW+HR5 Ilahi Masjid, Makanpur Colony, Sector 62A, Noida, Uttar Pradesh 201010","Makanpur Colony, Sector 62A",J8HW+HR5,Noida,201010,Uttar Pradesh,IN,https://www.google.com/maps/place/Ilahi+Masjid/data=!4m7!3m6!1s0x390ce53170e3bd5d:0xfbf82c09cfa6d3aa!8m2!3d28.6288947!4d77.3471098!16s%2Fg%2F11d_7y8d1z!19sChIJXb3jcDHlDDkRqtOmzwks-Ps?authuser=0&hl=en&rclk=1,"28.6288947,77.3471098"
Noor Masjid msjd nwr,Mosque,"Noor Masjid msjd nwr, B4/10A, Amar Jyoti Colony, opposite, Sector17, Rohini, Delhi, 110042","Amar Jyoti Colony, opposite, Sector17, Rohini",B4/10A,Delhi,110042,Delhi,IN,https://www.google.com/maps/place/Noor+Masjid+%D9%85%D8%B3%D8%AC%D8%AF+%D9%86%D9%88%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x390d01240853daf5:0x1040fcac7d1c21bf!8m2!3d28.7449397!4d77.1196028!16s%2Fg%2F11b6ycmlp3!19sChIJ9dpTCCQBDTkRvyEcfaz8QBA?authuser=0&hl=en&rclk=1,"28.7449397,77.1196028"
Masjid-al-Quraish (ahle-hadees),Mosque,"P435+QMF Masjid-al-Quraish (ahle-hadees), Main Bazar, Paidichintapadu, Eluru, Andhra Pradesh 534001","Main Bazar, Paidichintapadu",P435+QMF,Eluru,534001,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid-al-Quraish+%28ahle-hadees%29/data=!4m7!3m6!1s0x3a3614db38077cfd:0x542e943609a46d31!8m2!3d16.7044409!4d81.10917!16s%2Fg%2F11cn0rshfx!19sChIJ_XwHONsUNjoRMW2kCTaULlQ?authuser=0&hl=en&rclk=1,"16.704440899999998,81.10916999999999"
Alivardipur Masjid,Mosque,"GCPQ+55R Alivardipur Masjid, Kulesara, Noida, Greater Noida, Uttar Pradesh 201306",Kulesara,GCPQ+55R,"Noida, Greater Noida",201306,Uttar Pradesh,IN,https://www.google.com/maps/place/Alivardipur+Masjid/data=!4m7!3m6!1s0x390ce93b63454b07:0x55a00fd129bd3d7!8m2!3d28.5354898!4d77.4378761!16s%2Fg%2F11f15dmk8s!19sChIJB0tFYzvpDDkR19ObEv0AWgU?authuser=0&hl=en&rclk=1,"28.535489799999997,77.4378761"
MASJID,Mosque,"MASJID, Wz 173a/1 new ranjeet nagar, Guru Nanak Nagar, Shadipur, Delhi 110008","Guru Nanak Nagar, Shadipur",Wz 173a/1 new ranjeet nagar,New Delhi,110008,Delhi,IN,https://www.google.com/maps/place/MASJID/data=!4m7!3m6!1s0x390d0327bb6f6129:0xe8342be2eca63326!8m2!3d28.6456917!4d77.1597324!16s%2Fg%2F11h5lkhmc2!19sChIJKWFvuycDDTkRJjOm7OIrNOg?authuser=0&hl=en&rclk=1,"28.6456917,77.1597324"
