name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
"Muhyidheen Juma Masjid,Erattupetta (muhiyuddhii jumaa msjid ,iiraarrrrupeetttt)",Mosque,"Muhyidheen Juma Masjid,Erattupetta (muhiyuddhii jumaa msjid ,iiraarrrrupeetttt), Aruvithura Crossway Rd, Aruvithura, Erattupetta, Kerala 686121",Aruvithura,Aruvithura Crossway Rd,Erattupetta,686121,Kerala,IN,"https://www.google.com/maps/place/Muhyidheen+Juma+Masjid,Erattupetta+%28%E0%B4%AE%E0%B5%81%E0%B4%B9%E0%B4%BF%E0%B4%AF%E0%B5%81%E0%B4%A6%E0%B5%8D%E0%B4%A7%E0%B5%80%E0%B5%BB+%E0%B4%9C%E0%B5%81%E0%B4%AE%E0%B4%BE+%E0%B4%AE%E0%B4%B8%E0%B5%8D%E0%B4%9C%E0%B4%BF%E0%B4%A6%E0%B5%8D+,%E0%B4%88%E0%B4%B0%E0%B4%BE%E0%B4%B1%E0%B5%8D%E0%B4%B1%E0%B5%81%E0%B4%AA%E0%B5%87%E0%B4%9F%E0%B5%8D%E0%B4%9F%29/data=!4m7!3m6!1s0x3b07cb003aa016ef:0x90fec568d81ab609!8m2!3d9.6858262!4d76.7790483!16s%2Fg%2F1thzm9xv!19sChIJ7xagOgDLBzsRCbYa2GjF_pA?authuser=0&hl=en&rclk=1","9.6858262,76.7790483"
Masjidhul Islam Salafi Juma masjidh,Mosque,"Masjidhul Islam Salafi Juma masjidh, 62, Kaduvamoozhy Road, Kaduvamuzhi, Erattupetta, Kerala 686579",Kaduvamuzhi,"62, Kaduvamoozhy Road",Erattupetta,686579,Kerala,IN,https://www.google.com/maps/place/Masjidhul+Islam+Salafi+Juma+masjidh/data=!4m7!3m6!1s0x3b07cbaea6fe488f:0x9c075dc765101f6a!8m2!3d9.6941649!4d76.7740243!16s%2Fg%2F11dz5c1tjz!19sChIJj0j-pq7LBzsRah8QZcddB5w?authuser=0&hl=en&rclk=1,"9.694164899999999,76.7740243"
Darussalam Masjid,Mosque,"PQ2P+Q2W Darussalam Masjid, Elappunkal, Erattupetta Muttom Rd, Erattupetta, Kerala 686121",,"PQ2P+Q2W, Elappunkal, Erattupetta Muttom Rd",Erattupetta,686121,Kerala,IN,https://www.google.com/maps/place/Darussalam+Masjid/data=!4m7!3m6!1s0x3b07ca4c2c57d863:0x23f694beb68172c6!8m2!3d9.701992!4d76.7850925!16s%2Fg%2F11bwnbl50c!19sChIJY9hXLEzKBzsRxnKBtr6U9iM?authuser=0&hl=en&rclk=1,"9.701991999999999,76.78509249999999"
Jabal Al Noor Juma Masjid Thevarupara,Mosque,"PQ2V+PG4 Jabal Al Noor Juma Masjid Thevarupara, Thevarupara Rd, Nadackal, Erattupetta, Kerala 686121",Nadackal,"PQ2V+PG4, Thevarupara Rd",Erattupetta,686121,Kerala,IN,https://www.google.com/maps/place/Jabal+Al+Noor+Juma+Masjid+Thevarupara/data=!4m7!3m6!1s0x3b07ca4521c019b9:0x405212d01b1ecb1a!8m2!3d9.7017585!4d76.7938133!16s%2Fg%2F11c3sqghnj!19sChIJuRnAIUXKBzsRGsseG9ASUkA?authuser=0&hl=en&rclk=1,"9.7017585,76.7938133"
Noorul Huda Masjid Erattupetta,Mosque,"MQJH+GJC Noorul Huda Masjid Erattupetta, SH 44, Thekkekara, Erattupetta, Kerala 686121",Thekkekara,"MQJH+GJC, SH 44",Erattupetta,686121,Kerala,IN,https://www.google.com/maps/place/Noorul+Huda+Masjid+Erattupetta/data=!4m7!3m6!1s0x3b07cb0212f92d93:0x2a201bce0a01bdd6!8m2!3d9.6813079!4d76.779011!16s%2Fg%2F1wf208c5!19sChIJky35EgLLBzsR1r0BCs4bICo?authuser=0&hl=en&rclk=1,"9.6813079,76.779011"
"Sahaba Juma Masjid, Erattupetta",Mosque,"MQJH+P8M Sahaba Juma Masjid, Erattupetta, Thekkekara, Erattupetta, Kerala 686121",Thekkekara,MQJH+P8M,Erattupetta,,Kerala,IN,"https://www.google.com/maps/place/Sahaba+Juma+Masjid,+Erattupetta/data=!4m7!3m6!1s0x3b07cb0219c84bb1:0xfc0cbfee1865e785!8m2!3d9.6818375!4d76.7782969!16s%2Fg%2F1ptwppwz4!19sChIJsUvIGQLLBzsRhedlGO6_DPw?authuser=0&hl=en&rclk=1","9.6818375,76.7782969"
Makkah Masjid,Mosque,"MQQJ+48M Makkah Masjid, Market Lane I, Nadackal, Erattupetta, Kerala 686121",Nadackal,"MQQJ+48M, Market Lane I",Erattupetta,686121,Kerala,IN,https://www.google.com/maps/place/Makkah+Masjid/data=!4m7!3m6!1s0x3b07cafff0d0487f:0x5d9f44683810045d!8m2!3d9.6878479!4d76.7808107!16s%2Fg%2F11c51x_8ch!19sChIJf0jQ8P_KBzsRXQQQOGhEn10?authuser=0&hl=en&rclk=1,"9.6878479,76.7808107"
Salafi mazjid,Mosque,"Salafi mazjid, Aruvithura Crossway Rd, Aruvithura, Erattupetta, Kerala 686121",Aruvithura,Aruvithura Crossway Rd,Erattupetta,686121,Kerala,IN,https://www.google.com/maps/place/Salafi+mazjid/data=!4m7!3m6!1s0x3b07cb9abbaa4f1b:0x272ed65b1336ace0!8m2!3d9.6852152!4d76.7789524!16s%2Fg%2F11q3tsqn5f!19sChIJG0-qu5rLBzsR4Kw2E1vWLic?authuser=0&hl=en&rclk=1,"9.6852152,76.7789524"
Masjidul Salam Salafi Masjid,Mosque,"MQPJ+WV7 Masjidul Salam Salafi Masjid, Nadackal, Erattupetta, Kerala 686121",Nadackal,MQPJ+WV7,Erattupetta,,Kerala,IN,https://www.google.com/maps/place/Masjidul+Salam+Salafi+Masjid/data=!4m7!3m6!1s0x3b07caff9a568147:0xa6fd8b15ee546088!8m2!3d9.6872844!4d76.7821839!16s%2Fg%2F11fy2jhfdf!19sChIJR4FWmv_KBzsRiGBU7hWL_aY?authuser=0&hl=en&rclk=1,"9.6872844,76.78218389999999"
Jalaliya Masjid,Mosque,"MQQX+V9F Jalaliya Masjid, Arafa Masjid Rd, Puthupparampil, Nadackal, Erattupetta, Kerala 686121","Puthupparampil, Nadackal","MQQX+V9F, Arafa Masjid Rd",Erattupetta,686121,Kerala,IN,https://www.google.com/maps/place/Jalaliya+Masjid/data=!4m7!3m6!1s0x3b07ca59bf829cbd:0x5ecfeeeb93663554!8m2!3d9.6896807!4d76.7984197!16s%2Fg%2F11csq0nb0k!19sChIJvZyCv1nKBzsRVDVmk-vuz14?authuser=0&hl=en&rclk=1,"9.6896807,76.7984197"
