name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Bhagoli Masjid Ahle Hadees,Mosque,"Bhagoli Masjid Ahle Hadees, Ghoda, Nakhas Rd, Manhari, Farrukhabad, Uttar Pradesh 209625",Manhari,"Ghoda, Nakhas Rd",Farrukhabad,209625,Uttar Pradesh,IN,https://www.google.com/maps/place/Bhagoli+Masjid+Ahle+Hadees/data=!4m7!3m6!1s0x399e312d8fd1f78f:0x7cb4678f72c8edf6!8m2!3d27.3972102!4d79.5876874!16s%2Fg%2F11f9zg6tzr!19sChIJj_fRjy0xnjkR9u3Ico9ntHw?authuser=0&hl=en&rclk=1,"27.3972102,79.5876874"
Ansari India Art,Handicraft,"Ansari India Art, 2/14 Garhi khan khana, Unchi minar masjid, Manihari St, Uttar Pradesh 209625",Manhari,"2/14 Garhi khan khana, Unchi minar masjid, Manihari St",Farrukhabad,209625,Uttar Pradesh,IN,https://www.google.com/maps/place/Ansari+India+Art/data=!4m7!3m6!1s0x399e313a4f593c19:0xbaf877e187acda68!8m2!3d27.3964074!4d79.5869942!16s%2Fg%2F11s893n8g3!19sChIJGTxZTzoxnjkRaNqsh-F3-Lo?authuser=0&hl=en&rclk=1,"27.396407399999998,79.58699419999999"
Ek Minara Masjid,Mosque,"9HWP+8QC Ek Minara Masjid, Manihari St, Manhari, Farrukhabad, Uttar Pradesh 209625",Manhari,"9HWP+8QC, Manihari St",Farrukhabad,209625,Uttar Pradesh,IN,https://www.google.com/maps/place/Ek+Minara+Masjid/data=!4m7!3m6!1s0x399e31b4ed712bcd:0x3fce3c4ad7ac2f2c!8m2!3d27.39581!4d79.58688!16s%2Fg%2F11dxbkldmk!19sChIJzStx7bQxnjkRLC-s10o8zj8?authuser=0&hl=en&rclk=1,"27.395809999999997,79.58688"
Masjid Rani Sahib,Mosque,"9HVG+G99 Masjid Rani Sahib, Bhikampura, Farrukhabad, Uttar Pradesh 209625",Bhikampura,9HVG+G99,Farrukhabad,209625,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Rani+Sahib/data=!4m7!3m6!1s0x399e31ccb9017989:0xbbcfa0c022470c4f!8m2!3d27.3937761!4d79.575985!16s%2Fg%2F11dxdmrdpd!19sChIJiXkBucwxnjkRTwxHIsCgz7s?authuser=0&hl=en&rclk=1,"27.3937761,79.575985"
Masjid Anjuman,Mosque,"Masjid Anjuman, Mufti Saheb Market, Nehru Rd, Farrukhabad, Uttar Pradesh 209625",,"Mufti Saheb Market, Nehru Rd",Farrukhabad,,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Anjuman/data=!4m7!3m6!1s0x399e304a167462fd:0xbbb3268d34963b0b!8m2!3d27.3887448!4d79.5841241!16s%2Fg%2F11b6sw1myh!19sChIJ_WJ0FkownjkRCzuWNI0ms7s?authuser=0&hl=en&rclk=1,"27.388744799999998,79.5841241"
Dargah Hussainiya Mujibiya,Mosque,"9HWG+V84 Dargah Hussainiya Mujibiya, Sufi khan, Farrukhabad, Uttar Pradesh 209625",Bhikampura,"9HWG+V84, Sufi khan",Farrukhabad,209625,Uttar Pradesh,IN,https://www.google.com/maps/place/Dargah+Hussainiya+Mujibiya/data=!4m7!3m6!1s0x399e31cc6aa28917:0xd1b23c20eacf92df!8m2!3d27.3971419!4d79.5758369!16s%2Fg%2F11c58v3_vt!19sChIJF4miaswxnjkR35LP6iA8stE?authuser=0&hl=en&rclk=1,"27.397141899999998,79.5758369"
Aamwaali Masjid Ahlesunnah Hanafi Barelvi,Mosque,"Aamwaali Masjid Ahlesunnah Hanafi Barelvi, khatakpura siddiqui, Manhari, Farrukhabad, Uttar Pradesh 209625",Manhari,khatakpura siddiqui,Farrukhabad,,Uttar Pradesh,IN,https://www.google.com/maps/place/Aamwaali+Masjid+Ahlesunnah+Hanafi+Barelvi/data=!4m7!3m6!1s0x399e304b7112b563:0xf9a90b6521c66caf!8m2!3d27.3913238!4d79.5874718!16s%2Fg%2F11g8wr1wc_!19sChIJY7UScUswnjkRr2zGIWULqfk?authuser=0&hl=en&rclk=1,"27.3913238,79.5874718"
Loharo Wali Masjid Sunni,Mosque,"Loharo Wali Masjid Sunni, Major District Road 110W, Manhari, Farrukhabad, Uttar Pradesh 209625",Manhari,Major District Road 110W,Farrukhabad,209625,Uttar Pradesh,IN,https://www.google.com/maps/place/Loharo+Wali+Masjid+Sunni/data=!4m7!3m6!1s0x399e30495e21ef29:0x32ceb1f791862d90!8m2!3d27.3876261!4d79.5870504!16s%2Fg%2F124yfq04c!19sChIJKe8hXkkwnjkRkC2GkfexzjI?authuser=0&hl=en&rclk=1,"27.3876261,79.5870504"
Jama Masjid Deobandi City,Mosque,"9HQJ+VJM Jama Masjid Deobandi City, Nehru Rd, Farrukhabad, Uttar Pradesh 209625",,"9HQJ+VJM, Nehru Rd",Farrukhabad,209625,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid+Deobandi+City/data=!4m7!3m6!1s0x399e304b041a1953:0x3cf48d1e1a63dd1e!8m2!3d27.3897142!4d79.5815472!16s%2Fg%2F11f3jklpgk!19sChIJUxkaBEswnjkRHt1jGh6N9Dw?authuser=0&hl=en&rclk=1,"27.3897142,79.5815472"
Umar Bin Khattab Masjid,Mosque,"9HXJ+7P2 Umar Bin Khattab Masjid, Katra boo Ali Khan, Uttar Pradesh 209625",Bhikampura,"9HXJ+7P2, Katra boo Ali Khan",Farrukhabad,209625,Uttar Pradesh,IN,https://www.google.com/maps/place/Umar+Bin+Khattab+Masjid/data=!4m7!3m6!1s0x399e31ca114dd179:0x5051021dc9627582!8m2!3d27.3981473!4d79.5817811!16s%2Fg%2F11d_739b9c!19sChIJedFNEcoxnjkRgnViyR0CUVA?authuser=0&hl=en&rclk=1,"27.398147299999998,79.5817811"
