name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
"Ahle sunnat wal jamat jama Masjid,Jumman Chowk",Mosque,"866W+FC3 Ahle sunnat wal jamat jama Masjid,Jumman Chowk, Ahle sunnat wal jamat jama Masjid,Jumman Chowk,sultan Kabaddi , Jumman chowk, Block Office Rd, Palasi, Bihar 854318",,"866W+FC3, Ahle sunnat wal jamat jama Masjid,Jumman Chowk,sultan Kabaddi , Jumman chowk, Block Office Rd",Palasi,854318,Bihar,IN,"https://www.google.com/maps/place/Ahle+sunnat+wal+jamat+jama+Masjid,Jumman+Chowk/data=!4m7!3m6!1s0x39ef9f303d3ba503:0xb1d21d99a543083b!8m2!3d26.3090698!4d87.251296!16s%2Fg%2F11cn0np1xp!19sChIJA6U7PTCf7zkROwhDpZkd0rE?authuser=0&hl=en&rclk=1","26.3090698,87.251296"
jama masjid alam tola,Mosque,"77W9+M28 jama masjid alam tola, Forbesganj, Bihar 854318",,77W9+M28,Forbesganj,854318,Bihar,IN,https://www.google.com/maps/place/jama+masjid+alam+tola/data=!4m7!3m6!1s0x39ef992c8fa98acb:0x6a1341291562ab34!8m2!3d26.2966547!4d87.2675646!16s%2Fg%2F11d_7xdbdy!19sChIJy4qpjyyZ7zkRNKtiFSlBE2o?authuser=0&hl=en&rclk=1,"26.296654699999998,87.2675646"
JAMA MAJID,Mosque,"77X6+576 JAMA MAJID, Sadar Rd, Forbesganj, Bihar 854318",,"77X6+576, Sadar Rd",Forbesganj,854318,Bihar,IN,https://www.google.com/maps/place/JAMA+MAJID/data=!4m7!3m6!1s0x39ef98d5476f4e75:0x97d30874a6f556de!8m2!3d26.2979246!4d87.2606308!16s%2Fg%2F11cnwchrjf!19sChIJdU5vR9WY7zkR3lb1pnQI05c?authuser=0&hl=en&rclk=1,"26.297924599999998,87.2606308"
Saifganj Eid Gaah,Mosque,"Saifganj Eid Gaah, SH Road, Saifganj Eid Gaah, ward No:7, PO Parwaha, 854318, Forbesganj, Bihar",,"SH Road, Saifganj Eid Gaah, ward No:7, PO Parwaha, 854318","Forbesganj, Bhagparwaha",,Bihar,IN,https://www.google.com/maps/place/Saifganj+Eid+Gaah/data=!4m7!3m6!1s0x39ef98042b1b9c49:0xb8b55a9adf3b6b9c!8m2!3d26.2132754!4d87.2268711!16s%2Fg%2F11fy4n2pyn!19sChIJSZwbKwSY7zkRnGs735patbg?authuser=0&hl=en&rclk=1,"26.2132754,87.2268711"
jama masjid pokhar basti,Mosque,"77X9+QGV jama masjid pokhar basti, Forbesganj, Bihar 854318",,77X9+QGV,Forbesganj,854318,Bihar,IN,https://www.google.com/maps/place/jama+masjid+pokhar+basti/data=!4m7!3m6!1s0x39ef9ed32e65a6e7:0x96cfe5898bcfa746!8m2!3d26.2994963!4d87.2687954!16s%2Fg%2F11fxb7pkbp!19sChIJ56ZlLtOe7zkRRqfPi4nlz5Y?authuser=0&hl=en&rclk=1,"26.299496299999998,87.2687954"
"durgaa sthaan, pustkaaly phaarbisgNj",Hindu temple,"8736+J8R durgaa sthaan, pustkaaly phaarbisgNj, pustkaaly prisr, Forbesganj, Matiari, Bihar 854318",,8736+J8R pustkaaly prisr,"Forbesganj, Matiari",854318,Bihar,IN,"https://www.google.com/maps/place/%E0%A4%A6%E0%A5%81%E0%A4%B0%E0%A5%8D%E0%A4%97%E0%A4%BE+%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%BE%E0%A4%A8,+%E0%A4%AA%E0%A5%81%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%95%E0%A4%BE%E0%A4%B2%E0%A4%AF+%E0%A4%AB%E0%A4%BE%E0%A4%B0%E0%A4%AC%E0%A4%BF%E0%A4%B8%E0%A4%97%E0%A4%82%E0%A4%9C/data=!4m7!3m6!1s0x39ef9f2a19c94d05:0xa7b880d01b4853ed!8m2!3d26.304119!4d87.2607783!16s%2Fg%2F11f1njsw1l!19sChIJBU3JGSqf7zkR7VNIG9CAuKc?authuser=0&hl=en&rclk=1","26.304119,87.2607783"
Noorani Jama Masjid Dhatta Tola,Mosque,"77XC+6MJ Noorani Jama Masjid Dhatta Tola, Forbesganj, Bihar 854318",,77XC+6MJ,Forbesganj,,Bihar,IN,https://www.google.com/maps/place/Noorani+Jama+Masjid+Dhatta+Tola/data=!4m7!3m6!1s0x39ef9932a2802f05:0x664aad723802aa41!8m2!3d26.298082!4d87.2716251!16s%2Fg%2F11gfm_0s1l!19sChIJBS-AojKZ7zkRQaoCOHKtSmY?authuser=0&hl=en&rclk=1,"26.298081999999997,87.2716251"
Shehzada Alam,Mosque,"Shehzada Alam, Darji Tola, Bhagkohlia, Miahat, near Markaj Masjid, Forbesganj, Bihar 854318",,"Darji Tola, Bhagkohlia, Miahat, near Markaj Masjid","Forbesganj, Bhag Kohalia",854318,Bihar,IN,https://www.google.com/maps/place/Shehzada+Alam/data=!4m7!3m6!1s0x39ef9fab09708a41:0x7cebf98b125e7acb!8m2!3d26.3007758!4d87.2929278!16s%2Fg%2F11fd4brwj1!19sChIJQYpwCauf7zkRy3peEov563w?authuser=0&hl=en&rclk=1,"26.3007758,87.2929278"
Shia Jama Masjid,Mosque,"77WX+VV2 Shia Jama Masjid, mir kachari, Forbesganj, Parwaha, Bihar 854318",,77WX+VV2 mir kachari,"Forbesganj, Parwaha",,Bihar,IN,https://www.google.com/maps/place/Shia+Jama+Masjid/data=!4m7!3m6!1s0x39ef995505cf0563:0xbd883106f53851aa!8m2!3d26.2971287!4d87.2996254!16s%2Fg%2F11btxkx3yd!19sChIJYwXPBVWZ7zkRqlE49QYxiL0?authuser=0&hl=en&rclk=1,"26.2971287,87.2996254"
Chhoti Jama Masjid,Mosque,"77W8+Q2C Chhoti Jama Masjid, Forbesganj, Bihar 854318",,77W8+Q2C,Forbesganj,854318,Bihar,IN,https://www.google.com/maps/place/Chhoti+Jama+Masjid/data=!4m7!3m6!1s0x39ef992b0ea7a5c5:0x9babb5822374e092!8m2!3d26.2967482!4d87.2651124!16s%2Fg%2F11cpl0qnfg!19sChIJxaWnDiuZ7zkRkuB0I4K1q5s?authuser=0&hl=en&rclk=1,"26.2967482,87.26511239999999"
