place_id,place_name,about,link
ChIJHVF54k38yTsRGlGR0c7eAuw,Urdu Bhavan Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPuHjqo13gxCTvK3FpAFV9ZLamGcKaZFu7nrVNS=w529-h298-k-no
ChIJh5cOoFb8yTsRB54meWabLjM,Masjid-e-Gulzar,All,https://lh5.googleusercontent.com/p/AF1QipMKbXgAebYZEDN2z5Ri3KRQUEEcRMon5orWLM80=w397-h298-k-no
ChIJC0SieFf8yTsRLFx5a5vJBok,Jamia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMzoqx-ve00R81fzqDovWphLYoTfg8xQZk3HqVr=w397-h298-k-no
ChIJC0SieFf8yTsRLFx5a5vJBok,Jamia Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1YsbEq17z3W_qtksOrJTeQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=171.48526&pitch=0&thumbfov=100
ChIJw2A3tfn8yTsRQreeHGK-iaE,Madina Masjid Ahle Hadees,All,https://lh5.googleusercontent.com/p/AF1QipMhGiTaJbDh2QnYrGY4IuOxAdko0-CCRuVANvyz=w529-h298-k-no
ChIJw2A3tfn8yTsRQreeHGK-iaE,Madina Masjid Ahle Hadees,Videos,https://lh5.googleusercontent.com/p/AF1QipNFg5MX3axP9Tf4PcZXbxhK5aWmhgRo_K8c2a3f=w529-h298-k-no
ChIJsSXARvj8yTsRTF2VVedeVeA,Masjid -e- Kalan,All,https://lh5.googleusercontent.com/p/AF1QipMjFLD0vykFV5JJ9J77maf5KkuwcdZBGqruyZ1Q=w397-h298-k-no
ChIJE7yJB1j8yTsR39BHEwdlVls,Masjid-e-swaliheen,All,https://lh5.googleusercontent.com/p/AF1QipNfQEW-lTHHvrVaE1zd2a2p0xTh3NmLu-FN4RWo=w224-h298-k-no
ChIJE7yJB1j8yTsR39BHEwdlVls,Masjid-e-swaliheen,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JBMz6uFm7sehi2SVe8nHGA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=33.582874&pitch=0&thumbfov=100
ChIJDXNJAlr8yTsRTGEFauE8PJ8,Hussaini Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNz7q4DRWtJfI0TeNjVQQ1ixJ1r9CUBtgcThCqE=w224-h298-k-no
ChIJDXNJAlr8yTsRTGEFauE8PJ8,Hussaini Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPFvBHvOvKF1rCNqRnecZJ9yIX_bFcm44KRfC-p=w224-h398-k-no
ChIJd5xS0VD8yTsRO67LIgkC_X8,Noori Masjid Gadwal,All,https://lh5.googleusercontent.com/p/AF1QipM_KAQEg3ZqM6TXOerQ_-09d0NSEOy3wvysZlJg=w529-h298-k-no
ChIJDTyqb_j8yTsRXLjYvAyukjw,Nayee Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMpQYqQQjpcss40WnYeTys7w7gfb9M3nZYzdRCh=w398-h298-k-no
ChIJvz_1Ak_8yTsR6MbjG2i6Zms,Rahamaniya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMLxPScMht1MLv-QMFrHohmuGLKEY1Kv3VnKUEN=w529-h298-k-no
ChIJEZDoXXb9yTsRCILQ5ayAO2k,Fatima masjid,All,https://lh5.googleusercontent.com/p/AF1QipP7f-V86SByqSuL4aOWIGDQnavFapMet8yuhW_J=w529-h298-k-no
ChIJ4YKrlEv8yTsR2cZw9rnf3fo,Masjid-e-ayesha msjd.`.`ysh,All,https://lh5.googleusercontent.com/p/AF1QipPS44wSLf2Rcb_g4Z19Uw9487V15B565HOYY1LQ=w224-h298-k-no
ChIJwSbDzlv8yTsRMthqt5jrLLM,kousar masjid,All,https://lh5.googleusercontent.com/p/AF1QipM4yS8OTcfbn09hqbHQa9WzSnLSVlW17IbubJVD=w529-h298-k-no
ChIJbfJ2Csn9yTsRBSmpQk-1pVw,Masjid -e- Abdul Rehman,All,https://lh5.googleusercontent.com/p/AF1QipOly2eRrtf9RwnGc1D1MIW9EGRiXVoD3vTwUBT0=w397-h298-k-no
ChIJbfJ2Csn9yTsRBSmpQk-1pVw,Masjid -e- Abdul Rehman,Videos,https://lh5.googleusercontent.com/p/AF1QipP8l63NIlvOo98lrlVZQhRkTCVEcjz8Uu-C7ffh=w224-h398-k-no
ChIJ3dZytUX8yTsRCCFqN2bJZ-U,Masjid E Mohammadia,All,https://lh5.googleusercontent.com/p/AF1QipN6FBCMCHETUzwq0JSbvsMXYrOmQkKJpA0uFjQD=w397-h298-k-no
