name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid E Umar,Mosque,"Masjid E Umar, Chuli ki Bageechi Rd, Mahukalan, Gangapur, Rajasthan 322201",Mahukalan,Chuli ki Bageechi Rd,Gangapur,322201,Rajasthan,IN,https://www.google.com/maps/place/Masjid+E+Umar/data=!4m7!3m6!1s0x3971f6ac56d4550d:0xbf58ffb200ed12e1!8m2!3d26.4600719!4d76.7248563!16s%2Fg%2F1hm20qcd1!19sChIJDVXUVqz2cTkR4RLtALL_WL8?authuser=0&hl=en&rclk=1,"26.4600719,76.7248563"
Masjid ikhlas,Mosque,"Masjid ikhlas, Madarsa Salfiya, Dussehra Maidan Rd, Ward Number 28, Bharat Mill Colony, Gangapur, Rajasthan 322201","Ward Number 28, Bharat Mill Colony","Madarsa Salfiya, Dussehra Maidan Rd",Gangapur,322201,Rajasthan,IN,https://www.google.com/maps/place/Masjid+ikhlas/data=!4m7!3m6!1s0x3971f7d1455bf22f:0x8a45d986d5be1a29!8m2!3d26.4783906!4d76.7243844!16s%2Fg%2F11hmgr196c!19sChIJL_JbRdH3cTkRKRq-1YbZRYo?authuser=0&hl=en&rclk=1,"26.478390599999997,76.72438439999999"
masjid alzzid salempur,Sauna,"masjid alzzid salempur, salempur, Gangapur, Rajasthan 322202",Karamchari Colony,salempur,Gangapur,322202,Rajasthan,IN,https://www.google.com/maps/place/masjid+alzzid+salempur/data=!4m7!3m6!1s0x3971f7125042ff6b:0x75ea6c89c10f915f!8m2!3d26.4846537!4d76.7278803!16s%2Fg%2F11pclhf6tz!19sChIJa_9CUBL3cTkRX5EPwYls6nU?authuser=0&hl=en&rclk=1,"26.4846537,76.7278803"
"Masjid-e-Aqsa, Badi Udai",Mosque,"GPGH+9F4 Masjid-e-Aqsa, Badi Udai, Badi Udaye, Rajasthan 322201",,GPGH+9F4,Badi Udaye,322201,Rajasthan,IN,"https://www.google.com/maps/place/Masjid-e-Aqsa,+Badi+Udai/data=!4m7!3m6!1s0x3971f60b4fca8059:0x52a5d593ba2a8dc8!8m2!3d26.5258795!4d76.7287106!16s%2Fg%2F11f3cmjmqm!19sChIJWYDKTwv2cTkRyI0qupPVpVI?authuser=0&hl=en&rclk=1","26.5258795,76.7287106"
Rahmaniya mosque,Mosque,"FPJQ+GVW Rahmaniya mosque, Saloda Industrial Area Barh, Saloda Rural, Rajasthan 322201",Saloda Industrial Area,"FPJQ+GVW, Saloda Industrial Area Barh","Saloda Rural, Barh Saloda Rural",322201,Rajasthan,IN,https://www.google.com/maps/place/Rahmaniya+mosque/data=!4m7!3m6!1s0x3971f4221f436693:0x975a799b8bd5b94f!8m2!3d26.4813732!4d76.7397149!16s%2Fg%2F11c74djs4k!19sChIJk2ZDHyL0cTkRT7nVi5t5Wpc?authuser=0&hl=en&rclk=1,"26.4813732,76.7397149"
Madina Maszid Rajiv Colony,Mosque,"FPHC+WPR Madina Maszid Rajiv Colony, Rajivcolony, Gangapur, Rajasthan 322201",Mirzapur,"FPHC+WPR, Rajivcolony",Gangapur,322201,Rajasthan,IN,https://www.google.com/maps/place/Madina+Maszid+Rajiv+Colony/data=!4m7!3m6!1s0x3971f6978b5f733d:0x1311f80f52fa168b!8m2!3d26.4798623!4d76.7217593!16s%2Fg%2F11ddxzv5nb!19sChIJPXNfi5f2cTkRixb6Ug_4ERM?authuser=0&hl=en&rclk=1,"26.479862299999997,76.7217593"
auliyaa msjid,Mosque,"FP78+CXH auliyaa msjid, Laxmi Colony, Gangapur, Rajasthan 322202",Laxmi Colony,FP78+CXH,Gangapur,,Rajasthan,IN,https://www.google.com/maps/place/%E0%A4%94%E0%A4%B2%E0%A4%BF%E0%A4%AF%E0%A4%BE+%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A6/data=!4m7!3m6!1s0x3971f6b0d94f39d7:0x2da356aa2381be7e!8m2!3d26.4635546!4d76.7174834!16s%2Fg%2F11gdy7ch5f!19sChIJ1zlP2bD2cTkRfr6BI6pWoy0?authuser=0&hl=en&rclk=1,"26.4635546,76.71748339999999"
Teli Wali Masjid,Mosque,"FPFF+F7W Teli Wali Masjid, Chooli Gate, Gangapur, Rajasthan 322202",Chooli Gate,FPFF+F7W,Gangapur,322202,Rajasthan,IN,https://www.google.com/maps/place/Teli+Wali+Masjid/data=!4m7!3m6!1s0x3971f6a346aaaaab:0x63adcf51405465b7!8m2!3d26.4737318!4d76.7231954!16s%2Fg%2F11fy2xmmqm!19sChIJq6qqRqP2cTkRt2VUQFHPrWM?authuser=0&hl=en&rclk=1,"26.4737318,76.7231954"
Madina Masjid Aman Colony,Mosque,"FPC9+RXR Madina Masjid Aman Colony, Dayan Nagar, Gangapur, Rajasthan 322202",Dayan Nagar,FPC9+RXR,Gangapur,322202,Rajasthan,IN,https://www.google.com/maps/place/Madina+Masjid+Aman+Colony/data=!4m7!3m6!1s0x3971f7d35ffd7481:0xf6ee25b6c493c14c!8m2!3d26.4721195!4d76.7198776!16s%2Fg%2F11h2fngq6g!19sChIJgXT9X9P3cTkRTMGTxLYl7vY?authuser=0&hl=en&rclk=1,"26.472119499999998,76.71987759999999"
MASJID,Mosque,"FPM9+4H4 MASJID, Mirzapur, Gangapur, Rajasthan 322201",Mirzapur,FPM9+4H4,Gangapur,322201,Rajasthan,IN,https://www.google.com/maps/place/MASJID/data=!4m7!3m6!1s0x3971f696d93625db:0x44b2efc9105e81f2!8m2!3d26.482758!4d76.718953!16s%2Fg%2F11ggl0gpqg!19sChIJ2yU22Zb2cTkR8oFeEMnvskQ?authuser=0&hl=en&rclk=1,"26.482758,76.718953"
Madina Masjid,Mosque,"FPMH+V56 Madina Masjid, Chooli Gate, Gangapur, Rajasthan 322201",Chooli Gate,FPMH+V56,Gangapur,322201,Rajasthan,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x3971f69bffffffff:0x25cdd14e45cff1a9!8m2!3d26.4846537!4d76.7278803!16s%2Fg%2F11c1r6cb9w!19sChIJ_____5v2cTkRqfHPRU7RzSU?authuser=0&hl=en&rclk=1,"26.4846537,76.7278803"
Nabia Ka Baadh Masjid,Mosque,"FMVF+VRP Nabia Ka Baadh Masjid, Badkala, Rajasthan 322201",,FMVF+VRP,Badkala,322201,Rajasthan,IN,https://www.google.com/maps/place/Nabia+Ka+Baadh+Masjid/data=!4m7!3m6!1s0x3971f708664957a7:0x398f35de4261cc78!8m2!3d26.4947094!4d76.6745925!16s%2Fg%2F11gfj5pz9x!19sChIJp1dJZgj3cTkReMxhQt41jzk?authuser=0&hl=en&rclk=1,"26.494709399999998,76.6745925"
Mahidas balaji- Jai Sri Ram,Hindu temple,"FPJG+529 Mahidas balaji- Jai Sri Ram, Dusshera Maidan, near, Bharat Mill Colony, Gangapur, Rajasthan 322201",Bharat Mill Colony,"FPJG+529 Dusshera Maidan, near",Gangapur,322201,Rajasthan,IN,https://www.google.com/maps/place/Mahidas+balaji-+Jai+Sri+Ram/data=!4m7!3m6!1s0x3971f6985ecc1eb9:0xe03ec68245245a1d!8m2!3d26.4803454!4d76.7247971!16s%2Fg%2F11clp1wjp6!19sChIJuR7MXpj2cTkRHVokRYLGPuA?authuser=0&hl=en&rclk=1,"26.480345399999997,76.7247971"
