name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Farah Jamiya Masjid Mahedavia,Mosque,"ward No 2, Farah Jamiya Masjid Mahedavia, Vidya Nagar, Pathan Wadi, Gangavathi, Karnataka 583227",Vidya Nagar,ward No 2,"Pathan Wadi, Gangavathi",583227,Karnataka,IN,https://www.google.com/maps/place/Farah+Jamiya+Masjid+Mahedavia/data=!4m7!3m6!1s0x3bb7816d1a310791:0x1ee0b25b9d4a6f63!8m2!3d15.4282075!4d76.5275751!16s%2Fg%2F1tltktl4!19sChIJkQcxGm2BtzsRY29KnVuy4B4?authuser=0&hl=en&rclk=1,"15.4282075,76.52757509999999"
Masjid-E-Jaunpur Mahdavia,Mosque,"Masjid-E-Jaunpur Mahdavia, 30th Ward, Virupapur Nagar, Gangavathi, Karnataka 583227",Hirejantkal,"30th Ward, Virupapur Nagar",Gangavathi,583227,Karnataka,IN,https://www.google.com/maps/place/Masjid-E-Jaunpur+Mahdavia/data=!4m7!3m6!1s0x3bb781ea85f12bb5:0xc2d80cabec29d752!8m2!3d15.4162401!4d76.5358566!16s%2Fg%2F11q2qy21y4!19sChIJtSvxheqBtzsRUtcp7KsM2MI?authuser=0&hl=en&rclk=1,"15.4162401,76.5358566"
Madeena Masjid,Mosque,"CGRC+896 Madeena Masjid, SH 23, Ilahi colony, Islampur, Gangavathi, Karnataka 583235","Ilahi colony, Islampur","CGRC+896, SH 23",Gangavathi,583235,Karnataka,IN,https://www.google.com/maps/place/Madeena+Masjid/data=!4m7!3m6!1s0x3bb7813e93c8d7c7:0xc936d682eb96d5ec!8m2!3d15.4407814!4d76.5208986!16s%2Fg%2F1tdqm2rd!19sChIJx9fIkz6BtzsR7NWW64LWNsk?authuser=0&hl=en&rclk=1,"15.440781399999999,76.5208986"
Hazrat Bilal Masjid,Mosque,"CGMM+W8X Hazrat Bilal Masjid, Hajrat Bilal Masjid Road, July Nagar, Gangavathi, Karnataka 583227",July Nagar,"CGMM+W8X, Hajrat Bilal Masjid Road",Gangavathi,583227,Karnataka,IN,https://www.google.com/maps/place/Hazrat+Bilal+Masjid/data=!4m7!3m6!1s0x3bb7816909f974c1:0x15d70ada2af61f38!8m2!3d15.4348524!4d76.5333471!16s%2Fg%2F1ygltgc_0!19sChIJwXT5CWmBtzsROB_2KtoK1xU?authuser=0&hl=en&rclk=1,"15.434852399999999,76.5333471"
Khankha-e-Fazal Bandanawazi Gvt,Mosque,"CGRC+PG9 Khankha-e-Fazal Bandanawazi Gvt, Ilahi Colony Rd, Prashanti Nagar, Gangavathi, Karnataka 583235",Prashanti Nagar,"CGRC+PG9, Ilahi Colony Rd",Gangavathi,583235,Karnataka,IN,https://www.google.com/maps/place/Khankha-e-Fazal+Bandanawazi+Gvt/data=!4m7!3m6!1s0x3bb7813ec8620667:0x85d0657dcd85fcfc!8m2!3d15.4417765!4d76.521369!16s%2Fg%2F11b808cp5l!19sChIJZwZiyD6BtzsR_PyFzX1l0IU?authuser=0&hl=en&rclk=1,"15.4417765,76.52136899999999"
Jamia Masjid Ahle Sunnat Wal Jamaat,Mosque,"1, Jamia Masjid Ahle Sunnat Wal Jamaat, Jamai Masjid Complex, MG Rd, opp. CPS School, Killa Area, Vidya Nagar, Gangavathi, Karnataka 583227","Killa Area, Vidya Nagar","1, Jamai Masjid Complex, MG Rd, opp. CPS School",Gangavathi,583227,Karnataka,IN,https://www.google.com/maps/place/Jamia+Masjid+Ahle+Sunnat+Wal+Jamaat/data=!4m7!3m6!1s0x3bb78184b96ac4a5:0xcda96fc19a562c26!8m2!3d15.4307658!4d76.5279615!16s%2Fg%2F11sycvsdyy!19sChIJpcRquYSBtzsRJixWmsFvqc0?authuser=0&hl=en&rclk=1,"15.4307658,76.5279615"
Gousiya Masjid,Mosque,"Gousiya Masjid, 583227, Gousiya Colony, Vidya Nagar, Gangavathi, Karnataka 583227","Gousiya Colony, Vidya Nagar",583227,Gangavathi,583227,Karnataka,IN,https://www.google.com/maps/place/Gousiya+Masjid/data=!4m7!3m6!1s0x3bb78115c7c42a73:0x125625240dd11414!8m2!3d15.434895!4d76.5212416!16s%2Fg%2F11c5s4fls0!19sChIJcyrExxWBtzsRFBTRDSQlVhI?authuser=0&hl=en&rclk=1,"15.434895,76.5212416"
Ilahi Masjid,Mosque,"CGRF+PC3 Ilahi Masjid, Prashanthi Nagar, Islampur, Gangavathi, Karnataka 583227","Prashanthi Nagar, Islampur",CGRF+PC3,Gangavathi,583227,Karnataka,IN,https://www.google.com/maps/place/Ilahi+Masjid/data=!4m7!3m6!1s0x3bb7813f160344b1:0xa8ced40f6109a3a4!8m2!3d15.4417552!4d76.5235369!16s%2Fg%2F11b6gfdkml!19sChIJsUQDFj-BtzsRpKMJYQ_Uzqg?authuser=0&hl=en&rclk=1,"15.4417552,76.5235369"
Jamiya Masjid Islampur,Mosque,"CGQG+2P2 Jamiya Masjid Islampur, Islampur, Gangavathi, Karnataka 583227",Islampur,CGQG+2P2,Gangavathi,583227,Karnataka,IN,https://www.google.com/maps/place/Jamiya+Masjid+Islampur/data=!4m7!3m6!1s0x3bb781401c2c049b:0x8845097f93f24ea4!8m2!3d15.4375172!4d76.5267598!16s%2Fg%2F11f2wd5cbt!19sChIJmwQsHECBtzsRpE7yk38JRYg?authuser=0&hl=en&rclk=1,"15.437517199999998,76.5267598"
Quadriya Masjid,Mosque,"Quadriya Masjid, 19th ward joger wada, SH 130, Pampa Nagar, Gangavathi, Karnataka 583227",Pampa Nagar,"19th ward joger wada, SH 130",Gangavathi,583227,Karnataka,IN,https://www.google.com/maps/place/Quadriya+Masjid/data=!4m7!3m6!1s0x3bb7816d8eb035f3:0xc3178b6caf1838b0!8m2!3d15.4264284!4d76.5296233!16s%2Fg%2F1tfx3bv3!19sChIJ8zWwjm2BtzsRsDgYr2yLF8M?authuser=0&hl=en&rclk=1,"15.426428399999999,76.5296233"
