name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
MASJID NOOR,Mosque,"MASJID NOOR, Nakhuda Mohalla, Gangolli, Karnataka 576216",Nakhuda Mohalla,,Gangolli,576216,Karnataka,IN,https://www.google.com/maps/place/MASJID+NOOR/data=!4m7!3m6!1s0x3bbc8dc615dd75e1:0xed5316bd25580c61!8m2!3d13.6499377!4d74.6679928!16s%2Fg%2F11c5sng8ml!19sChIJ4XXdFcaNvDsRYQxYJb0WU-0?authuser=0&hl=en&rclk=1,"13.649937699999999,74.6679928"
Jamiya Masjid,Mosque,"MM59+932 Jamiya Masjid, Gangolli, Karnataka 576216",,MM59+932,Gangolli,576216,Karnataka,IN,https://www.google.com/maps/place/Jamiya+Masjid/data=!4m7!3m6!1s0x3bbc8dcbbe855555:0x4c7a545d278ad178!8m2!3d13.6583857!4d74.6676263!16s%2Fg%2F11c1vbc883!19sChIJVVWFvsuNvDsReNGKJ11Uekw?authuser=0&hl=en&rclk=1,"13.6583857,74.6676263"
Masjid E Rahmaniya,Mosque,"MM86+4HH Masjid E Rahmaniya, rahmaniya mohalla. gangolli, Gangolli",,"MM86+4HH, rahmaniya mohalla. gangolli",Gangolli,,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Rahmaniya/data=!4m7!3m6!1s0x3bbc8c4a33842c01:0x937e6ad49298d71d!8m2!3d13.6653142!4d74.6614957!16s%2Fg%2F11b8tc160m!19sChIJASyEM0qMvDsRHdeYktRqfpM?authuser=0&hl=en&rclk=1,"13.6653142,74.6614957"
Masjid E Anwaar,Mosque,"MM4C+49F Masjid E Anwaar, Gangolli, Karnataka 576216",,MM4C+49F,Gangolli,576216,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Anwaar/data=!4m7!3m6!1s0x3bbc8dceea337c0f:0xa750d6db0fae9372!8m2!3d13.6553008!4d74.6709144!16s%2Fg%2F11g68zhs6m!19sChIJD3wz6s6NvDsRcpOuD9vWUKc?authuser=0&hl=en&rclk=1,"13.6553008,74.6709144"
Muhiyuddin Jumma Masjid,Mosque,"MM39+7CX Muhiyuddin Jumma Masjid, Gangolli, Karnataka 576216",,MM39+7CX,Gangolli,576216,Karnataka,IN,https://www.google.com/maps/place/Muhiyuddin+Jumma+Masjid/data=!4m7!3m6!1s0x3bbc8dc8d01b5337:0x888f9085ff1aa44c!8m2!3d13.6532403!4d74.6686!16s%2Fg%2F11g69g0_gv!19sChIJN1Mb0MiNvDsRTKQa_4WQj4g?authuser=0&hl=en&rclk=1,"13.6532403,74.6686"
MASJIDULL FALH BABA SHA MOHALLA GANGOLLI,Mosque,"JMX9+6M9 MASJIDULL FALH BABA SHA MOHALLA GANGOLLI, Main Rd, Noor Mohalla, Gangolli, Karnataka 576216",Noor Mohalla,"JMX9+6M9, Main Rd",Gangolli,576216,Karnataka,IN,https://www.google.com/maps/place/MASJIDULL+FALH+BABA+SHA+MOHALLA+GANGOLLI/data=!4m7!3m6!1s0x3bbc8d161edc3223:0xa16d3754991f2214!8m2!3d13.648045!4d74.6692446!16s%2Fg%2F11hzd0bdqg!19sChIJIzLcHhaNvDsRFCIfmVQ3baE?authuser=0&hl=en&rclk=1,"13.648045,74.6692446"
Masjid-e-Ahle hadees,Mosque,"MM48+X74 Masjid-e-Ahle hadees, Gangolli, Karnataka 576216",,MM48+X74,Gangolli,,Karnataka,IN,https://www.google.com/maps/place/Masjid-e-Ahle+hadees/data=!4m7!3m6!1s0x3bbc8d9acd0f2259:0xab53d0e85d04a0d8!8m2!3d13.6573922!4d74.6656951!16s%2Fg%2F11pc9hg2ft!19sChIJWSIPzZqNvDsR2KAEXejQU6s?authuser=0&hl=en&rclk=1,"13.657392199999999,74.6656951"
masjid e rahmani,Mosque,"MM38+GGQ masjid e rahmani, Sultan Mohalla, Gangolli, Karnataka 576216",Sultan Mohalla,MM38+GGQ,Gangolli,576216,Karnataka,IN,https://www.google.com/maps/place/masjid+e+rahmani/data=!4m7!3m6!1s0x3bbc8dc855555555:0xd446fa75388b7024!8m2!3d13.653826!4d74.6663518!16s%2Fg%2F11f_b_9g_4!19sChIJVVVVVciNvDsRJHCLOHX6RtQ?authuser=0&hl=en&rclk=1,"13.653825999999999,74.6663518"
"SULTAN MASJID Bisharatul Islam Arebic Madrasa,",School,"MM38+J76 SULTAN MASJID Bisharatul Islam Arebic Madrasa,, Sultan Mohalla, Gangolli, Karnataka 576216",Sultan Mohalla,MM38+J76,Gangolli,576216,Karnataka,IN,"https://www.google.com/maps/place/SULTAN+MASJID+Bisharatul+Islam+Arebic+Madrasa,/data=!4m7!3m6!1s0x3bbc8dbbec4f4a93:0x2915606c35b2ebd3!8m2!3d13.6540449!4d74.6656377!16s%2Fg%2F11fcpsbrrh!19sChIJk0pP7LuNvDsR0-uyNWxgFSk?authuser=0&hl=en&rclk=1","13.654044899999999,74.66563769999999"
msjd hl lsn@ w ljm`@,Mosque,"MM48+X87 msjd hl lsn@ w ljm`@, Gangolli, Karnataka 576216",,MM48+X87,Gangolli,576216,Karnataka,IN,https://www.google.com/maps/place/%D9%85%D8%B3%D8%AC%D8%AF+%D8%A7%D9%87%D9%84+%D8%A7%D9%84%D8%B3%D9%86%D8%A9+%D9%88+%D8%A7%D9%84%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3bbc8db86871604b:0x4491b3865cb71bcd!8m2!3d13.6573883!4d74.6657544!16s%2Fg%2F11kpswgyx9!19sChIJS2BxaLiNvDsRzRu3XIazkUQ?authuser=0&hl=en&rclk=1,"13.6573883,74.6657544"
