place_id,place_name,about,link
ChIJVUX1mh6zWTcRXizUvMf4rIU,"Nayapara Masjid msjd, Goalpara Nayapara",All,https://lh5.googleusercontent.com/p/AF1QipOuMpJuzxhLjK4wkDJf3GgxhhcP1F_IGVD5GDfn=w348-h298-k-no
ChIJVUX1mh6zWTcRXizUvMf4rIU,"Nayapara Masjid msjd, Goalpara Nayapara",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ar1eoQeI0X-c3frO8edpaw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=273.59213&pitch=0&thumbfov=100
ChIJVUX1mh6zWTcRXizUvMf4rIU,"Nayapara Masjid msjd, Goalpara Nayapara",Videos,https://lh5.googleusercontent.com/p/AF1QipOwB8usUjqbaHpCxnaFyfObigZM7b7V_NxYT6xz=w529-h298-k-no
ChIJ99u8FECzWTcRXjxkpEt94hg,"Durgamandir Masjid, Durgamandir Goalpara",All,https://lh5.googleusercontent.com/p/AF1QipMyahyXVtQwG6C2CpqGG00g3yIpif6SWyAV-Ds=w397-h298-k-no
ChIJ99u8FECzWTcRXjxkpEt94hg,"Durgamandir Masjid, Durgamandir Goalpara",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T0E6Ofguf1Q0fWaH_KdHFQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=62.721867&pitch=0&thumbfov=100
ChIJEfcUiHqzWTcR8fmGx-R5m9U,Moila-pathar Bazar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPNr6_JtfOidZ2K76DMwzBmabVPvokacwcEZKxU=w397-h298-k-no
ChIJ4bBviyazWTcRSbO-cGsRi4o,East Hasilapara Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN3ug1i5BYPOT8iQQuHMP9Ie-KMjBOpDrk88i3L=w224-h298-k-no
ChIJ4bBviyazWTcRSbO-cGsRi4o,East Hasilapara Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RGICjzjuy00d3F5fsNJDuw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=160.89159&pitch=0&thumbfov=100
ChIJ4bBviyazWTcRSbO-cGsRi4o,East Hasilapara Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNI5VqonUTRLK8d9yPompGVw2juRc3IA5h0_R8p=w529-h298-k-no
ChIJV_wyvWqzWTcRFz3g7lGwuq8,Hedayetpur Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPtJXu_K36vGkqZVYunlFBEVAdVXB2rnfwabl9J=w224-h298-k-no
ChIJY3Yzy8-zWTcRrobV3uxfqgU,Shastrinagar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNGTzD-ey6wgutfZO9mY-f7Ua_f77PuaqKIiXRe=w397-h298-k-no
ChIJRX93CxWzWTcRfVXv5I3YkCg,Udaynagar Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SKKVg0G9_GmpE0VwU1B4Yw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=103.89231&pitch=0&thumbfov=100
ChIJRX93CxWzWTcRfVXv5I3YkCg,Udaynagar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SKKVg0G9_GmpE0VwU1B4Yw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=103.89231&pitch=0&thumbfov=100
ChIJ9e7FbXOzWTcRG5K5K8sTzqc,Nabinagar Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h--nkvbHIll-OIYNZ4A78g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=215.49547&pitch=0&thumbfov=100
ChIJ9e7FbXOzWTcRG5K5K8sTzqc,Nabinagar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h--nkvbHIll-OIYNZ4A78g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=215.49547&pitch=0&thumbfov=100
ChIJO-8YjbGzWTcRobTC0RQ58WM,"Islampur Masjid, Goalpara City",All,https://lh5.googleusercontent.com/p/AF1QipMl4e25ZexA9INF3OB6Xil4zaN8ObjtyxnIyfBp=w397-h298-k-no
ChIJO-8YjbGzWTcRobTC0RQ58WM,"Islampur Masjid, Goalpara City",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=od5AOrmVwB4vG-wdGNx2NA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=82.57702&pitch=0&thumbfov=100
ChIJ491zJ0uzWTcRWY8Pbic15gw,MORIOM NAGAR Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMOEDYZMrbdzoqEBg28tLiInQvaKSzaa7xuWlsy=w397-h298-k-no
ChIJdYYq4x2zWTcRqx68FOgQaPg,Bausiapara Masjid msjd bwsybr,All,https://lh5.googleusercontent.com/p/AF1QipNlUS4527kX6NuS_DGf7F9azh8zu5zWHzrA4yx3=w460-h298-k-no
ChIJdYYq4x2zWTcRqx68FOgQaPg,Bausiapara Masjid msjd bwsybr,Dome,https://lh5.googleusercontent.com/p/AF1QipN8a7s0Uw8UTeMuVADLhmdJmZazQNRQ_6BIJshH=w224-h298-k-no
ChIJ9dYmNWizWTcRAaafRcuySvI,Dhakiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPAYpqgsDhkNFlYQ8mYgJhMWr36mMSR2IwF3TSf=w224-h298-k-no
ChIJezxP3rqzWTcRcc5ASaYHhBk,Goalpara Markaz Jame Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMQUjImke--_0StAIqb9KllDS33I3Wb5x4JYeDb=w224-h298-k-no
ChIJezxP3rqzWTcRcc5ASaYHhBk,Goalpara Markaz Jame Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=t4YJJxWvYYpnRgMObQQWcg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=13.02261&pitch=0&thumbfov=100
ChIJ5RS75i-zWTcR2UZetLtykhU,Priya Nagar Dangor Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP9Nz51-rIy--iPEdB6bC5G_Yw5uu9rfa10sbiI=w397-h298-k-no
