place_id,place_name,about,link
ChIJS3hUk1uORjcRm-GLBu-5isc,Na- Mosjid.,All,https://lh5.googleusercontent.com/p/AF1QipPQRs_0W3Ktzu5ekgYJHDYlYiGpfF5bhq4Zb_SZ=w224-h384-k-no
ChIJA6VFtHyORjcROXwBVvMbrf4,Golaghat Mosque,All,https://lh5.googleusercontent.com/p/AF1QipNoxzWH7wJOEqVMLncC0KNjkdqrAaealtIwkdp0=w397-h298-k-no
ChIJARL-u16ORjcRk4yDqho6Jdg,Mosque msjd,All,https://lh5.googleusercontent.com/p/AF1QipNNIRLkFdYn2k2xHGOmiFWHxUGJ_nBFbt-6Oz31=w224-h398-k-no
ChIJARL-u16ORjcRk4yDqho6Jdg,Mosque msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ODxGjCsKVMnFplC7zAQFpQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=179.613&pitch=0&thumbfov=100
ChIJARL-u16ORjcRk4yDqho6Jdg,Mosque msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipPxZvg5-31H4eMhgdtx9EU8uYMUdMwjMseFwxO4=w224-h398-k-no
ChIJ03ONZ0GORjcRRVce6EevWXs,Janpar Jamme Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNsIJNU5ond6Y1GxR95CDOQ8zCZM4X6h_MYOvls=w529-h298-k-no
ChIJ5W1CHF6ORjcRTux7yTkqW9g,jalilcottonshop,All,https://lh5.googleusercontent.com/p/AF1QipOtuDNgRbhXx6Gn13zH_pSC-c8xmnbCPRzgBvlR=w224-h298-k-no
ChIJ5W1CHF6ORjcRTux7yTkqW9g,jalilcottonshop,Inside,https://lh5.googleusercontent.com/p/AF1QipMjup4LkpVZaKbnpQlwBop6MUecCAzTEC1ca8Qt=w388-h298-k-no
ChIJ5W1CHF6ORjcRTux7yTkqW9g,jalilcottonshop,By owner,https://lh5.googleusercontent.com/p/AF1QipMjup4LkpVZaKbnpQlwBop6MUecCAzTEC1ca8Qt=w388-h298-k-no
ChIJ5W1CHF6ORjcRTux7yTkqW9g,jalilcottonshop,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pC8JniQsMIE-6Y9ddVGbfA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=303.1671&pitch=0&thumbfov=100
ChIJHxUCq0OORjcRJze7FPJTuCc,Santipur Muktab,All,https://lh5.googleusercontent.com/p/AF1QipMUEXuY9YikCvKUFfgx9ZzswiHgPUQYrMuBXJL2=w529-h298-k-no
ChIJ7aTKGlCORjcRRQM11g0dJPs,Hedayetpur Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMPIHvazg7VIASfJz5RR9q8C1Agu4TXC9bwrTVC=w397-h298-k-no
ChIJ7aTKGlCORjcRRQM11g0dJPs,Hedayetpur Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipP9W2t4q9Z8dO5zAyN_5aWF4DOZF4d9NUizrbGX=w529-h298-k-no
ChIJ7aTKGlCORjcRRQM11g0dJPs,Hedayetpur Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipM0L2RopkwCuzIbr0JOF3cAahOH0XWVK-FBGP-f=w529-h298-k-no
ChIJ7aTKGlCORjcRRQM11g0dJPs,Hedayetpur Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7jaC0OmyxVwUh4Pw2IzEcg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=32.304466&pitch=0&thumbfov=100
ChIJDaOEf3WPRjcRpn4x6hmIR70,Santipur Jame Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPaaMAshzz5IKSFV2UddN1mwHq4tb8BHX5qt0w5=w397-h298-k-no
ChIJDaOEf3WPRjcRpn4x6hmIR70,Santipur Jame Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fVCc9RUreSyzj1NmlOLlaQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=109.83269&pitch=0&thumbfov=100
ChIJfervYwWPRjcRpATt25njTQo,uday nagar masjid,All,https://lh5.googleusercontent.com/p/AF1QipOi-StHWC1zftck7vivkVTBO3Sv_8LOm8jEwyRW=w224-h298-k-no
ChIJtYlQfBCPRjcRaplmupbaSSw,Purana masjid (arangapara),All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KTWvM7wrI8OlY1hPiUfy_Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=331.78842&pitch=0&thumbfov=100
ChIJtYlQfBCPRjcRaplmupbaSSw,Purana masjid (arangapara),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KTWvM7wrI8OlY1hPiUfy_Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=331.78842&pitch=0&thumbfov=100
ChIJm8tLAxSPRjcRfFCtkisBKPM,Dhaka Patty Town Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPW94aVUzfP-OIDDuanbqAPkVj8QrxtG-NgrrnK=w238-h298-k-no
ChIJm8tLAxSPRjcRfFCtkisBKPM,Dhaka Patty Town Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=no_LQF31n1V8RaQJrYeVPg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=268.26517&pitch=0&thumbfov=100
