place_id,place_name,about,link
ChIJGaBo2pLjTDoRCmciDnt16LM,Jamia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOSYC1DU4MiU8Q_f5INa46Vi5DMfP5_4QDBVnF_=w398-h298-k-no
ChIJGaBo2pLjTDoRCmciDnt16LM,Jamia Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7z83FDxM9vE6JepJGY58AQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=289.8331&pitch=0&thumbfov=100
ChIJGaBo2pLjTDoRCmciDnt16LM,Jamia Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMNFc75opZ_DTa8_kJHxaTembIu5EYvJtP-2Dio=w529-h298-k-no
ChIJq9FHaO3jTDoRbcCW6-_h48w,Masjid-E-Noor,All,https://lh5.googleusercontent.com/p/AF1QipO5wskuPDYhX2yULOGwVH-ZrwwdsWY3IwFPK64c=w529-h298-k-no
ChIJq9FHaO3jTDoRbcCW6-_h48w,Masjid-E-Noor,Dome,https://lh5.googleusercontent.com/p/AF1QipPl5XIQKZaDc_WnE7OS-UVQKbfSQ-B4XBAvHFPh=w224-h398-k-no
ChIJq9FHaO3jTDoRbcCW6-_h48w,Masjid-E-Noor,By owner,https://lh5.googleusercontent.com/p/AF1QipOM5c5jABMFIMQqmtfdPvKaMNCToxQabO0F6Ule=w529-h298-k-no
ChIJq9FHaO3jTDoRbcCW6-_h48w,Masjid-E-Noor,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l7dIYtGiM2Z6yhuBj0b4mQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=352.25906&pitch=0&thumbfov=100
ChIJEdzrIPPjTDoRPR-fBQaUJlE,Masjid-E-Quba,All,https://lh5.googleusercontent.com/p/AF1QipO1oirKV78AfZYdH-IQRZPYKuzr2_o8bC8WNOXM=w529-h298-k-no
ChIJY9hcFenjTDoRDftyFTgdyK8,Masjid-E-Bilal(RAZI),All,https://lh5.googleusercontent.com/p/AF1QipPge_SU5grs5ZgZtUXpssMCJZeBJ6PjXQ4eQgFx=w397-h298-k-no
ChIJDbZZF0TjTDoRgNk6OLFOx1g,Masjid E Ahle Hadees,All,https://lh5.googleusercontent.com/p/AF1QipMZZe4JaUFVkcfGiDV5aH-IJjgJDUfTY2VtlvGk=w660-h298-k-no
ChIJDbZZF0TjTDoRgNk6OLFOx1g,Masjid E Ahle Hadees,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vejlU3xa3Ka5pBr6QpPrsw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=309.46298&pitch=0&thumbfov=100
