name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Guntur old Markaz Masjid,Mosque,"7FV2+7XF Guntur old Markaz Masjid, Gunturvari Thota, Kothapeta, Guntur, Andhra Pradesh 522001","Gunturvari Thota, Kothapeta",7FV2+7XF,Guntur,522001,Andhra Pradesh,IN,https://www.google.com/maps/place/Guntur+old+Markaz+Masjid/data=!4m7!3m6!1s0x3a4a75350b6ee085:0x10a35ff0e2629f82!8m2!3d16.293181!4d80.4524258!16s%2Fg%2F1tf6q6bq!19sChIJheBuCzV1SjoRgp9i4vBfoxA?authuser=0&hl=en&rclk=1,"16.293181,80.4524258"
Masjid -E- Mohammad,Mosque,"8C3P+3HW Masjid -E- Mohammad, Brodipet, Guntur, Andhra Pradesh 522002",Brodipet,8C3P+3HW,Guntur,522002,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid+-E-+Mohammad/data=!4m7!3m6!1s0x3a4a7543a0ada2e5:0xeac73a30d7dcc9a6!8m2!3d16.3027327!4d80.436459!16s%2Fg%2F1hm659jt9!19sChIJ5aKtoEN1SjoRpsnc1zA6x-o?authuser=0&hl=en&rclk=1,"16.3027327,80.436459"
Al-Azeem -Masjid,Mosque,"Al-Azeem -Masjid, Anandapat 1st, line, road, ponnur, Guntur, Andhra Pradesh 522001",Old Guntur,"Anandapat 1st, line, road","ponnur, Guntur",522001,Andhra Pradesh,IN,https://www.google.com/maps/place/Al-Azeem+-Masjid/data=!4m7!3m6!1s0x3a4a75336dd3dfb9:0x22aac374c67e35b6!8m2!3d16.287855!4d80.452969!16s%2Fg%2F1vvdsmv1!19sChIJud_TbTN1SjoRtjV-xnTDqiI?authuser=0&hl=en&rclk=1,"16.287855,80.452969"
Masjid -E- Atheequr Rahman,Mosque,"8C4C+F9M Masjid -E- Atheequr Rahman, Pattabhipuram Rd, Rajarajeswaripuram, Pattabhipuram, Guntur, Andhra Pradesh 522006","Rajarajeswaripuram, Pattabhipuram","8C4C+F9M, Pattabhipuram Rd",Guntur,522006,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid+-E-+Atheequr+Rahman/data=!4m7!3m6!1s0x3a4a757ab9e6ad61:0xfefa14db1f8eaa90!8m2!3d16.3062151!4d80.420921!16s%2Fg%2F11b6szk5_7!19sChIJYa3muXp1SjoRkKqOH9sU-v4?authuser=0&hl=en&rclk=1,"16.3062151,80.42092099999999"
Ek-Minar Masjid,Mosque,"7FR2+7GG Ek-Minar Masjid, Lalapet, Guntur, Andhra Pradesh 522001",Lalapet,7FR2+7GG,Guntur,522001,Andhra Pradesh,IN,https://www.google.com/maps/place/Ek-Minar+Masjid/data=!4m7!3m6!1s0x3a4a75344374f7f7:0xc6ec1aaa8d06c2a3!8m2!3d16.2906971!4d80.4513177!16s%2Fg%2F1hc5wr8zt!19sChIJ9_d0QzR1SjoRo8IGjaoa7MY?authuser=0&hl=en&rclk=1,"16.2906971,80.45131769999999"
Masjid -E- Iqbal,Mosque,"7CVX+2WQ Masjid -E- Iqbal, Lalapet, Guntur, Andhra Pradesh 522001",Lalapet,7CVX+2WQ,Guntur,522001,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid+-E-+Iqbal/data=!4m7!3m6!1s0x3a4a7535da593dc5:0x59cf145d14c8fecc!8m2!3d16.2925917!4d80.4498473!16s%2Fg%2F1hm4jzr02!19sChIJxT1Z2jV1SjoRzP7IFF0Uz1k?authuser=0&hl=en&rclk=1,"16.2925917,80.4498473"
Cobaldpet Mosque,Mosque,"8C4F+GJ6 Cobaldpet Mosque, Krishna Nagar Main Rd, Cobald Pet, Guntur, Andhra Pradesh 522006",Cobald Pet,"8C4F+GJ6, Krishna Nagar Main Rd",Guntur,522006,Andhra Pradesh,IN,https://www.google.com/maps/place/Cobaldpet+Mosque/data=!4m7!3m6!1s0x3a4a756574bc0279:0xe4713e8a52c5a7e1!8m2!3d16.3062889!4d80.4240147!16s%2Fg%2F1hm46xs92!19sChIJeQK8dGV1SjoR4afFUoo-ceQ?authuser=0&hl=en&rclk=1,"16.3062889,80.4240147"
SHAI JAMIA MASJID (BIG MOSQUE),Mosque,"SHAI JAMIA MASJID (BIG MOSQUE), 22-3-14 Big Mosque Compound, Alamgir, Road, Lalapet, Guntur, Andhra Pradesh 522003",Lalapet,"22-3-14 Big Mosque Compound, Alamgir, Road",Guntur,522003,Andhra Pradesh,IN,https://www.google.com/maps/place/SHAI+JAMIA+MASJID+%28BIG+MOSQUE%29/data=!4m7!3m6!1s0x3a4a75341eeb28af:0x88b2557ff57a40fd!8m2!3d16.2900132!4d80.4497751!16s%2Fg%2F1vfp6ml_!19sChIJryjrHjR1SjoR_UB69X9Vsog?authuser=0&hl=en&rclk=1,"16.2900132,80.4497751"
Lal-Talab-Masjid,Mosque,"7FR3+78C Lal-Talab-Masjid, Old Guntur, Guntur, Andhra Pradesh 522001",Old Guntur,7FR3+78C,Guntur,522001,Andhra Pradesh,IN,https://www.google.com/maps/place/Lal-Talab-Masjid/data=!4m7!3m6!1s0x3a4a7534ec423125:0x7f678490c4375ca6!8m2!3d16.2906972!4d80.4532728!16s%2Fg%2F1hm29dpnk!19sChIJJTFC7DR1SjoRplw3xJCEZ38?authuser=0&hl=en&rclk=1,"16.2906972,80.4532728"
Masjid -E- Firdous,Mosque,"Masjid -E- Firdous, 16-17-80, Manurivari Street, Old Guntur, Guntur, Andhra Pradesh 522001",Old Guntur,"16-17-80, Manurivari Street",Guntur,522001,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid+-E-+Firdous/data=!4m7!3m6!1s0x3a4a0acc8fffe4eb:0x7ecfba13fe16fc3b!8m2!3d16.2884261!4d80.45699!16s%2Fg%2F1hm6l8l11!19sChIJ6-T_j8wKSjoRO_wW_hO6z34?authuser=0&hl=en&rclk=1,"16.2884261,80.45698999999999"
