name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama masjid ( Ahle Sunnat O Jamat ) momipura gurumatkal,Mosque,"V99R+364 Jama masjid ( Ahle Sunnat O Jamat ) momipura gurumatkal, Gurumitkal, Karnataka 585214",,V99R+364,Gurumitkal,585214,Karnataka,IN,https://www.google.com/maps/place/Jama+masjid+%28+Ahle+Sunnat+O+Jamat+%29+momipura+gurumatkal/data=!4m7!3m6!1s0x3bc9a7c4a55db13f:0x9a723e98414b0b42!8m2!3d16.8676487!4d77.3905831!16s%2Fg%2F11cssy8k90!19sChIJP7FdpcSnyTsRQgtLQZg-cpo?authuser=0&hl=en&rclk=1,"16.8676487,77.3905831"
Masjid E Marathwadi ( Ahle Sunnat O Jamat ),Mosque,"V97Q+3HH Masjid E Marathwadi ( Ahle Sunnat O Jamat ), Gurmatkal Taluk Rd, Gurumitkal, Karnataka 585214",,"V97Q+3HH, Gurmatkal Taluk Rd",Gurumitkal,,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Marathwadi+%28+Ahle+Sunnat+O+Jamat+%29/data=!4m7!3m6!1s0x3bc9a72b022ff4ff:0x4fec2bb1063b3ecd!8m2!3d16.8626806!4d77.3889734!16s%2Fg%2F11g22xdwf3!19sChIJ__QvAiunyTsRzT47BrEr7E8?authuser=0&hl=en&rclk=1,"16.8626806,77.3889734"
Masjid e shahabuddin ( Ahle Sunnat O Jamat ) Gurmitkal,Mosque,"V97Q+X5Q Masjid e shahabuddin ( Ahle Sunnat O Jamat ) Gurmitkal, Gurumitkal, Karnataka 585214",,V97Q+X5Q,Gurumitkal,585214,Karnataka,IN,https://www.google.com/maps/place/Masjid+e+shahabuddin+%28+Ahle+Sunnat+O+Jamat+%29+Gurmitkal/data=!4m7!3m6!1s0x3bc9a7dae3e4026f:0xe38e2e5f071db82d!8m2!3d16.8649645!4d77.3879973!16s%2Fg%2F11fzf83m3n!19sChIJbwLk49qnyTsRLbgdB18ujuM?authuser=0&hl=en&rclk=1,"16.8649645,77.3879973"
Madina Masjid ( Ahle Sunnat O Jamat ),Mosque,"V9CQ+6R5 Madina Masjid ( Ahle Sunnat O Jamat ), Gurumitkal, Karnataka 585214",,V9CQ+6R5,Gurumitkal,,Karnataka,IN,https://www.google.com/maps/place/Madina+Masjid+%28+Ahle+Sunnat+O+Jamat+%29/data=!4m7!3m6!1s0x3bc9a78252c7df29:0x127d188699fc7f!8m2!3d16.8705155!4d77.3896034!16s%2Fg%2F11h261cxzq!19sChIJKd_HUoKnyTsRf_yZhhh9EgA?authuser=0&hl=en&rclk=1,"16.8705155,77.3896034"
Jama Masjid Gadi ( Ahle Sunnat O Jamat ),Mosque,"V99W+C4F Jama Masjid Gadi ( Ahle Sunnat O Jamat ), Gurmatkal Taluk Rd, Gurumitkal, Karnataka 585214",,"V99W+C4F, Gurmatkal Taluk Rd",Gurumitkal,585214,Karnataka,IN,https://www.google.com/maps/place/Jama+Masjid+Gadi+%28+Ahle+Sunnat+O+Jamat+%29/data=!4m7!3m6!1s0x3bc9a70818ac2671:0xb73d364424ba2083!8m2!3d16.8685603!4d77.3952852!16s%2Fg%2F11fkq8xjgj!19sChIJcSasGAinyTsRgyC6JEQ2Pbc?authuser=0&hl=en&rclk=1,"16.8685603,77.3952852"
Masjid-E-Quba (Jamiat-E-Ahle Hadees),Mosque,"V98Q+5J5 Masjid-E-Quba (Jamiat-E-Ahle Hadees), Gurumitkal, Karnataka 585214",,V98Q+5J5,Gurumitkal,,Karnataka,IN,https://www.google.com/maps/place/Masjid-E-Quba+%28Jamiat-E-Ahle+Hadees%29/data=!4m7!3m6!1s0x3bc9a70580bd2d69:0xd5d7f4f96dc11cef!8m2!3d16.8653989!4d77.3891167!16s%2Fg%2F11sc_mdpwg!19sChIJaS29gAWnyTsR7xzBbfn019U?authuser=0&hl=en&rclk=1,"16.8653989,77.3891167"
Masjid e Chand ( Ahle Sunnat O Jamat ),Mosque,"V98Q+QPR Masjid e Chand ( Ahle Sunnat O Jamat ), Gurmatkal Taluk Rd, Gurumitkal, Karnataka 585214",,"V98Q+QPR, Gurmatkal Taluk Rd",Gurumitkal,,Karnataka,IN,https://www.google.com/maps/place/Masjid+e+Chand+%28+Ahle+Sunnat+O+Jamat+%29/data=!4m7!3m6!1s0x3bc9a7ea6c406543:0x106f9b2e704ddd55!8m2!3d16.8669988!4d77.3892561!16s%2Fg%2F11gjx15jkl!19sChIJQ2VAbOqnyTsRVd1NcC6bbxA?authuser=0&hl=en&rclk=1,"16.866998799999998,77.3892561"
Masjid e banihashim,Mosque,"V94W+247 Masjid e banihashim, Gurumitkal, Karnataka 585214",,V94W+247,Gurumitkal,585214,Karnataka,IN,https://www.google.com/maps/place/Masjid+e+banihashim/data=!4m7!3m6!1s0x3bc9a7c84be33b6b:0x132eaffd95f6aa54!8m2!3d16.8550269!4d77.3952984!16s%2Fg%2F11rxyk2983!19sChIJazvjS8inyTsRVKr2lf2vLhM?authuser=0&hl=en&rclk=1,"16.8550269,77.3952984"
Noorani Masjid,Mosque,"V95R+HX3 Noorani Masjid, Gurumitkal, Karnataka 585214",,V95R+HX3,Gurumitkal,585214,Karnataka,IN,https://www.google.com/maps/place/Noorani+Masjid/data=!4m7!3m6!1s0x3bc9a73bfe8b9799:0x6ed34c615d93b0bf!8m2!3d16.8588764!4d77.3924351!16s%2Fg%2F11pbhtnhr1!19sChIJmZeL_junyTsRv7CTXWFM024?authuser=0&hl=en&rclk=1,"16.8588764,77.3924351"
Masjid e Noori - Ahle Sunnat Wa Jama'at,Mosque,"V95V+J27 Masjid e Noori - Ahle Sunnat Wa Jama'at, Gurumitkal, Karnataka 585214",,V95V+J27,Gurumitkal,585214,Karnataka,IN,https://www.google.com/maps/place/Masjid+e+Noori+-+Ahle+Sunnat+Wa+Jama%27at/data=!4m7!3m6!1s0x3bc9a7d15342a723:0x50e7b2a52dc08db2!8m2!3d16.8590348!4d77.3925496!16s%2Fg%2F11v5_yhwt5!19sChIJI6dCU9GnyTsRso3ALaWy51A?authuser=0&hl=en&rclk=1,"16.8590348,77.3925496"
