place_id,place_name,about,link
ChIJEXq5i9AUnjkRLHH6sPpyu6U,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN19laQR5xqLHlO-ElshE4FrtiXhh3lYEPv8bRE=w224-h298-k-no
ChIJEXq5i9AUnjkRLHH6sPpyu6U,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=73Wi6ipPjNceySM5GyfoRQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=150.16254&pitch=0&thumbfov=100
ChIJEXq5i9AUnjkRLHH6sPpyu6U,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPf4BEZrvU_G72dxaPEtIOphje8YX0iUxnU7wos=w224-h471-k-no
ChIJvbNJhM0UnjkRhp18yh1rdoA,Yakubi Nuri Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP7Fx_yVuZJDawN3C1mFxyqvMuJVjsnQCgPpB6f=w224-h398-k-no
ChIJoSpFVdEUnjkR96-nN86so0c,Noori jama masjid,All,https://lh5.googleusercontent.com/p/AF1QipMx0KIsCONCPN3UxMHvMbF6s3rR-LHyZU6BoBrZ=w366-h298-k-no
ChIJoSpFVdEUnjkR96-nN86so0c,Noori jama masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNdyN4RM6WTgDX5M9nF0SjgQLSIVFiuM6Zi3WV_=w448-h298-k-no
ChIJoSpFVdEUnjkR96-nN86so0c,Noori jama masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPdoCIARMC0TrCxhN540Vn_VI93G1N6vjq9YMOE=w298-h298-k-no
ChIJoSpFVdEUnjkR96-nN86so0c,Noori jama masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zYs_nWz3cj0TBt_-aeElpA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=38.316498&pitch=0&thumbfov=100
ChIJFQ5ir8wUnjkRNafd8T3nj-M,Eid Gah Build By Murad Khan,All,https://lh5.googleusercontent.com/p/AF1QipMMvZYryXPMSILf6zL2VMKrzkEXcU4Oh09yLxfw=w667-h298-k-no
ChIJFQ5ir8wUnjkRNafd8T3nj-M,Eid Gah Build By Murad Khan,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=961jmgJ0vRxkDfvP6DqP7g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=206.20605&pitch=0&thumbfov=100
ChIJ67hNoOQUnjkRquJ57VG4H94,ala hazrat Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOvyCdEGybxbcOVveYwAh4m-7sVI-tvFaQea7F8=w224-h398-k-no
ChIJ67hNoOQUnjkRquJ57VG4H94,ala hazrat Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPUlxLr5T5ki63eH5jhIEy2fAdmvjQjoxtUiD4X=w228-h298-k-no
ChIJ67hNoOQUnjkRquJ57VG4H94,ala hazrat Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOEhO8MKuU5pdmuYpZqEZkuRCpyBfTJXSf4Kgfj=w224-h398-k-no
ChIJMT0WYP5rnjkR8SDTnDnKoM4,Madina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipObktQBc-xnboiF89vRVgayqGOdRhnSLv3kcu3v=w529-h298-k-no
ChIJMT0WYP5rnjkR8SDTnDnKoM4,Madina Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9T7U7FiINkvNRoWhJgmLqQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=329.31668&pitch=0&thumbfov=100
ChIJMT0WYP5rnjkR8SDTnDnKoM4,Madina Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNtTIQp90lnqnY1P24NVrkIDhPIjpi20zF4qNox=w224-h398-k-no
ChIJH-f1PzUVnjkR-lUYhLcDGgc,Mohammadi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMeQ4XERgQt6iPhIiSbV64F0LuF0R7T2dQeYud0=w224-h398-k-no
ChIJH-f1PzUVnjkR-lUYhLcDGgc,Mohammadi Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipO30DPvo-BCXLg3N6iMJukcOZn6bkKcL7XlSbau=w224-h398-k-no
ChIJlcsX3VMVnjkRxm9J8LdQ7Gk,Jama Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9KAj5HYvydrQ03srHAIIVA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=307.57965&pitch=0&thumbfov=100
ChIJlcsX3VMVnjkRxm9J8LdQ7Gk,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9KAj5HYvydrQ03srHAIIVA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=307.57965&pitch=0&thumbfov=100
ChIJq6qqqssUnjkRGqdbOu5oZ8g,Masjid Quba,All,https://lh5.googleusercontent.com/p/AF1QipMaD2DnF455CXV2VERcHpY9ytorLRWVAZSk17FU=w529-h298-k-no
ChIJq6qqqssUnjkRGqdbOu5oZ8g,Masjid Quba,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qMh9uB__ShxLEq5phKu6lg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=313.1932&pitch=0&thumbfov=100
ChIJubbJysgVnjkRKkOadsD9Yhc,Noori Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMk3b85oCQMrfm1lnPgEYEcBwKdGzUZKGd0dzSj=w397-h298-k-no
ChIJ9YeN6R5rnjkRncBvpPPF5fg,Aysha Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6-evVJyxvbz-0gzmNbWE5A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=284.5219&pitch=0&thumbfov=100
ChIJ9YeN6R5rnjkRncBvpPPF5fg,Aysha Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6-evVJyxvbz-0gzmNbWE5A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=284.5219&pitch=0&thumbfov=100
ChIJOb_z3dcVnjkRVs7FdAwi_cQ,1 minara masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M4XfOpzaJeoY7pXUVq4o2A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=129.49248&pitch=0&thumbfov=100
ChIJOb_z3dcVnjkRVs7FdAwi_cQ,1 minara masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M4XfOpzaJeoY7pXUVq4o2A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=129.49248&pitch=0&thumbfov=100
