name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
drgaah baabaa lkhdaataa haidrshekh piir jii / ,Hindu temple,"drgaah baabaa lkhdaataa haidrshekh piir jii / , Guru Har Sahai, Punjab 152022",,,Guru Har Sahai,152022,Punjab,IN,https://www.google.com/maps/place/%E0%A4%A6%E0%A4%B0%E0%A4%97%E0%A4%BE%E0%A4%B9+%E0%A4%AC%E0%A4%BE%E0%A4%AC%E0%A4%BE+%E0%A4%B2%E0%A4%96%E0%A4%A6%E0%A4%BE%E0%A4%A4%E0%A4%BE+%E0%A4%B9%E0%A5%88%E0%A4%A6%E0%A4%B0%E0%A4%B6%E0%A5%87%E0%A4%96+%E0%A4%AA%E0%A5%80%E0%A4%B0+%E0%A4%9C%E0%A5%80%E0%A5%A4/data=!4m7!3m6!1s0x3919d9aed1b97ec3:0x5c2de9b4b6daaad4!8m2!3d30.7057625!4d74.4115246!16s%2Fg%2F11s7zfxpm3!19sChIJw3650a7ZGTkR1KratrTpLVw?authuser=0&hl=en&rclk=1,"30.7057625,74.41152459999999"
Guru Harsahai,Train station,"Guru Harsahai, Guru Har Sahai, Punjab 152022",,,Guru Har Sahai,152022,Punjab,IN,https://www.google.com/maps/place/Guru+Harsahai/data=!4m7!3m6!1s0x3919d786afb7f4ad:0xb371e990bf83d5f0!8m2!3d30.7149973!4d74.4000867!16s%2Fg%2F1tf41bkp!19sChIJrfS3r4bXGTkR8NWDv5DpcbM?authuser=0&hl=en&rclk=1,"30.7149973,74.4000867"
Guru ki Maseet,Mosque,"MFPH+FWQ Guru ki Maseet, Shri Hargobindpur, Punjab 143515",,MFPH+FWQ,Shri Hargobindpur,143515,Punjab,IN,https://www.google.com/maps/place/Guru+ki+Maseet/data=!4m7!3m6!1s0x391bb088697a17cf:0xdb7788c6e7f41c5!8m2!3d31.6862099!4d75.4798568!16s%2Fm%2F012dwfg6!19sChIJzxd6aYiwGzkRxUF_box4tw0?authuser=0&hl=en&rclk=1,"31.686209899999998,75.4798568"
Dargah Baba Jand Peer,Mosque,"R9FJ+6X3 Dargah Baba Jand Peer, Khundar Hithar, Punjab 152023",,R9FJ+6X3,Khundar Hithar,152023,Punjab,IN,https://www.google.com/maps/place/Dargah+Baba+Jand+Peer/data=!4m7!3m6!1s0x3919d069d6834dbd:0x4d8edd6c573e6d4e!8m2!3d30.8230031!4d74.3824339!16s%2Fg%2F11f38w18s8!19sChIJvU2D1mnQGTkRTm0-V2zdjk0?authuser=0&hl=en&rclk=1,"30.823003099999998,74.3824339"
"Jamia Masjid Abdul Rehman, Basti Islam Pura Marley, Sanda Kasur",Mosque,"X68Q+GJH Jamia Masjid Abdul Rehman, Basti Islam Pura Marley, Sanda Kasur, Unnamed Road, Kasur, Punjab, Pakistan",,"X68Q+GJH, Unnamed Road",,,"Kasur, Punjab",PK,"https://www.google.com/maps/place/Jamia+Masjid+Abdul+Rehman,+Basti+Islam+Pura+Marley,+Sanda+Kasur/data=!4m7!3m6!1s0x3919cb9d2eae1703:0x48f66e5cfb9697d2!8m2!3d30.9663206!4d74.2391049!16s%2Fg%2F11nnts4wk0!19sChIJAxeuLp3LGTkR0peW-1xu9kg?authuser=0&hl=en&rclk=1","30.9663206,74.2391049"
Jamia Masjid Ahl-e-Hadith Bagh Ali Wala,Mosque,"V6HG+CJW Jamia Masjid Ahl-e-Hadith Bagh Ali Wala, Bagh Aliwala, Kasur, Punjab, Pakistan",,V6HG+CJW,Bagh Aliwala,,"Kasur, Punjab",PK,https://www.google.com/maps/place/Jamia+Masjid+Ahl-e-Hadith+Bagh+Ali+Wala/data=!4m7!3m6!1s0x3919cdda8de2ca81:0x26335eb526c34b52!8m2!3d30.8786093!4d74.226577!16s%2Fg%2F11j03qy93_!19sChIJgcrijdrNGTkRUkvDJrVeMyY?authuser=0&hl=en&rclk=1,"30.878609299999997,74.22657699999999"
Guru har sahai,High school,"PC46+8J2 Guru har sahai, Guru Har Sahai, Punjab 152022",,PC46+8J2,Guru Har Sahai,,Punjab,IN,https://www.google.com/maps/place/Guru+har+sahai/data=!4m7!3m6!1s0x3919d9a3656aa02b:0xe2d49cedecf95367!8m2!3d30.7057625!4d74.4115246!16s%2Fg%2F11sx55kvjm!19sChIJK6BqZaPZGTkRZ1P57O2c1OI?authuser=0&hl=en&rclk=1,"30.7057625,74.41152459999999"
drgaah khvaajaa piir meelaa 25 jeetth seevaadaar baabaa cNd siNgh,Mosque,"VC2R+QHM drgaah khvaajaa piir meelaa 25 jeetth seevaadaar baabaa cNd siNgh, Mamdot Uttar, Punjab 152023",,VC2R+QHM,Mamdot Uttar,152023,Punjab,IN,https://www.google.com/maps/place/%E0%A8%A6%E0%A8%B0%E0%A8%97%E0%A8%BE%E0%A8%B9+%E0%A8%96%E0%A8%B5%E0%A8%BE%E0%A8%9C%E0%A8%BE+%E0%A8%AA%E0%A9%80%E0%A8%B0+%E0%A8%AE%E0%A9%87%E0%A8%B2%E0%A8%BE+25+%E0%A8%9C%E0%A9%87%E0%A8%A0+%E0%A8%B8%E0%A9%87%E0%A8%B5%E0%A8%BE%E0%A8%A6%E0%A8%BE%E0%A8%B0+%E0%A8%AC%E0%A8%BE%E0%A8%AC%E0%A8%BE+%E0%A8%9A%E0%A9%B0%E0%A8%A6+%E0%A8%B8%E0%A8%BF%E0%A9%B0%E0%A8%98/data=!4m7!3m6!1s0x3919dbc967eca885:0x6668f11f58db0f5f!8m2!3d30.8519662!4d74.4414066!16s%2Fg%2F11t7m674hv!19sChIJhajsZ8nbGTkRXw_bWB_xaGY?authuser=0&hl=en&rclk=1,"30.8519662,74.4414066"
Guru Har Sahai,,"Guru Har Sahai, Punjab 152022",,,Guru Har Sahai,,Punjab,IN,https://www.google.com/maps/place/Guru+Har+Sahai/data=!4m7!3m6!1s0x3919d827d07677fd:0xc1d9ac89b30e2642!8m2!3d30.7057625!4d74.4115246!16zL20vMGY0eTdk!19sChIJ_Xd20CfYGTkRQiYOs4ms2cE?authuser=0&hl=en&rclk=1,"30.7057625,74.41152459999999"
VisaStride Immigration,Educational consultant,"VisaStride Immigration, SHIV BHAWAN, 22-A THE MALL, ROAD, near STATION MASJID, Punjab 152001",,"SHIV BHAWAN, 22-A THE MALL, ROAD, near STATION MASJID",Guru Har Sahai,152001,Punjab,IN,https://www.google.com/maps/place/VisaStride+Immigration/data=!4m7!3m6!1s0x3919d7127df585b3:0xb822715f56de5145!8m2!3d30.7101451!4d74.3997764!16s%2Fg%2F11srkb0dhl!19sChIJs4X1fRLXGTkRRVHeVl9xIrg?authuser=0&hl=en&rclk=1,"30.7101451,74.3997764"
