name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Guruvayur MSS Juma Masjid,Mosque,"Guruvayur MSS Juma Masjid, Guruvayur - Karakkad Rd, Edappully, Guruvayur, Kerala 680101",Edappully,Guruvayur - Karakkad Rd,Guruvayur,680101,Kerala,IN,https://www.google.com/maps/place/Guruvayur+MSS+Juma+Masjid/data=!4m7!3m6!1s0x3ba7946283c6df75:0xcf95e3f4a7e80d28!8m2!3d10.5893252!4d76.039337!16s%2Fg%2F1hhgs3sdt!19sChIJdd_Gg2KUpzsRKA3op_Tjlc8?authuser=0&hl=en&rclk=1,"10.5893252,76.039337"
Thaqwa Masjid,Mosque,"H2JQ+G86 Thaqwa Masjid, Chavakkad - Kanjany - Peringottukara Rd, Angadithazham, Palayoor, Chavakkad, Kerala 680506","Angadithazham, Palayoor","H2JQ+G86, Chavakkad - Kanjany - Peringottukara Rd",Chavakkad,680506,Kerala,IN,https://www.google.com/maps/place/Thaqwa+Masjid/data=!4m7!3m6!1s0x3ba7947e09814ac7:0xbed34a5b5322e96c!8m2!3d10.5812783!4d76.0382741!16s%2Fg%2F11bzq39r3q!19sChIJx0qBCX6UpzsRbOkiU1tK074?authuser=0&hl=en&rclk=1,"10.5812783,76.0382741"
Chavakkad Centre Juma Masjid,Mosque,"H2JF+23X Chavakkad Centre Juma Masjid, Chavakkad, Kerala 680506",,H2JF+23X,Chavakkad,680506,Kerala,IN,https://www.google.com/maps/place/Chavakkad+Centre+Juma+Masjid/data=!4m7!3m6!1s0x3ba79476b0484033:0xfebe022b19f3c812!8m2!3d10.5801186!4d76.0227433!16s%2Fg%2F11c1ldfxxm!19sChIJM0BIsHaUpzsREsjzGSsCvv4?authuser=0&hl=en&rclk=1,"10.580118599999999,76.0227433"
Chavakkad Mahallu Juma Masjid,Mosque,"H2MP+PWV Chavakkad Mahallu Juma Masjid, Palayoor - Angadi Rd, Edappully, Guruvayur, Kerala 680506",Edappully,"H2MP+PWV, Palayoor - Angadi Rd",Guruvayur,680506,Kerala,IN,https://www.google.com/maps/place/Chavakkad+Mahallu+Juma+Masjid/data=!4m7!3m6!1s0x3ba7947d096cae5b:0x8bb9d86156376c!8m2!3d10.5843708!4d76.037306!16s%2Fg%2F11bvv518q5!19sChIJW65sCX2UpzsRbDdWYdi5iwA?authuser=0&hl=en&rclk=1,"10.5843708,76.037306"
Edappully Masjid,Mosque,"H2PM+MG3 Edappully Masjid, Edappully Rd, Palayoor, Guruvayur, Kerala 680506",Palayoor,"H2PM+MG3, Edappully Rd",Guruvayur,680506,Kerala,IN,https://www.google.com/maps/place/Edappully+Masjid/data=!4m7!3m6!1s0x3ba7947cab5a685f:0x99b3ab1faa0499ec!8m2!3d10.5866416!4d76.0338122!16s%2Fg%2F11bvt3zlk3!19sChIJX2haq3yUpzsR7JkEqh-rs5k?authuser=0&hl=en&rclk=1,"10.5866416,76.0338122"
Punathoor Road Masjid,Mosque,"Punathoor Road Masjid, Punnathur Rd, Iringaprom, Kerala 680505",,Punnathur Rd,Iringaprom,680505,Kerala,IN,https://www.google.com/maps/place/Punathoor+Road+Masjid/data=!4m7!3m6!1s0x3ba79456ebc619ab:0xc450f94aede7ec05!8m2!3d10.6127787!4d76.0351539!16s%2Fg%2F1pv5tkbq7!19sChIJqxnG61aUpzsRBezn7Ur5UMQ?authuser=0&hl=en&rclk=1,"10.6127787,76.0351539"
Juma Masjid Choolpuram,Mosque,"J26V+X33 Juma Masjid Choolpuram, Choolpuram, Guruvayur, Kerala 680101",Choolpuram,J26V+X33,Guruvayur,680101,Kerala,IN,https://www.google.com/maps/place/Juma+Masjid+Choolpuram/data=!4m7!3m6!1s0x3ba794f9050604d5:0xcf41905ad797d82!8m2!3d10.6123761!4d76.0426791!16s%2Fg%2F11bw2gkb9w!19sChIJ1QQGBfmUpzsRgn15rQUZ9Aw?authuser=0&hl=en&rclk=1,"10.612376099999999,76.0426791"
Muthuvatoor Masjid,Mosque,"H2WJ+52G Muthuvatoor Masjid, Muthuvattoor, Guruvayur, Kerala 680101",Muthuvattoor,H2WJ+52G,Guruvayur,680101,Kerala,IN,https://www.google.com/maps/place/Muthuvatoor+Masjid/data=!4m7!3m6!1s0x3ba79531f8b381b5:0xc106eff63171108a!8m2!3d10.5954478!4d76.0300657!16s%2Fg%2F11ghnbswq5!19sChIJtYGz-DGVpzsRihBxMfbvBsE?authuser=0&hl=en&rclk=1,"10.595447799999999,76.0300657"
Qabaristhan Palli Angadithazham,Mosque,"H2MP+6G5 Qabaristhan Palli Angadithazham, Palayoor, Guruvayur, Kerala 680506",Palayoor,H2MP+6G5,Guruvayur,680506,Kerala,IN,https://www.google.com/maps/place/Qabaristhan+Palli+Angadithazham/data=!4m7!3m6!1s0x3ba7947db4a52c6d:0x6d5b6321001469c7!8m2!3d10.5830225!4d76.0363448!16s%2Fg%2F11bw4yhfgx!19sChIJbSyltH2UpzsRx2kUACFjW20?authuser=0&hl=en&rclk=1,"10.5830225,76.0363448"
Tharbiyathul Juma Masjid,Place of worship,"H2VX+M6Q Tharbiyathul Juma Masjid, Unnamed Road, Ponnuparambil, Guruvayur, Kerala 680104",Ponnuparambil,"H2VX+M6Q, Unnamed Road",Guruvayur,680104,Kerala,IN,https://www.google.com/maps/place/Tharbiyathul+Juma+Masjid/data=!4m7!3m6!1s0x3ba79531d48b44dd:0x40534ac9ce085f4c!8m2!3d10.5942106!4d76.0481052!16s%2Fg%2F11fnbfgj4y!19sChIJ3USL1DGVpzsRTF8IzslKU0A?authuser=0&hl=en&rclk=1,"10.5942106,76.0481052"
"Umar bin Khattab Masjid, Puthusserypadam",Mosque,"H2JW+6Q4 Umar bin Khattab Masjid, Puthusserypadam, Kerala 680507",,H2JW+6Q4,,680507,Kerala,IN,"https://www.google.com/maps/place/Umar+bin+Khattab+Masjid,+Puthusserypadam/data=!4m7!3m6!1s0x3ba79586303f998d:0x9a0528264afd4d53!8m2!3d10.5805162!4d76.0469648!16s%2Fg%2F11qp94g40c!19sChIJjZk_MIaVpzsRU039SiYoBZo?authuser=0&hl=en&rclk=1","10.5805162,76.0469648"
Chowallurpady Mosque,Mosque,"J327+Q68 Chowallurpady Mosque, Chowalloorpadi, Guruvayur, Kerala 680104",Chowalloorpadi,J327+Q68,Guruvayur,680104,Kerala,IN,https://www.google.com/maps/place/Chowallurpady+Mosque/data=!4m7!3m6!1s0x3ba795eb627ce9dd:0x237bd2bce2a7d716!8m2!3d10.6019065!4d76.0630764!16s%2Fg%2F11g10fy660!19sChIJ3el8YuuVpzsRFten4rzSeyM?authuser=0&hl=en&rclk=1,"10.6019065,76.0630764"
