place_id,place_name,about,link
ChIJG9b6hYv6AjoRvD9p5bfqTks,Char Kendamari Mosque,All,https://lh5.googleusercontent.com/p/AF1QipMv9pFsKPnZL1mImgJs6-comShSLc_dwsvcUWqO=w529-h298-k-no
ChIJhVNb-FL2AjoRfdc6rHTf-IQ,Haldia jama masjid,All,https://lh5.googleusercontent.com/p/AF1QipOHYN9L6GOPgR9s_Ob_LcZLJa1Np3BPqWd5pHW_=w224-h299-k-no
ChIJhVNb-FL2AjoRfdc6rHTf-IQ,Haldia jama masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipPriCRrche6f7MsodoPqcxc-bkmG9KHqyBJdHjq=w414-h298-k-no
ChIJhVNb-FL2AjoRfdc6rHTf-IQ,Haldia jama masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPZDbl4_1CdmM8fkjgxWVtb2C_lFWrTcVgK7xzO=w224-h398-k-no
ChIJhVNb-FL2AjoRfdc6rHTf-IQ,Haldia jama masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HLvbELw9EZYGN5NrlOcAQg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=300.82303&pitch=0&thumbfov=100
ChIJC70xDrnwAjoReBAcClp9OEo,Gandhinagar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMybW_5eBktsBLiHdTQNWr5Wpfef6CEzVDDoZbN=w298-h298-k-no
ChIJ-3H44IXwAjoRlYy2eYg8sdY,Hijaratia Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMOnFAu4JJLduzwHWL1vKTLOhBPxuZo_iGf3hVb=w224-h398-k-no
ChIJ-3H44IXwAjoRlYy2eYg8sdY,Hijaratia Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPZdou_7dlt64WZONBxL_HBKzjTiouW3BHQUHmr=w397-h298-k-no
ChIJ-3H44IXwAjoRlYy2eYg8sdY,Hijaratia Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hEjMvV9r7Rqe8DVecJdMlA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=11.677034&pitch=0&thumbfov=100
ChIJrUJp5MPwAjoRQLkrU_nwbSM,Bhabanipur Mosque,All,https://lh5.googleusercontent.com/p/AF1QipPEy1v1URA_r6_Cg7RSxvxjN5n__jdxdVlS1MmC=w397-h298-k-no
ChIJrUJp5MPwAjoRQLkrU_nwbSM,Bhabanipur Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p0v47gDSKfRJATYz7KxZaA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=347.83798&pitch=0&thumbfov=100
ChIJtUQbhCX3AjoRx3guSR8Tlbk,Haldia Badi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNyRYiO7HjuX0LNakXyCy_OWNBAb0t_x3KkHJ3v=w397-h298-k-no
ChIJAd0Ec7zxAjoRtNEKmCPsbdQ,KUMARPUR JAME MASJID,All,https://lh5.googleusercontent.com/p/AF1QipNLpxYrXkWR3sHBiD14soW0i3Ssb27HHbLevPbn=w397-h298-k-no
ChIJAd0Ec7zxAjoRtNEKmCPsbdQ,KUMARPUR JAME MASJID,Dome,https://lh5.googleusercontent.com/p/AF1QipNN_2mbfRzvSVIJIQd376wbEZIJAhdn9cFEOR-q=w529-h298-k-no
ChIJAd0Ec7zxAjoRtNEKmCPsbdQ,KUMARPUR JAME MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipP_nrHGUUnoEULPuRL_S1kDf4vmcE6q521lzU8-=w224-h398-k-no
ChIJcSqB3MfwAjoRrXTLuuze62A,Debhog Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMYovisFXjkvQZI70n6XwGvb-1Uw3dCj1aww9RX=w224-h485-k-no
ChIJcSqB3MfwAjoRrXTLuuze62A,Debhog Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNJqu8M0c90jPCrFRdEIKN-mVThn7vYWnnn1iDr=w224-h298-k-no
ChIJcSqB3MfwAjoRrXTLuuze62A,Debhog Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yMyTcdiPRITjBN2vViLMhA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=254.9897&pitch=0&thumbfov=100
ChIJN8MD3q3xAjoRPPNPQtiSb_M,Brajalalchak Madinatool Jame Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM-YNnBsXwrUcMNtpw7ffOl8R_xFo_4LFetjC-z=w397-h298-k-no
ChIJN8MD3q3xAjoRPPNPQtiSb_M,Brajalalchak Madinatool Jame Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNyEtbjbirbrRr7tHWcseTgjH0qgTdW3uYPDKjG=w224-h448-k-no
ChIJN8MD3q3xAjoRPPNPQtiSb_M,Brajalalchak Madinatool Jame Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipNWHwb9ylI33YUKbmhxaSw8v_dvcEDnBF7EJ5YT=w224-h301-k-no
ChIJN8MD3q3xAjoRPPNPQtiSb_M,Brajalalchak Madinatool Jame Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sDGLBhf4ceqPlM6KfFm-IQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=272.9591&pitch=0&thumbfov=100
ChIJLzPgWK9YAjoRh3BQwjXZ6_g,Parbatipur Jame Masjid maasjidul hudaa,All,https://lh5.googleusercontent.com/p/AF1QipMFzWKE6DAnxwCk0CB8Wo9XubprDAdWapJXP8oK=w397-h298-k-no
ChIJLzPgWK9YAjoRh3BQwjXZ6_g,Parbatipur Jame Masjid maasjidul hudaa,Videos,https://lh5.googleusercontent.com/p/AF1QipOfWgYl5mS4gwLI_h-NDOkjDysRFjlnpfjwira8=w529-h298-k-no
ChIJ1RIos77xAjoRcxDASXMiD6A,MASJID e ahle bayet(a.s),All,https://lh5.googleusercontent.com/p/AF1QipOsiWAjhmImZt86Hu7yhH3x8o6FkyrWgittdOFm=w224-h298-k-no
ChIJ1RIos77xAjoRcxDASXMiD6A,MASJID e ahle bayet(a.s),Videos,https://lh5.googleusercontent.com/p/AF1QipP-CPwOsdAc4XUGkHsqKZYVpKSgYvdc3ZmokPNT=w224-h399-k-no
ChIJHebmOifxAjoRgOvaa6Zv3fM,Geondab Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPrbTIe60TGLBe4z14xQRy_ErUVD541JEhxS9Bl=w224-h298-k-no
ChIJHebmOifxAjoRgOvaa6Zv3fM,Geondab Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TXdo1XEkOgnpDlU3SlSzVw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=330.2469&pitch=0&thumbfov=100
ChIJHebmOifxAjoRgOvaa6Zv3fM,Geondab Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPbYC0PGo_ehtJ7nBAEXyXUVXRq3xsb7BWbZHam=w224-h407-k-no
ChIJu9Fm37PxAjoRR3FfzXS2cwI,KUMAR PUR BAYTUL NUR JAME MASJID,All,https://lh5.googleusercontent.com/p/AF1QipMo30dUVix420K5SNrqFYqEeS3A-IyseylZhXr1=w224-h398-k-no
ChIJH8X_B4TvAjoRqKQtFh_wnq4,Namajiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMKRmP73M_a5CZFjp9e2YT_9vlVeLuQ5I51nlLA=w224-h299-k-no
ChIJXe2XeEpZAjoRYX14AhO7B6o,Jhikurkhali Shahi Jame Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPiw6Kqgl2gfpVKn4eaPaG-WTCWx0x5ravh-wSX=w244-h298-k-no
ChIJXe2XeEpZAjoRYX14AhO7B6o,Jhikurkhali Shahi Jame Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=trGXhLk_m4NZmloczzhKIA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=36.08575&pitch=0&thumbfov=100
ChIJP0a_x_jxAjoR4XJlwzw0w6E,Manichak Jame Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMOm7LX0tIp5OpHHLO31O-klzE1HzRblUveTsJr=w224-h396-k-no
ChIJVzFWJuLxAjoR2cLf9Lu5qpA,Fakir Para Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPBKcRKnquzyqJdV2-xIXya9FyGmXdE_tGUZ_Mp=w395-h298-k-no
