place_id,place_name,about,link
ChIJf6dajHbkDDkRQqAqHoVzE2c,Hussaini Imam Bargah,All,https://lh5.googleusercontent.com/p/AF1QipNnwxeodqW02qGthvgcllDcvCuaor462e7SyQt8=w224-h298-k-no
ChIJf6dajHbkDDkRQqAqHoVzE2c,Hussaini Imam Bargah,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mylkdL5GtqkIGWf6JVhrJA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=110.658455&pitch=0&thumbfov=100
ChIJtQ8Az7z7DDkRoh6ZtEDd0Pg,Hasan Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPWwkfmmHzwz1QAN8LbgiAunmMWb3DJWhXr1p2Q=w224-h298-k-no
ChIJm3xKUG2ldDkRpE_umnhMf90,Masjid Hasan,All,https://lh5.googleusercontent.com/p/AF1QipP3Hof9ty3knGsYH3QOnEFByB8vFLc8eWIy3ZC6=w397-h298-k-no
ChIJm3xKUG2ldDkRpE_umnhMf90,Masjid Hasan,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3LShJtP6GT59oCbA9DYMOg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=186.87726&pitch=0&thumbfov=100
ChIJg2uL5BGkdDkRZm46YZMNCsc,Hasan Masjid msjd Hsn,All,https://lh5.googleusercontent.com/p/AF1QipMwHBbMk770GXErTu851j-sXDt9ZUDu_2pIIEJr=w529-h298-k-no
ChIJg2uL5BGkdDkRZm46YZMNCsc,Hasan Masjid msjd Hsn,Videos,https://lh5.googleusercontent.com/p/AF1QipPp5s-2TtgwIuF71xKYtWRBNeWw-GUjxHnAIkRk=w298-h298-k-no
ChIJUeTaTBb9DDkRP4VdPVL6B3I,Unchi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPlOHK9BCpjua6vXYKAwQYvZysF1Odb1r22QG5q=w224-h331-k-no
ChIJUeTaTBb9DDkRP4VdPVL6B3I,Unchi Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipN94wAADzF9MKGPkKDB9ER8J_kmSZs7q8WyjcyV=w224-h398-k-no
ChIJP-yLGOLpDDkRIdn-SPn0rJU,Hasan Raza Jama Masjid (Barelvi),All,https://lh5.googleusercontent.com/p/AF1QipPUjtrZVS_SKQLzvHZO6yt6NOL0cGF4p4fR9cDD=w224-h398-k-no
ChIJP-yLGOLpDDkRIdn-SPn0rJU,Hasan Raza Jama Masjid (Barelvi),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NlnJ-HHoNDpg2QGXgfZwWg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=10.52449&pitch=0&thumbfov=100
ChIJhaV8hKajDDkRCzO6EOKQJjw,"Umar Masjid Near Shahid Hassan, Post Office, Akbarpur",All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mkbCOi5qrBi9xFn88fGxaw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=72.01013&pitch=0&thumbfov=100
ChIJhaV8hKajDDkRCzO6EOKQJjw,"Umar Masjid Near Shahid Hassan, Post Office, Akbarpur",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mkbCOi5qrBi9xFn88fGxaw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=72.01013&pitch=0&thumbfov=100
ChIJZ2XwBQbkDDkRD_lGa5siO4U,Hassan Properties,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tVF1oMLcO4RIlUKxLQcN8w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=25.035246&pitch=0&thumbfov=100
ChIJZ2XwBQbkDDkRD_lGa5siO4U,Hassan Properties,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tVF1oMLcO4RIlUKxLQcN8w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=25.035246&pitch=0&thumbfov=100
ChIJl2ZTPyb9DDkR0dLZgyEQThc,Syed Hasan Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPP5JapPjr-ARv-GxrAIad4dijWV3bC2oORjaOp=w224-h501-k-no
ChIJl2ZTPyb9DDkR0dLZgyEQThc,Syed Hasan Masjid,Latest,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zYzPvmekszlUG66nggUjYg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=184.49135&pitch=0&thumbfov=100
ChIJl2ZTPyb9DDkR0dLZgyEQThc,Syed Hasan Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zYzPvmekszlUG66nggUjYg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=184.49135&pitch=0&thumbfov=100
ChIJUzXdKumzbTkR9CW4QqV2qdQ,Masjid E Hassan,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U0BbgJZDDmVn9n35V1qfFA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=338.73462&pitch=0&thumbfov=100
ChIJUzXdKumzbTkR9CW4QqV2qdQ,Masjid E Hassan,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U0BbgJZDDmVn9n35V1qfFA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=338.73462&pitch=0&thumbfov=100
ChIJDbKTz94pczkREJmoPOOASvE,Hassan Khan Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOLSbTeefqwJiCS6_FkyVVZfwhr-pWOL5M5AVOI=w447-h298-k-no
ChIJDbKTz94pczkREJmoPOOASvE,Hassan Khan Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOLSbTeefqwJiCS6_FkyVVZfwhr-pWOL5M5AVOI=w447-h298-k-no
ChIJVS0OuA3kDDkRK1rYtbvnPSc,HASAN JEWELLERS,All,https://lh5.googleusercontent.com/p/AF1QipMMAW2xwn5yUIlvxq8xZ9lsHWfrlObRDp-SlF5K=w496-h298-k-no
ChIJVS0OuA3kDDkRK1rYtbvnPSc,HASAN JEWELLERS,Inside,https://lh5.googleusercontent.com/p/AF1QipPV-DXgCy3D4JhFf5igQ4PZxD0cwMWpVPPJBtU9=w496-h298-k-no
ChIJVS0OuA3kDDkRK1rYtbvnPSc,HASAN JEWELLERS,Necklace,https://lh5.googleusercontent.com/p/AF1QipOhunJZCoaC5VEyZo-OI_fJ0xdYzdqDlG7rDJiP=w224-h298-k-no
ChIJVS0OuA3kDDkRK1rYtbvnPSc,HASAN JEWELLERS,Earring,https://lh5.googleusercontent.com/p/AF1QipPlrZWcR36lHw3tUtpkhbREFbdv6VTbu3fjwe-A=w397-h298-k-no
ChIJVS0OuA3kDDkRK1rYtbvnPSc,HASAN JEWELLERS,By owner,https://lh5.googleusercontent.com/p/AF1QipOLqhvg-gmXMJzyJIqZuIsJSgSZ6B1op5XoUU7H=w496-h298-k-no
ChIJPSAKhafjDDkR6_6Jy9OUJoo,Hassan's Residence,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KJszPDXim0RFoRNIU7qVMw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=326.30402&pitch=0&thumbfov=100
