place_id,place_name,about,link
ChIJ_d6IU-RouTsRsTs7eMWpKfI,Hazrath Mehaboob Subani Darga Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNVqHaC71iBsJBl9REM_SlzB_7_KhghgKdMYYj3=w397-h298-k-no
ChIJ_d6IU-RouTsRsTs7eMWpKfI,Hazrath Mehaboob Subani Darga Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNyUOoYiPc-ccRlCsiP3p4WbMuxpQ3eZrvH4Lev=w397-h298-k-no
ChIJ_d6IU-RouTsRsTs7eMWpKfI,Hazrath Mehaboob Subani Darga Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMUQgBrMBlaX1ktJVo48fy0LsQRmeDd6rVOn7O0=w224-h398-k-no
ChIJm6Zh3gNpuTsR_nxJZ78tZJ0,Noorani Masjid.Haveri.,All,https://lh5.googleusercontent.com/p/AF1QipPC_kx79HtfvUX_M0D-z3Rk_Wky4OC13eCai5LQ=w397-h298-k-no
ChIJm6Zh3gNpuTsR_nxJZ78tZJ0,Noorani Masjid.Haveri.,Dome,https://lh5.googleusercontent.com/p/AF1QipPfOG6dSmJrUnp3g5vWq1L4C-vrpHDMDGkyCOyQ=w224-h298-k-no
ChIJm6Zh3gNpuTsR_nxJZ78tZJ0,Noorani Masjid.Haveri.,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mqKhLoEYIc6_W-da_32jXQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=24.316906&pitch=0&thumbfov=100
ChIJt___P_5ouTsRYpiurltYFWs,Ahmed Raza Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNCR7n2MLmudUqYidOEI-8guD4jeWPZ5HKp--_0=w397-h298-k-no
ChIJkS0UPeJouTsREsVuUJ_K_FM,JAMIA SOOLMATTI MASJID,All,https://lh5.googleusercontent.com/p/AF1QipOnPigOm1hAfwM9ON-6ga7E9s9OpRIcQARXPR5_=w224-h398-k-no
ChIJkS0UPeJouTsREsVuUJ_K_FM,JAMIA SOOLMATTI MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipNxZlTlu8zcNiTLD3VNr6OKcD1Ut-jLr55vEK5K=w224-h407-k-no
ChIJiXK1aQhpuTsR0zrrFY_Mw7s,Madina Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=A1gHlJrflTuomr0UVYC39w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=315.40298&pitch=0&thumbfov=100
ChIJiXK1aQhpuTsR0zrrFY_Mw7s,Madina Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=A1gHlJrflTuomr0UVYC39w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=315.40298&pitch=0&thumbfov=100
ChIJ86Z73eNouTsROtpejlHT4rw,Jamia Patthar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP_IaJ9wNZF6bmv9RPfOH5c90_yyKIGIaAyATW3=w224-h398-k-no
ChIJ86Z73eNouTsROtpejlHT4rw,Jamia Patthar Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipP_IaJ9wNZF6bmv9RPfOH5c90_yyKIGIaAyATW3=w224-h398-k-no
ChIJUZitfAFpuTsRq0erB8Zrn5o,Jamiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOUzkdFrViJ0bwllax90jK0ru2WGEgIjYvnr2YT=w224-h298-k-no
ChIJUZitfAFpuTsRq0erB8Zrn5o,Jamiya Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNwOb6hq0yFhff3wqod6ihyWfjR84rWOR7BeEaC=w224-h298-k-no
ChIJUZitfAFpuTsRq0erB8Zrn5o,Jamiya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MJrAAqeQM0fc3-aTvgkdBQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=22.14038&pitch=0&thumbfov=100
ChIJy8RIVORouTsRAxzI5UqM4c4,Sunni Qadriya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO0ecgHqq_GUUHZvWqjWnT9gLtzOo9CJy074h4=w224-h497-k-no
ChIJy8RIVORouTsRAxzI5UqM4c4,Sunni Qadriya Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipP8SWdEKA2XR_w8hZ_qGWdJevttuWze0rLAdF7v=w529-h298-k-no
ChIJE5ogHuVpuTsR3Sv4LqT8iA0,Hazrat sayed sikandarshawali dargah,All,https://lh5.googleusercontent.com/p/AF1QipO7RaGieG7DPQrlEUJHELlwbC2bHBTVKlwuD-oH=w530-h298-k-no
ChIJE5ogHuVpuTsR3Sv4LqT8iA0,Hazrat sayed sikandarshawali dargah,Videos,https://lh5.googleusercontent.com/p/AF1QipNG7v_7-Jo-JQSy3ShwegRIbVRQAgFYRMNyJx0B=w224-h398-k-no
ChIJGQ1lBlJvuTsRqZNJBGF-OoY,Jamia masjid gandhipur haveri Karnataka,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hSxA-rNVhtC2uZ2MvdIIvQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=161.81847&pitch=0&thumbfov=100
ChIJGQ1lBlJvuTsRqZNJBGF-OoY,Jamia masjid gandhipur haveri Karnataka,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hSxA-rNVhtC2uZ2MvdIIvQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=161.81847&pitch=0&thumbfov=100
