name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
masjid bhatta colony,Mosque,"P2RG+8JF masjid bhatta colony, bhatta colony, Hindaun, Rajasthan 322230",Amrit Puri,"P2RG+8JF, bhatta colony",Hindaun,322230,Rajasthan,IN,https://www.google.com/maps/place/masjid+bhatta+colony/data=!4m7!3m6!1s0x39722fec8ea7df3f:0xcd975f1438855822!8m2!3d26.7408211!4d77.0265505!16s%2Fg%2F11c453_t7y!19sChIJP9-njuwvcjkRIliFOBRfl80?authuser=0&hl=en&rclk=1,"26.740821099999998,77.0265505"
Masjid,Mosque,"P2XF+WF8 Masjid, Khanna Colony, Dwarkapura, Hindaun, Rajasthan 322230","Khanna Colony, Dwarkapura",P2XF+WF8,Hindaun,322230,Rajasthan,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x39722fe563cd0109:0x56c4e275781f56b3!8m2!3d26.7497906!4d77.0237138!16s%2Fg%2F11f30p0l3r!19sChIJCQHNY-UvcjkRs1YfeHXixFY?authuser=0&hl=en&rclk=1,"26.749790599999997,77.0237138"
Masjid E Usmaniya Chove Para Hinduan City,Mosque,"P2JQ+M7Q Masjid E Usmaniya Chove Para Hinduan City, Baddi Chopar, Hindaun, Rajasthan 322230",Baddi Chopar,P2JQ+M7Q,Hindaun,322230,Rajasthan,IN,https://www.google.com/maps/place/Masjid+E+Usmaniya+Chove+Para+Hinduan+City/data=!4m7!3m6!1s0x39722fbc6e875e37:0xe7d7a04e51f817e8!8m2!3d26.7317!4d77.0382332!16s%2Fg%2F11dxqgkw1k!19sChIJN16HbrwvcjkR6Bf4UU6g1-c?authuser=0&hl=en&rclk=1,"26.7317,77.0382332"
Jama masjid,Mosque,"P2HQ+97C Jama masjid, Shahganj, Hindaun, Rajasthan 322230",Shahganj,P2HQ+97C,Hindaun,322230,Rajasthan,IN,https://www.google.com/maps/place/Jama+masjid/data=!4m7!3m6!1s0x39722fbcb0a74da1:0x43977a226ee4b00!8m2!3d26.7284463!4d77.0381553!16s%2Fg%2F11g719fr22!19sChIJoU2nsLwvcjkRAEvuJqJ3OQQ?authuser=0&hl=en&rclk=1,"26.728446299999998,77.0381553"
NAGINA MASJID ngiinaa msjid,Mosque,"P2JM+2R2 NAGINA MASJID ngiinaa msjid, byaaniyaa paaddaa, Hindaun, Rajasthan 322230",Baddi Chopar,"P2JM+2R2, byaaniyaa paaddaa",Hindaun,322230,Rajasthan,IN,https://www.google.com/maps/place/NAGINA+MASJID+%E0%A4%A8%E0%A4%97%E0%A5%80%E0%A4%A8%E0%A4%BE+%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A6/data=!4m7!3m6!1s0x39722fbd740f3ae5:0x1b76a878cb1db9ee!8m2!3d26.7300094!4d77.0345137!16s%2Fg%2F11f0wnlgmm!19sChIJ5ToPdL0vcjkR7rkdy3iodhs?authuser=0&hl=en&rclk=1,"26.7300094,77.03451369999999"
MASJID GUD BALI,Mosque,"P2RJ+WG6 MASJID GUD BALI, Mohan Nagar, Hindaun, Rajasthan 322230",Mohan Nagar,P2RJ+WG6,Hindaun,322230,Rajasthan,IN,https://www.google.com/maps/place/MASJID+GUD+BALI/data=!4m7!3m6!1s0x39722fea50098aa7:0xf3d4ad12301b3f41!8m2!3d26.7422863!4d77.0312529!16s%2Fg%2F11f15bfpsz!19sChIJp4oJUOovcjkRQT8bMBKt1PM?authuser=0&hl=en&rclk=1,"26.7422863,77.0312529"
dini tableegi markaz,Mosque,"P2HP+V77 dini tableegi markaz, Mohalla Qureshi, Hindaun, Rajasthan 322230",Mohalla Qureshi,P2HP+V77,Hindaun,,Rajasthan,IN,https://www.google.com/maps/place/dini+tableegi+markaz/data=!4m7!3m6!1s0x39722fbd1abff30d:0xc812b1a28c29be04!8m2!3d26.7296692!4d77.0356677!16s%2Fg%2F11clwnlln5!19sChIJDfO_Gr0vcjkRBL4pjKKxEsg?authuser=0&hl=en&rclk=1,"26.7296692,77.03566769999999"
MADINA MASJID,Mosque,"P2JP+44M MADINA MASJID, Madina market Choori Bazaar, Hindaun, Rajasthan 322230",Baddi Chopar,"P2JP+44M, Madina market Choori Bazaar",Hindaun,322230,Rajasthan,IN,https://www.google.com/maps/place/MADINA+MASJID/data=!4m7!3m6!1s0x39722fbda75199d9:0xaa7581e0471817ab!8m2!3d26.730347!4d77.0352894!16s%2Fg%2F11gc8jm78s!19sChIJ2ZlRp70vcjkRqxcYR-CBdao?authuser=0&hl=en&rclk=1,"26.730347,77.0352894"
mosque aayisha,Mosque,"P2PQ+J6H mosque aayisha, jaat ki saraay, Hindaun, Rajasthan","Jatav Basti, Mohan Nagar","P2PQ+J6H, jaat ki saraay",Hindaun,,Rajasthan,IN,https://www.google.com/maps/place/mosque+aayisha/data=!4m7!3m6!1s0x39722fbf20cae9d3:0x2fd1eeca521cfe7d!8m2!3d26.7365728!4d77.0380941!16s%2Fg%2F11bwn93r3b!19sChIJ0-nKIL8vcjkRff4cUsru0S8?authuser=0&hl=en&rclk=1,"26.736572799999998,77.0380941"
Shahi Masjid Luharo Bali,Mosque,"P2HQ+RV5 Shahi Masjid Luharo Bali, Chhota Bazaar Shahganj, Hindaun, Rajasthan 322230",Baddi Chopar,"P2HQ+RV5, Chhota Bazaar Shahganj",Hindaun,322230,Rajasthan,IN,https://www.google.com/maps/place/Shahi+Masjid+Luharo+Bali/data=!4m7!3m6!1s0x39722fbb67bd3201:0x5a73f3270d73bc50!8m2!3d26.7295052!4d77.0397261!16s%2Fg%2F11g8vcrnvq!19sChIJATK9Z7svcjkRULxzDSfzc1o?authuser=0&hl=en&rclk=1,"26.7295052,77.0397261"
