place_id,place_name,about,link
ChIJw-PR7eSFujsR8TwF56Fnblo,Jamiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNwRCvHBSFhYshORClK7zdoUtXBFT-ZzDWdR6V1=w397-h298-k-no
ChIJw-PR7eSFujsR8TwF56Fnblo,Jamiya Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNCHoK30fMqMyB_egOW5sIdwcfgGYzHCDy_LA6i=w397-h298-k-no
ChIJw-PR7eSFujsR8TwF56Fnblo,Jamiya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPirvxQkaxIvMGkCS7fS1iVkbuOrOSZ5GGSr7tQ=w224-h398-k-no
ChIJw-PR7eSFujsR8TwF56Fnblo,Jamiya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v9SZr3F9Fescnz9mGyFm1A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=333.6924&pitch=0&thumbfov=100
ChIJI5O3L-SFujsRwYJgG-jZxbY,masjid-e-quba,All,https://lh5.googleusercontent.com/p/AF1QipMCZkZj4UR_ds1LoeInptqQDyalOZGkaN67gugz=w224-h298-k-no
ChIJ1xGTfvyFujsRlC9JcasfcDw,Hazrath Abu Shah Khadri Dargah,All,https://lh5.googleusercontent.com/p/AF1QipM4HNsg7DH228rXtuOaRqw-7pE6U5cXtrq3On6j=w447-h298-k-no
ChIJ1xGTfvyFujsRlC9JcasfcDw,Hazrath Abu Shah Khadri Dargah,Dome,https://lh5.googleusercontent.com/p/AF1QipOKrysY31_C3_Fqm0nvo0JD3Fc0xjkaJNUVPO_J=w298-h298-k-no
ChIJ1xGTfvyFujsRlC9JcasfcDw,Hazrath Abu Shah Khadri Dargah,Videos,https://lh5.googleusercontent.com/p/AF1QipP93KgQVWkxUp6oKcbe383sFD7TQoukWJUBUGA8=w224-h398-k-no
ChIJ1xGTfvyFujsRlC9JcasfcDw,Hazrath Abu Shah Khadri Dargah,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K6WrlAelQ9-UwSZaZ7WGbg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=164.65613&pitch=0&thumbfov=100
ChIJs_g87FaFujsRRDPcQcKN3Bc,Aqsa Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOFvJrclBrWbTPRwa-_G4a7L8ACCoWIIpofOvk=w529-h298-k-no
