name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jamiya Masjid,Mosque,"Q7WM+MVF Jamiya Masjid, Hosadurga, Karnataka 577527",,Q7WM+MVF,Hosadurga,577527,Karnataka,IN,https://www.google.com/maps/place/Jamiya+Masjid/data=!4m7!3m6!1s0x3bba85e4edd1e3c3:0x5a6e67a1e7053cf1!8m2!3d13.7966878!4d76.2846851!16s%2Fg%2F1hm2tfd6y!19sChIJw-PR7eSFujsR8TwF56Fnblo?authuser=0&hl=en&rclk=1,"13.796687799999999,76.28468509999999"
masjid-e-quba,Mosque,"Q7WQ+H48 masjid-e-quba, Hosadurga, Karnataka 577527",,Q7WQ+H48,Hosadurga,577527,Karnataka,IN,https://www.google.com/maps/place/masjid-e-quba/data=!4m7!3m6!1s0x3bba85e42fb79323:0xb6c5d9e81b6082c1!8m2!3d13.7964044!4d76.2878262!16s%2Fg%2F11f2vx_893!19sChIJI5O3L-SFujsRwYJgG-jZxbY?authuser=0&hl=en&rclk=1,"13.7964044,76.2878262"
Gousiya Masjid,Mosque,"Gousiya Masjid, 2nd, Main Rd, Idgah Mohalla, Hosadurga, Karnataka 577527",Idgah Mohalla,"2nd, Main Rd",Hosadurga,577527,Karnataka,IN,https://www.google.com/maps/place/Gousiya+Masjid/data=!4m7!3m6!1s0x3bba85fbf0f6ce27:0x37d8565983ab3c04!8m2!3d13.7975103!4d76.2777211!16s%2Fg%2F11cnc6lffs!19sChIJJ8728PuFujsRBDyrg1lW2Dc?authuser=0&hl=en&rclk=1,"13.797510299999999,76.2777211"
Hazrath Abu Shah Khadri Dargah,Mosque,"Q7XH+8RH Hazrath Abu Shah Khadri Dargah, Main Rd, Hosadurga, Karnataka 577527",,"Q7XH+8RH, Main Rd",Hosadurga,577527,Karnataka,IN,https://www.google.com/maps/place/Hazrath+Abu+Shah+Khadri+Dargah/data=!4m7!3m6!1s0x3bba85fc7e9311d7:0x3c701fab71492f94!8m2!3d13.7983223!4d76.2796201!16s%2Fg%2F11b6zpcdqz!19sChIJ1xGTfvyFujsRlC9JcasfcDw?authuser=0&hl=en&rclk=1,"13.798322299999999,76.2796201"
Aqsa Masjid,Mosque,"Q7XP+VCX Aqsa Masjid, Kobripete, Hosadurga, Karnataka 577527",Kobripete,Q7XP+VCX,Hosadurga,577527,Karnataka,IN,https://www.google.com/maps/place/Aqsa+Masjid/data=!4m7!3m6!1s0x3bba8556ec3cf8b3:0x17dc8dc241dc3344!8m2!3d13.7997387!4d76.2860953!16s%2Fg%2F11j2p5ck80!19sChIJs_g87FaFujsRRDPcQcKN3Bc?authuser=0&hl=en&rclk=1,"13.799738699999999,76.2860953"
Masjid E Gouse Azam,Mosque,"Q7WQ+6FJ Masjid E Gouse Azam, Gousiya Nagar, Hosadurga, Karnataka 577527",Gousiya Nagar,Q7WQ+6FJ,Hosadurga,,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Gouse+Azam/data=!4m7!3m6!1s0x3bba85a01fde0021:0xec4455fac6397845!8m2!3d13.7955765!4d76.2886471!16s%2Fg%2F11qb8pm2kx!19sChIJIQDeH6CFujsRRXg5xvpVROw?authuser=0&hl=en&rclk=1,"13.7955765,76.28864709999999"
Masjid E Ismail,Mosque,"R73P+XXC Masjid E Ismail, Hosadurga, Karnataka 577527",,R73P+XXC,Hosadurga,,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+%C4%B0smail/data=!4m7!3m6!1s0x3bba87849a8d08ed:0x15fee5c32068a0ea!8m2!3d13.804934!4d76.2873797!16s%2Fg%2F11qb8q79l8!19sChIJ7QiNmoSHujsR6qBoIMPl_hU?authuser=0&hl=en&rclk=1,"13.804934,76.2873797"
Sunni Noorani Masjid,Mosque,"R72C+4WX Sunni Noorani Masjid, Hosadurga, Karnataka 577527",,R72C+4WX,Hosadurga,577527,Karnataka,IN,https://www.google.com/maps/place/Sunni+Noorani+Masjid/data=!4m7!3m6!1s0x3bba8548e1d1d345:0xd2e12f0382fbcb03!8m2!3d13.8003544!4d76.2723671!16s%2Fg%2F11gnjcvl69!19sChIJRdPR4UiFujsRA8v7ggMv4dI?authuser=0&hl=en&rclk=1,"13.8003544,76.2723671"
Ameena Masjid,Kindergarten School,"Q7XR+62P Ameena Masjid, SH47, Hosadurga, Karnataka 577527",,"Q7XR+62P, SH47",Hosadurga,577527,Karnataka,IN,https://www.google.com/maps/place/Ameena+Masjid/data=!4m7!3m6!1s0x3bba85357dc2c113:0xa5f253049c65c2ff!8m2!3d13.7980963!4d76.2900656!16s%2Fg%2F11h9bsz_k7!19sChIJE8HCfTWFujsR_8JlnART8qU?authuser=0&hl=en&rclk=1,"13.7980963,76.29006559999999"
Masjid E Raza,Mosque,"Q7XP+C25 Masjid E Raza, Hosadurga, Karnataka 577527",,Q7XP+C25,Hosadurga,577527,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Raza/data=!4m7!3m6!1s0x3bba85e37da284ed:0xe33692fd6511915b!8m2!3d13.7985221!4d76.2851071!16s%2Fg%2F11c0t1n4n5!19sChIJ7YSifeOFujsRW5ERZf2SNuM?authuser=0&hl=en&rclk=1,"13.7985221,76.28510709999999"
Masjid E Noor,Mosque,"Q7RV+WF9 Masjid E Noor, Hosadurga, Karnataka 577527",,Q7RV+WF9,Hosadurga,577527,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Noor/data=!4m7!3m6!1s0x3bba850bdc2b139f:0x11a084d68f7432d5!8m2!3d13.7922759!4d76.2937353!16s%2Fg%2F11kryf9gtz!19sChIJnxMr3AuFujsR1TJ0j9aEoBE?authuser=0&hl=en&rclk=1,"13.7922759,76.2937353"
Masjid E Raza,Mosque,"Q7WR+3R9 Masjid E Raza, Hosadurga, Karnataka 577527",,Q7WR+3R9,Hosadurga,577527,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Raza/data=!4m7!3m6!1s0x3bba85328134d6e9:0xac6c011a53c6335e!8m2!3d13.7951522!4d76.2921079!16s%2Fg%2F11v3x828ml!19sChIJ6dY0gTKFujsRXjPGUxoBbKw?authuser=0&hl=en&rclk=1,"13.795152199999999,76.29210789999999"
Syed Abusha Qadri Dargah,Mosque,"Q7XM+2P9 Syed Abusha Qadri Dargah, Main Rd, Hosadurga, Karnataka 577527",,"Q7XM+2P9, Main Rd",Hosadurga,577527,Karnataka,IN,https://www.google.com/maps/place/Syed+Abusha+Qadri+Dargah/data=!4m7!3m6!1s0x3bba851f1a9391d1:0xd13ca74e5ba7b616!8m2!3d13.7975379!4d76.2843483!16s%2Fg%2F11sjtjd59r!19sChIJ0ZGTGh-FujsRFranW06nPNE?authuser=0&hl=en&rclk=1,"13.7975379,76.28434829999999"
Jamiya masjid,Mosque,"W858+84C Jamiya masjid, Hosadurga, Karnataka 577527",,W858+84C,Hosadurga,577527,Karnataka,IN,https://www.google.com/maps/place/Jamiya+masjid/data=!4m7!3m6!1s0x3bba7dafcccfd807:0x3051e49ace80b44e!8m2!3d13.9083167!4d76.315254!16s%2Fg%2F11v0vk3d2c!19sChIJB9jPzK99ujsRTrSAzprkUTA?authuser=0&hl=en&rclk=1,"13.908316699999999,76.315254"
