name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
DARGHA MASJID CHOWK,Place of worship,"DARGHA MASJID CHOWK, Indapur, Maharashtra 413106",,,Indapur,413106,Maharashtra,IN,https://www.google.com/maps/place/DARGHA+MASJID+CHOWK/data=!4m7!3m6!1s0x3bc479ff5b9d4555:0xb99c561dafea43e4!8m2!3d18.1113533!4d75.0295552!16s%2Fg%2F11l3r_g42z!19sChIJVUWdW_95xDsR5EPqrx1WnLk?authuser=0&hl=en&rclk=1,"18.111353299999998,75.02955519999999"
shrii gnnesh mNdir raajmudraa grup saavtaamaalii ngr,Hindu temple,"425J+Q7J shrii gnnesh mNdir raajmudraa grup saavtaamaalii ngr, Indapur, Maharashtra 413106",,425J+Q7J,Indapur,413106,Maharashtra,IN,https://www.google.com/maps/place/%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%97%E0%A4%A3%E0%A5%87%E0%A4%B6+%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A4%BF%E0%A4%B0+%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A4%AE%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%B0%E0%A4%BE+%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%81%E0%A4%AA+%E0%A4%B8%E0%A4%BE%E0%A4%B5%E0%A4%A4%E0%A4%BE%E0%A4%AE%E0%A4%BE%E0%A4%B3%E0%A5%80+%E0%A4%A8%E0%A4%97%E0%A4%B0/data=!4m7!3m6!1s0x3bc479edf8cb2a1f:0x493a37ffb2d9b95a!8m2!3d18.1094513!4d75.0306442!16s%2Fg%2F11p15tfy66!19sChIJHyrL-O15xDsRWrnZsv83Okk?authuser=0&hl=en&rclk=1,"18.1094513,75.0306442"
Dargah,Mosque,"4234+95H Dargah, Pune, Maharashtra 413106",,4234+95H,Pune,,Maharashtra,IN,https://www.google.com/maps/place/Dargah/data=!4m7!3m6!1s0x3bc479b4860d0bf1:0xf07cc3b1df06284e!8m2!3d18.1034358!4d75.005491!16s%2Fg%2F11lp_ws50j!19sChIJ8QsNhrR5xDsRTigG37HDfPA?authuser=0&hl=en&rclk=1,"18.1034358,75.00549099999999"
"Madina Masjid Idgah,Baramati Road, indapur",Religious institution,"4259+6WX Madina Masjid Idgah,Baramati Road, indapur, MH SH 221, Indapur, Maharashtra 413106",,"4259+6WX, MH SH 221",Indapur,413106,Maharashtra,IN,"https://www.google.com/maps/place/Madina+Masjid+Idgah,Baramati+Road,+indapur/data=!4m7!3m6!1s0x3bc47928b49b420f:0x26db8d252989c44f!8m2!3d18.1081217!4d75.0198741!16s%2Fg%2F1pzwshv2h!19sChIJD0KbtCh5xDsRT8SJKSWN2yY?authuser=0&hl=en&rclk=1","18.108121699999998,75.0198741"
iidgaah Eidgah Ground,Mosque,"42CH+9CH iidgaah Eidgah Ground, Indapur, Maharashtra 413106",,42CH+9CH,Indapur,413106,Maharashtra,IN,https://www.google.com/maps/place/%E0%A4%88%E0%A4%A6%E0%A4%97%E0%A4%BE%E0%A4%B9+Eidgah+Ground/data=!4m7!3m6!1s0x3bc47ecd221ca5bf:0xa078fc029bf8b606!8m2!3d18.1209392!4d75.0286016!16s%2Fg%2F11fy9tckwl!19sChIJv6UcIs1-xDsRBrb4mwL8eKA?authuser=0&hl=en&rclk=1,"18.1209392,75.0286016"
Macca Masjid Shaikhmohalla,Religious institution,"427H+H99 Macca Masjid Shaikhmohalla, Indapur, Maharashtra 413106",,427H+H99,Indapur,413106,Maharashtra,IN,https://www.google.com/maps/place/Macca+Masjid+Shaikhmohalla/data=!4m7!3m6!1s0x3bc4793229af4d3d:0x3b940127e31ee2ea!8m2!3d18.1139141!4d75.0284823!16s%2Fg%2F11clmh1t9p!19sChIJPU2vKTJ5xDsR6uIe4ycBlDs?authuser=0&hl=en&rclk=1,"18.1139141,75.0284823"
Mohammadiya Mosque,Mosque,"4246+PPJ Mohammadiya Mosque, Pune, Maharashtra 413106",,4246+PPJ,Pune,,Maharashtra,IN,https://www.google.com/maps/place/Mohammadiya+Mosque/data=!4m7!3m6!1s0x3bc479540dc3f353:0x3215fb8f5ec70236!8m2!3d18.1068283!4d75.0117661!16s%2Fg%2F11lxv9h487!19sChIJU_PDDVR5xDsRNgLHXo_7FTI?authuser=0&hl=en&rclk=1,"18.1068283,75.0117661"
Dargah,Mosque,"427H+HC8 Dargah, Indapur, Maharashtra 413106",,427H+HC8,Indapur,413106,Maharashtra,IN,https://www.google.com/maps/place/Dargah/data=!4m7!3m6!1s0x3bc4794010a2d6b3:0x867a2df3a09d5dd7!8m2!3d18.1139103!4d75.0285785!16s%2Fg%2F11k00j6yvw!19sChIJs9aiEEB5xDsR112doPMteoY?authuser=0&hl=en&rclk=1,"18.1139103,75.0285785"
Jama Masjid antunna,Mosque,"3RH4+QQ9 Jama Masjid antunna, Indapur Rd, Maharashtra 413104",,"3RH4+QQ9, Indapur Rd",,413104,Maharashtra,IN,https://www.google.com/maps/place/Jama+Masjid+antunna/data=!4m7!3m6!1s0x3bc385e2403bae39:0xbc78994f9a4075fb!8m2!3d18.0794101!4d74.8069791!16s%2Fg%2F11fl40t6bw!19sChIJOa47QOKFwzsR-3VAmk-ZeLw?authuser=0&hl=en&rclk=1,"18.0794101,74.80697909999999"
Mosque,Mosque,"4269+QC2 Mosque, Rajevalinagar, Indapur, Maharashtra 413106",Rajevalinagar,4269+QC2,Indapur,413106,Maharashtra,IN,https://www.google.com/maps/place/Mosque/data=!4m7!3m6!1s0x3bc479eb3359dfdb:0xd7565abf6f606e3e!8m2!3d18.1118974!4d75.0185207!16s%2Fg%2F11lxkvt29b!19sChIJ299ZM-t5xDsRPm5gb79aVtc?authuser=0&hl=en&rclk=1,"18.1118974,75.0185207"
Mosque,Mosque,"427F+FX8 Mosque, Indapur, Maharashtra 413106",,427F+FX8,Indapur,413106,Maharashtra,IN,https://www.google.com/maps/place/Mosque/data=!4m7!3m6!1s0x3bc479fd7060dff9:0xedf14a0c2a4948d8!8m2!3d18.1136722!4d75.0249675!16s%2Fg%2F11tfws44s4!19sChIJ-d9gcP15xDsR2EhJKgxK8e0?authuser=0&hl=en&rclk=1,"18.1136722,75.0249675"
Rajabagswar Masjid,Mosque,"4269+PCJ Rajabagswar Masjid, Rajevalinagar, Indapur, Maharashtra 413106",Rajevalinagar,4269+PCJ,Indapur,413106,Maharashtra,IN,https://www.google.com/maps/place/Rajabagswar+Masjid/data=!4m7!3m6!1s0x3bc479bfcca1c92d:0xc435a682e01dcf41!8m2!3d18.1118339!4d75.0185293!16s%2Fg%2F11q2ywf4b2!19sChIJLcmhzL95xDsRQc8d4IKmNcQ?authuser=0&hl=en&rclk=1,"18.1118339,75.0185293"
bhaartrtn e.pii.je.abdul klaam cauk,Mosque,"427G+H99 bhaartrtn e.pii.je.abdul klaam cauk, Indapur, Maharashtra 413106",,427G+H99,Indapur,413106,Maharashtra,IN,https://www.google.com/maps/place/%E0%A4%AD%E0%A4%BE%E0%A4%B0%E0%A4%A4%E0%A4%B0%E0%A4%A4%E0%A5%8D%E0%A4%A8+%E0%A4%8F.%E0%A4%AA%E0%A5%80.%E0%A4%9C%E0%A5%87.%E0%A4%85%E0%A4%AC%E0%A5%8D%E0%A4%A6%E0%A5%81%E0%A4%B2+%E0%A4%95%E0%A4%B2%E0%A4%BE%E0%A4%AE+%E0%A4%9A%E0%A5%8C%E0%A4%95/data=!4m7!3m6!1s0x3bc479a09ef82ed1:0x3c331cf20a6755a5!8m2!3d18.1139036!4d75.0259971!16s%2Fg%2F11t6pkqncc!19sChIJ0S74nqB5xDsRpVVnCvIcMzw?authuser=0&hl=en&rclk=1,"18.1139036,75.0259971"
Eidgah Ground,Mosque,"4259+7X3 Eidgah Ground, Indapur, Maharashtra 413106",,4259+7X3,Indapur,413106,Maharashtra,IN,https://www.google.com/maps/place/Eidgah+Ground/data=!4m7!3m6!1s0x3bc479384ed5aeb5:0x3b4f46a133c3ff28!8m2!3d18.1081258!4d75.0199168!16s%2Fg%2F11hw7wp0cd!19sChIJta7VTjh5xDsRKP_DM6FGTzs?authuser=0&hl=en&rclk=1,"18.1081258,75.01991679999999"
Adv. Asif Bagwan office at Dargah masjid chowk,Association or organization,"426H+GPW Adv. Asif Bagwan office at Dargah masjid chowk, Indapur, Maharashtra 413106",,426H+GPW,Indapur,413106,Maharashtra,IN,https://www.google.com/maps/place/Adv.+Asif+Bagwan+office+at+Dargah+masjid+chowk/data=!4m7!3m6!1s0x3bc4795a3d29a593:0xef8c1e6a40bcd4e9!8m2!3d18.1113824!4d75.029589!16s%2Fg%2F11l30pnvg0!19sChIJk6UpPVp5xDsR6dS8QGoejO8?authuser=0&hl=en&rclk=1,"18.1113824,75.029589"
Dargah,Mosque,"4266+8H8 Dargah, Taluka Krida Sankul Rd, Maharashtra 413106",,"4266+8H8, Taluka Krida Sankul Rd",,413106,Maharashtra,IN,https://www.google.com/maps/place/Dargah/data=!4m7!3m6!1s0x3bc4799ca33c9b4b:0x5eb8a440c3c9401!8m2!3d18.1107782!4d75.0114398!16s%2Fg%2F11tfwdsmpk!19sChIJS5s8o5x5xDsRAZQ8DESK6wU?authuser=0&hl=en&rclk=1,"18.1107782,75.01143979999999"
Haji collection makka masjid,Clothing store,"427H+HCP Haji collection makka masjid, Indapur, Maharashtra 413106",,427H+HCP,Indapur,413106,Maharashtra,IN,https://www.google.com/maps/place/Haji+collection+makka+masjid/data=!4m7!3m6!1s0x3bc4798d207a3e0f:0x256bdd614ee5baa4!8m2!3d18.1139641!4d75.028579!16s%2Fg%2F11p02v91_f!19sChIJDz56II15xDsRpLrlTmHdayU?authuser=0&hl=en&rclk=1,"18.1139641,75.028579"
