name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Noorani Jama Masjid - nwrny jm` msjd,Mosque,"Noorani Jama Masjid - nwrny jm` msjd, Noorani St, Azad Nagar, Indore, Madhya Pradesh 452001",Azad Nagar,Noorani St,Indore,452001,Madhya Pradesh,IN,https://www.google.com/maps/place/Noorani+Jama+Masjid+-+%D9%86%D9%88%D8%B1%D8%A7%D9%86%DB%8C+%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3962fcd854597769:0xaf2a0318b6a3bba2!8m2!3d22.6996738!4d75.8855989!16s%2Fg%2F1jkw5l82m!19sChIJaXdZVNj8YjkRorujthgDKq8?authuser=0&hl=en&rclk=1,"22.6996738,75.88559889999999"
Faizane Kanzul iman Masjid (DAWATEISLAMI INDIA),Mosque,"Faizane Kanzul iman Masjid (DAWATEISLAMI INDIA), 345, Chandan Nagar, Indore, Madhya Pradesh 452002",Chandan Nagar,345,Indore,452002,Madhya Pradesh,IN,https://www.google.com/maps/place/Faizane+Kanzul+iman+Masjid+%28DAWATEISLAMI+INDIA%29/data=!4m7!3m6!1s0x3962fdc613219b71:0x191137c8615dc55f!8m2!3d22.7098793!4d75.8253745!16s%2Fg%2F11f3b_5b70!19sChIJcZshE8b9YjkRX8VdYcg3ERk?authuser=0&hl=en&rclk=1,"22.709879299999997,75.8253745"
Saifee Nagar Bohra Masjid,Mosque,"Q2XV+FG5 Saifee Nagar Bohra Masjid, DSIIDC Industrial Area, Vijay Nagar, Bawana, Delhi, Indore, Delhi 110039","DSIIDC Industrial Area, Vijay Nagar, Bawana",Q2XV+FG5,"Delhi, Indore",110039,Delhi,IN,https://www.google.com/maps/place/Saifee+Nagar+Bohra+Masjid/data=!4m7!3m6!1s0x3962fcfee33f6ef7:0xf9f7b43ade9ac859!8m2!3d22.6962832!4d75.8565194!16s%2Fg%2F1td7rlnw!19sChIJ924_4_78YjkRWcia3jq09_k?authuser=0&hl=en&rclk=1,"22.6962832,75.8565194"
New Saifee Nagar Masjid - nyw syfy ngr msjd,Mosque,"MVV3+CW5 New Saifee Nagar Masjid - nyw syfy ngr msjd, Ashoka Colony, Nandanvan Colony, Indore, Madhya Pradesh 452009","Ashoka Colony, Nandanvan Colony",MVV3+CW5,Indore,452009,Madhya Pradesh,IN,https://www.google.com/maps/place/New+Saifee+Nagar+Masjid+-+%D9%86%DB%8C%D9%88+%D8%B3%DB%8C%D9%81%DB%8C+%D9%86%DA%AF%D8%B1+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3962fcf8bbee8cb7:0xfc603b63f6272fda!8m2!3d22.6935031!4d75.8548658!16s%2Fg%2F1tfwhsdj!19sChIJt4zuu_j8YjkR2i8n9mM7YPw?authuser=0&hl=en&rclk=1,"22.693503099999997,75.8548658"
Kacchi Masjid - khchWy msjd,Mosque,"Kacchi Masjid - khchWy msjd, 151, Ranipura Main Rd, Nayi Bagad, Siyaganj, Indore, Madhya Pradesh 452007","Nayi Bagad, Siyaganj","151, Ranipura Main Rd",Indore,452007,Madhya Pradesh,IN,https://www.google.com/maps/place/Kacchi+Masjid+-+%DA%A9%DA%86%D9%91%DB%8C+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3962fd0e67cfc5e1:0xe10f1cfd3346554b!8m2!3d22.7167786!4d75.8627867!16s%2Fg%2F11fx7vfvb0!19sChIJ4cXPZw79YjkRS1VGM_0cD-E?authuser=0&hl=en&rclk=1,"22.716778599999998,75.8627867"
Jama Masjid,Mosque,"Jama Masjid, ROOM 31 JAMA MASJID, Kunwar Mandli, Badwali Chowki, Indore, Madhya Pradesh 452002","Kunwar Mandli, Badwali Chowki",ROOM 31 JAMA MASJID,Indore,452002,Madhya Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3962fda07bda6ecb:0xa2b863bd33eeb8e9!8m2!3d22.7205824!4d75.8527845!16s%2Fg%2F11ckbwv1yb!19sChIJy27ae6D9YjkR6bjuM71juKI?authuser=0&hl=en&rclk=1,"22.720582399999998,75.8527845"
Masjid-e-Ahle Sunnat Wa Jamat Juma 01:25,Mosque,"Masjid-e-Ahle Sunnat Wa Jamat Juma 01:25, 1, Manik Bagh Rd, Transport Nagar, Indore, Madhya Pradesh 452014",Transport Nagar,"1, Manik Bagh Rd",Indore,452014,Madhya Pradesh,IN,https://www.google.com/maps/place/Masjid-e-Ahle+Sunnat+Wa+Jamat+Juma+01:25/data=!4m7!3m6!1s0x3962fcff9e0e845b:0xb227645d524b5f30!8m2!3d22.6969888!4d75.8544518!16s%2Fg%2F11c6cc9zsn!19sChIJW4QOnv_8YjkRMF9LUl1kJ7I?authuser=0&hl=en&rclk=1,"22.6969888,75.85445179999999"
Ahamed RAZA MASJID.,Mosque,"Ahamed RAZA MASJID., 119, Srinagar Kakad, Shree Nagar, Indore, Madhya Pradesh 452018","Srinagar Kakad, Shree Nagar",119,Indore,452018,Madhya Pradesh,IN,https://www.google.com/maps/place/Ahamed+RAZA+MASJID./data=!4m7!3m6!1s0x3962fd4bd681dce9:0xf550b0ca6186abbf!8m2!3d22.7300217!4d75.8942568!16s%2Fg%2F11c6ddcrbb!19sChIJ6dyB1kv9YjkRv6uGYcqwUPU?authuser=0&hl=en&rclk=1,"22.730021699999998,75.8942568"
Bilal Masjid (Juma 1:40pm) - msjdi byll,Mosque,"PVQR+HJJ Bilal Masjid (Juma 1:40pm) - msjdi byll, AB Rd, Choti Khajrani, Indore, Madhya Pradesh 452010",Choti Khajrani,"PVQR+HJJ, AB Rd",Indore,452010,Madhya Pradesh,IN,https://www.google.com/maps/place/Bilal+Masjid+%28Juma+1:40pm%29+-+%D9%85%D8%B3%D8%AC%D8%AF%D9%90+%D8%A8%DB%8C%D9%84%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3962fd51d3d85045:0x1e521f2217892e2d!8m2!3d22.7389504!4d75.8915256!16s%2Fg%2F1q67qjxw5!19sChIJRVDY01H9YjkRLS6JFyIfUh4?authuser=0&hl=en&rclk=1,"22.7389504,75.8915256"
Multani Masjid,Mosque,"Multani Masjid, 30, Khajrana Square, Shree Nagar Extension, Multani Colony, Indore, Madhya Pradesh 452016","Shree Nagar Extension, Multani Colony","30, Khajrana Square",Indore,452016,Madhya Pradesh,IN,https://www.google.com/maps/place/Multani+Masjid/data=!4m7!3m6!1s0x3962e2b494538ff3:0xe3bf5f53b01091f7!8m2!3d22.7321148!4d75.9015122!16s%2Fg%2F11bzsstryp!19sChIJ849TlLTiYjkR95EQsFNfv-M?authuser=0&hl=en&rclk=1,"22.732114799999998,75.9015122"
