name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Kunjali Marakkar Mosque,Mosque,"HH8X+466 Kunjali Marakkar Mosque, Iringal, Kerala 673521",,HH8X+466,Iringal,673521,Kerala,IN,https://www.google.com/maps/place/Kunjali+Marakkar+Mosque/data=!4m7!3m6!1s0x3ba685ca0f6b3a05:0xcc2581d8d30812bc!8m2!3d11.5652822!4d75.5980071!16s%2Fg%2F11bwh5v5qf!19sChIJBTprD8qFpjsRvBII09iBJcw?authuser=0&hl=en&rclk=1,"11.565282199999999,75.59800709999999"
Ayanikkad Badriya Juma Masjid,Mosque,"GJP7+5RX Ayanikkad Badriya Juma Masjid, Iringal, Kerala 673522",,GJP7+5RX,Iringal,673522,Kerala,IN,https://www.google.com/maps/place/Ayanikkad+Badriya+Juma+Masjid/data=!4m7!3m6!1s0x3ba685fb67182bcf:0x3a6cefe61e12667e!8m2!3d11.5354862!4d75.614606!16s%2Fg%2F11cs2gttmb!19sChIJzysYZ_uFpjsRfmYSHubvbDo?authuser=0&hl=en&rclk=1,"11.5354862,75.614606"
Chekkunthaya Masjid,Mosque,"HJ35+W58 Chekkunthaya Masjid, Iringal, Kerala 673522",,HJ35+W58,Iringal,673522,Kerala,IN,https://www.google.com/maps/place/Chekkunthaya+Masjid/data=!4m7!3m6!1s0x3ba685c4bc5077f5:0x5c894803caef3545!8m2!3d11.5547996!4d75.6079417!16s%2Fg%2F11c6f180f8!19sChIJ9XdQvMSFpjsRRTXvygNIiVw?authuser=0&hl=en&rclk=1,"11.554799599999999,75.6079417"
Salafi Masjid,Mosque,"HJ56+M84 Salafi Masjid, Iringal, Kerala 673522",,HJ56+M84,Iringal,673522,Kerala,IN,https://www.google.com/maps/place/Salafi+Masjid/data=!4m7!3m6!1s0x3ba685daa615827b:0x37e56e615c588a80!8m2!3d11.559145!4d75.6108237!16s%2Fg%2F11g8cxvjsw!19sChIJe4IVptqFpjsRgIpYXGFu5Tc?authuser=0&hl=en&rclk=1,"11.559145,75.6108237"
Ilahiyya Juma Masjid,Mosque,"HJ33+Q88 Ilahiyya Juma Masjid, Kottakkal, Iringal, Kerala 673521",Kottakkal,HJ33+Q88,Iringal,673521,Kerala,IN,https://www.google.com/maps/place/Ilahiyya+Juma+Masjid/data=!4m7!3m6!1s0x3ba685c6a78ea00b:0x124576386cb005dc!8m2!3d11.5544236!4d75.603331!16s%2Fg%2F11cs24yhwb!19sChIJC6COp8aFpjsR3AWwbDh2RRI?authuser=0&hl=en&rclk=1,"11.5544236,75.603331"
Muhyudheen Juma Masjid,Mosque,"HJ66+R2X Muhyudheen Juma Masjid, Iringal, Kerala 673522",,HJ66+R2X,Iringal,673522,Kerala,IN,https://www.google.com/maps/place/Muhyudheen+Juma+Masjid/data=!4m7!3m6!1s0x3ba685d03394556b:0x7334d41a03d03c74!8m2!3d11.5621096!4d75.6101188!16s%2Fg%2F11c0y63jzp!19sChIJa1WUM9CFpjsRdDzQAxrUNHM?authuser=0&hl=en&rclk=1,"11.5621096,75.6101188"
Masjid Jalal Kottakkal Iringal,Mosque,"HJ52+C62 Masjid Jalal Kottakkal Iringal, Iringal, Kerala 673521",,HJ52+C62,Iringal,673521,Kerala,IN,https://www.google.com/maps/place/Masjid+Jalal+Kottakkal+Iringal/data=!4m7!3m6!1s0x3ba685c62d084a53:0x2cc1e5d80b369e0f!8m2!3d11.5585232!4d75.6005066!16s%2Fg%2F11bw61pbvj!19sChIJU0oILcaFpjsRD542C9jlwSw?authuser=0&hl=en&rclk=1,"11.5585232,75.6005066"
Rifayya Masjid Kajiramulla Paramb,Mosque,"GJF7+WHV Rifayya Masjid Kajiramulla Paramb, Kozhikode, Kerala 673522",,GJF7+WHV,Kozhikode,673522,Kerala,IN,https://www.google.com/maps/place/Rifayya+Masjid+Kajiramulla+Paramb/data=!4m7!3m6!1s0x3ba68f566c6ba65d:0xc217da48800f59e5!8m2!3d11.5248593!4d75.6139247!16s%2Fg%2F11fx9kkd7b!19sChIJXaZrbFaPpjsR5VkPgEjaF8I?authuser=0&hl=en&rclk=1,"11.5248593,75.6139247"
Meenathkara masjid,Mosque,"GJQJ+P5F Meenathkara masjid, palayadnada po iringal via, 673521",,"GJQJ+P5F, palayadnada po iringal via",,673521,Kerala,IN,https://www.google.com/maps/place/Meenathkara+masjid/data=!4m7!3m6!1s0x3ba687f982851d35:0x3af42e8cbf9e25f7!8m2!3d11.5393122!4d75.6304343!16s%2Fg%2F11tf7vvf75!19sChIJNR2FgvmHpjsR9yWev4wu9Do?authuser=0&hl=en&rclk=1,"11.5393122,75.63043429999999"
Angadi Masjid iringal kottakkal,Mosque,"HH6X+G3P Angadi Masjid iringal kottakkal, Iringal, Kerala 673521",,HH6X+G3P,Iringal,673521,Kerala,IN,https://www.google.com/maps/place/Angadi+Masjid+iringal+kottakkal/data=!4m7!3m6!1s0x3ba685c82bcd76e1:0x18097031b06db9f4!8m2!3d11.561338!4d75.5977123!16s%2Fg%2F11bw613b1d!19sChIJ4XbNK8iFpjsR9LltsDFwCRg?authuser=0&hl=en&rclk=1,"11.561338,75.5977123"
Salafi Masjid,Mosque,"HH6X+79M Salafi Masjid, Kottakkal, Iringal, Kerala 673521",Kottakkal,HH6X+79M,Iringal,673521,Kerala,IN,https://www.google.com/maps/place/Salafi+Masjid/data=!4m7!3m6!1s0x3ba685c83b671415:0xdd305b60bb9a31ec!8m2!3d11.560722!4d75.5984224!16s%2Fg%2F11hbgbj0hh!19sChIJFRRnO8iFpjsR7DGau2BbMN0?authuser=0&hl=en&rclk=1,"11.560722,75.59842239999999"
