name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Ashrafiya Masjid Purebaaz,Mosque,"Ashrafiya Masjid Purebaaz, Purebaaz 227816, Jagdishpur, Uttar Pradesh",,Purebaaz 227816,"Jagdishpur, Mirapur",,Uttar Pradesh,IN,https://www.google.com/maps/place/Ashrafiya+Masjid+Purebaaz/data=!4m7!3m6!1s0x399a4903383a1d6d:0x7a6951d093d488db!8m2!3d26.4937046!4d81.6433605!16s%2Fg%2F11g6b32zlq!19sChIJbR06OANJmjkR24jUk9BRaXo?authuser=0&hl=en&rclk=1,"26.493704599999997,81.6433605"
sunni noori masjid,Mosque,"2JCV+9XJ sunni noori masjid, Jagadishpur, Uttar Pradesh 273151",,2JCV+9XJ,Jagadishpur,273151,Uttar Pradesh,IN,https://www.google.com/maps/place/sunni+noori+masjid/data=!4m7!3m6!1s0x3993ff7ad06714d7:0x5fe71588ea2ceba3!8m2!3d27.0209583!4d83.6448869!16s%2Fg%2F11c54cty15!19sChIJ1xRn0Hr_kzkRo-ss6ogV518?authuser=0&hl=en&rclk=1,"27.0209583,83.6448869"
MOULANA ALI ASGAR SAHEB MASJID,Mosque,"FFX3+VXM MOULANA ALI ASGAR SAHEB MASJID, shishiyaa haatt - semaapur rodd, Jagdishpur, Sikkat, Bihar 854104",,"FFX3+VXM, shishiyaa haatt - semaapur rodd","Jagdishpur, Sikkat",854104,Bihar,IN,https://www.google.com/maps/place/MOULANA+ALI+ASGAR+SAHEB+MASJID/data=!4m7!3m6!1s0x39f005d875c7085d:0x753c04d2b117e49e!8m2!3d25.4997154!4d87.4549257!16s%2Fg%2F11jz4708ll!19sChIJXQjHddgF8DkRnuQXsdIEPHU?authuser=0&hl=en&rclk=1,"25.4997154,87.45492569999999"
DARGAH MASJID PURAINI,Mosque,"4XRH+V68 DARGAH MASJID PURAINI, Jagadishpur, Bihar 813105",,4XRH+V68,Jagadishpur,,Bihar,IN,https://www.google.com/maps/place/DARGAH+MASJID+PURAINI/data=!4m7!3m6!1s0x39f04de3e2d48b8b:0x88a17fb56880b4ab!8m2!3d25.1421552!4d86.9780667!16s%2Fg%2F11f62f4zjm!19sChIJi4vU4uNN8DkRq7SAaLV_oYg?authuser=0&hl=en&rclk=1,"25.142155199999998,86.9780667"
Bichli Masjid,Mosque,"HMVM+XHG Bichli Masjid, Daulatpur, Balua, Bihar 802301",,HMVM+XHG,"Daulatpur, Balua",,Bihar,IN,https://www.google.com/maps/place/Bichli+Masjid/data=!4m7!3m6!1s0x3992a0c95c9f3a89:0xf2bf91adb9f50958!8m2!3d25.5949328!4d84.6839552!16s%2Fg%2F11gfjvvpft!19sChIJiTqfXMmgkjkRWAn1ua2Rv_I?authuser=0&hl=en&rclk=1,"25.5949328,84.6839552"
Jama Masjid jagdishpur,Mosque,"CJXC+9VR Jama Masjid jagdishpur, Jagdishpur, Uttar Pradesh 227809",,CJXC+9VR,Jagdishpur,227809,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid+jagdishpur/data=!4m7!3m6!1s0x399a4eb6f014d2cd:0x4c23f036a38d2251!8m2!3d26.4484985!4d81.6221467!16s%2Fg%2F11c6dj_y04!19sChIJzdIU8LZOmjkRUSKNozbwI0w?authuser=0&hl=en&rclk=1,"26.4484985,81.6221467"
Masjid Lodhiyawan,Mosque,"CJVV+7W4 Masjid Lodhiyawan, Jagdishpur, Bagahi, Uttar Pradesh 227809",,CJVV+7W4,"Jagdishpur, Bagahi",227809,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Lodhiyawan/data=!4m7!3m6!1s0x399a4ed8ff6c871f:0xac240e3b1303d01!8m2!3d26.4431297!4d81.6448385!16s%2Fg%2F11hbc39tqs!19sChIJH4ds_9hOmjkRAT0wseNAwgo?authuser=0&hl=en&rclk=1,"26.4431297,81.64483849999999"
Khan khadda Masjid,Mosque,"WWPP+4MQ Khan khadda Masjid, Khadda Bujurag, Barahra, Uttar Pradesh 274304",,WWPP+4MQ,"Khadda Bujurag, Barahra",274304,Uttar Pradesh,IN,https://www.google.com/maps/place/Khan+khadda+Masjid/data=!4m7!3m6!1s0x39938d25d4020a51:0x991850e987433dfb!8m2!3d26.9353278!4d83.9367252!16s%2Fg%2F11jfqrxs7_!19sChIJUQoC1CWNkzkR-z1Dh-lQGJk?authuser=0&hl=en&rclk=1,"26.9353278,83.9367252"
Jama Masjid - Paliganj,Mosque,"8RF2+QCM Jama Masjid - Paliganj, Paliganj, Bihar 801110",,8RF2+QCM,Paliganj,801110,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid+-+Paliganj/data=!4m7!3m6!1s0x398d4f0e40a3d9c7:0xdfe07b9fc8743c16!8m2!3d25.3244667!4d84.8010516!16s%2Fg%2F11bx2l20ww!19sChIJx9mjQA5PjTkRFjx0yJ974N8?authuser=0&hl=en&rclk=1,"25.3244667,84.8010516"
Masjid E Ghousia,Mosque,"VPPH+GW7 Masjid E Ghousia, Raghunathpur, Jagdishpur, Bihar 841414",,VPPH+GW7,"Raghunathpur, Jagdishpur",841414,Bihar,IN,https://www.google.com/maps/place/Masjid+E+Ghousia/data=!4m7!3m6!1s0x3992b908710436df:0xd3ee826d03bd1016!8m2!3d25.8862852!4d84.7297892!16s%2Fg%2F11f397rlp0!19sChIJ3zYEcQi5kjkRFhC9A22C7tM?authuser=0&hl=en&rclk=1,"25.8862852,84.7297892"
Gausiya Muslim Masjid Akashi,Mosque,"2353+4X8 Gausiya Muslim Masjid Akashi, Akasi, Bihar 821115",,2353+4X8,Akasi,821115,Bihar,IN,https://www.google.com/maps/place/Gausiya+Muslim+Masjid+Akashi/data=!4m7!3m6!1s0x398dba59749b53a7:0xa2b6701c31708c4!8m2!3d25.0077969!4d84.0549379!16s%2Fg%2F11f1r3b13g!19sChIJp1ObdFm6jTkRxAgXwwFnKwo?authuser=0&hl=en&rclk=1,"25.0077969,84.0549379"
