name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"RW26+9G9 Jama Masjid, Khila Gadda Road, near Qila (Fort) qila gadda street, Puranipet, Jagtial, Telangana 505327",Puranipet,"RW26+9G9, Khila Gadda Road, near Qila (Fort) qila gadda street",Jagtial,505327,Telangana,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bcd139966e491cd:0xef6231f2d0d34ec9!8m2!3d18.8009106!4d78.9113749!16s%2Fg%2F1tdz38h4!19sChIJzZHkZpkTzTsRyU7T0PIxYu8?authuser=0&hl=en&rclk=1,"18.800910599999998,78.9113749"
Islampura Masjid,Mosque,"QWR4+VMG Islampura Masjid, Islampura, Jagtial, Telangana 505327",Islampura,QWR4+VMG,Jagtial,505327,Telangana,IN,https://www.google.com/maps/place/Islampura+Masjid/data=!4m7!3m6!1s0x3bcd13964c234195:0x42d0a957528e46a2!8m2!3d18.7924054!4d78.9089497!16s%2Fg%2F11ddx_fbcg!19sChIJlUEjTJYTzTsRokaOUlep0EI?authuser=0&hl=en&rclk=1,"18.7924054,78.9089497"
Puranipet Masjid,Mosque,"Puranipet Masjid, 3-1-255, Sriram Nagar, Puranipet, Jagtial, Telangana 505327","Sriram Nagar, Puranipet",3-1-255,Jagtial,505327,Telangana,IN,https://www.google.com/maps/place/Puranipet+Masjid/data=!4m7!3m6!1s0x3bcd1390c314bd1d:0x404723915417f7a8!8m2!3d18.7947518!4d78.9129553!16s%2Fg%2F11cs9m44jy!19sChIJHb0Uw5ATzTsRqPcXVJEjR0A?authuser=0&hl=en&rclk=1,"18.7947518,78.9129553"
Faraan Masjid,Mosque,"Faraan Masjid, Gunj Rd, Puranipet, Jagtial, Telangana 505327",Puranipet,Gunj Rd,Jagtial,505327,Telangana,IN,https://www.google.com/maps/place/Faraan+Masjid/data=!4m7!3m6!1s0x3bcd139ba78fdd41:0x9f6feb7af3216e71!8m2!3d18.8007933!4d78.9148632!16s%2Fg%2F11byttlyss!19sChIJQd2Pp5sTzTsRcW4h83rrb58?authuser=0&hl=en&rclk=1,"18.8007933,78.9148632"
rahmaniya masjid,Mosque,"RW37+25V rahmaniya masjid, Jhanda Galli, Maheboob Pura, Puranipet, Jagtial, Telangana 505327","Maheboob Pura, Puranipet","RW37+25V, Jhanda Galli",Jagtial,505327,Telangana,IN,https://www.google.com/maps/place/rahmaniya+masjid/data=!4m7!3m6!1s0x3bcd139bf800e987:0xff238a3d4049cd03!8m2!3d18.8026189!4d78.9129067!16s%2Fg%2F1ydxc8gw2!19sChIJh-kA-JsTzTsRA81JQD2KI_8?authuser=0&hl=en&rclk=1,"18.8026189,78.9129067"
Qamar Masjid,Mosque,"Qamar Masjid, Ameena badh, Jagtial, Telangana 505327",,Ameena badh,Jagtial,,Telangana,IN,https://www.google.com/maps/place/Qamar+Masjid/data=!4m7!3m6!1s0x3bcd13bcb05c3b21:0x70cfe80f9a95e59f!8m2!3d18.7955002!4d78.9013923!16s%2Fg%2F11gbxctnkz!19sChIJITtcsLwTzTsRn-WVmg_oz3A?authuser=0&hl=en&rclk=1,"18.7955002,78.9013923"
Noor Masjid,Mosque,"QWV9+6G7 Noor Masjid, NH 63, Krishnanagar, Jagtial, Telangana 505327",Krishnanagar,"QWV9+6G7, NH 63",Jagtial,505327,Telangana,IN,https://www.google.com/maps/place/Noor+Masjid/data=!4m7!3m6!1s0x3bcd138e3e347ddf:0xebb97c25143310fa!8m2!3d18.7930422!4d78.9188101!16s%2Fg%2F1q5bm6_yy!19sChIJ3300Po4TzTsR-hAzFCV8ues?authuser=0&hl=en&rclk=1,"18.7930422,78.9188101"
masjid e nafeesa,Mosque,"masjid e nafeesa, Rahmathpura, Jagtial, Telangana 505327",Rahmathpura,,Jagtial,505327,Telangana,IN,https://www.google.com/maps/place/masjid+e+nafeesa/data=!4m7!3m6!1s0x3bcd1398bbf51f65:0x504cbf12618f15d0!8m2!3d18.8012412!4d78.9071704!16s%2Fg%2F11c6_h1zsg!19sChIJZR_1u5gTzTsR0BWPYRK_TFA?authuser=0&hl=en&rclk=1,"18.8012412,78.9071704"
Nafisa Khaleel masjid,Mosque,"QWR4+MG8 Nafisa Khaleel masjid, Islampura, Jagtial, Telangana 505327",Islampura,QWR4+MG8,Jagtial,505327,Telangana,IN,https://www.google.com/maps/place/Nafisa+Khaleel+masjid/data=!4m7!3m6!1s0x3bcd13c68356baf9:0xbb3470eee00a74e6!8m2!3d18.7916523!4d78.9063155!16s%2Fg%2F11h1yg_3q1!19sChIJ-bpWg8YTzTsR5nQK4O5wNLs?authuser=0&hl=en&rclk=1,"18.7916523,78.90631549999999"
Masjid E Zam Zam,Mosque,"QWWF+MGH Masjid E Zam Zam, Ashok Nagar, Krishnanagar, Jagtial, Telangana 505327","Ashok Nagar, Krishnanagar",QWWF+MGH,Jagtial,505327,Telangana,IN,https://www.google.com/maps/place/Masjid+E+Zam+Zam/data=!4m7!3m6!1s0x3bcd1388b0735c3f:0x5bf868f37174f078!8m2!3d18.7966954!4d78.9238695!16s%2Fg%2F11hd22gw74!19sChIJP1xzsIgTzTsRePB0cfNo-Fs?authuser=0&hl=en&rclk=1,"18.7966954,78.9238695"
