place_id,place_name,about,link
ChIJOXO1zDCEXjkR0k9G5MJ8rHQ,Jalali Masjid.,All,https://lh5.googleusercontent.com/p/AF1QipOzzyNe3vmKB9wXL9_HW7TmRFH4LxO5QXkoZkvp=w397-h298-k-no
ChIJaRIdX4C_dDkRmlCB0l2tCU8,Jama Masjid Jalali,All,https://lh5.googleusercontent.com/p/AF1QipN4ACzQC_boK5AXV4-_QA4M0u2BVZwvU6zWOzas=w397-h298-k-no
ChIJaRIdX4C_dDkRmlCB0l2tCU8,Jama Masjid Jalali,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uxvSDa-MUhTE4X4VoLLW1Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=209.61647&pitch=0&thumbfov=100
ChIJq_GSttO_dDkREWiOTSFPD20,Jama Mustafa masjid jalali,All,https://lh5.googleusercontent.com/p/AF1QipPh5Spxe42NUPH0bZEp64MYqrdbjy18aL_TAKcB=w529-h298-k-no
ChIJrdGqPpbxmTkRvFSjVneSDg0,Jalali Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=toorDVn0qQZw2Bcw4mfhJw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=258.52072&pitch=0&thumbfov=100
ChIJrdGqPpbxmTkRvFSjVneSDg0,Jalali Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=toorDVn0qQZw2Bcw4mfhJw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=258.52072&pitch=0&thumbfov=100
ChIJIUI5vX-_dDkRm8xduZOyplQ,Noorani Masjid Jalali,All,https://lh5.googleusercontent.com/p/AF1QipPiQ-jv67SnesG0A742AtEvxHkoaBJ5xSly9Ax8=w529-h298-k-no
ChIJIUI5vX-_dDkRm8xduZOyplQ,Noorani Masjid Jalali,Videos,https://lh5.googleusercontent.com/p/AF1QipOlen4DtIPkRwr4qvJDJhVAWNt3zcLl4TqGir-E=w224-h398-k-no
ChIJn-q7HPG_dDkRBZoD-RpNTx4,"Madina Masjid, Jalali",All,https://lh5.googleusercontent.com/p/AF1QipO-rcGoED4C7SVffsoGspT2qHehXC3PvC8v9W9a=w397-h298-k-no
ChIJn-q7HPG_dDkRBZoD-RpNTx4,"Madina Masjid, Jalali",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vl6aYdjru6KPi3wEWUmqYA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=27.399698&pitch=0&thumbfov=100
ChIJYSPPO0uHAjoRytKJZPU3ZHQ,JAM-E-MASJID-A-JALALI (R.A).,All,https://lh5.googleusercontent.com/p/AF1QipP2QwP0DiJU1I93WYRgyX-e0Jd-FfFqpH2JepJQ=w397-h298-k-no
ChIJYSPPO0uHAjoRytKJZPU3ZHQ,JAM-E-MASJID-A-JALALI (R.A).,Videos,https://lh5.googleusercontent.com/p/AF1QipNqtnbVNW0eD2C_ChCrqspIeMb6wt1-LPi8v4Tx=w644-h298-k-no
ChIJC7DaixeFXjkRbV7qylKxGQ0,Jalali Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Jw2K_uNfIoaOlXOHYjfg6Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=210.43977&pitch=0&thumbfov=100
ChIJC7DaixeFXjkRbV7qylKxGQ0,Jalali Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Jw2K_uNfIoaOlXOHYjfg6Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=210.43977&pitch=0&thumbfov=100
