place_id,place_name,about,link
ChIJS73PPwyY9jkRvMaGdiLkMUg,Haidri Masjid Ramzanpur,All,https://lh5.googleusercontent.com/p/AF1QipM97JrutiP5c-h1gPwXode043-KZDoHD_NnAT76=w224-h311-k-no
ChIJS73PPwyY9jkRvMaGdiLkMUg,Haidri Masjid Ramzanpur,Dome,https://lh5.googleusercontent.com/p/AF1QipNkBs8zEj72yA0s15atAO0lJUubsK-bHgMBuxuF=w529-h298-k-no
ChIJDdRKbQuY9jkR12103saex6M,JAMA MASJID BARKITAND,All,https://lh5.googleusercontent.com/p/AF1QipM8KBmAhJh2iRcBcp8ljdHQC9OXy4VnU--9WynX=w224-h298-k-no
ChIJDdRKbQuY9jkR12103saex6M,JAMA MASJID BARKITAND,Latest,https://lh5.googleusercontent.com/p/AF1QipN-RNs9hOVMZbN9wNlEeNvSL4mTgT_7IZCwJ1Er=w224-h398-k-no
ChIJDdRKbQuY9jkR12103saex6M,JAMA MASJID BARKITAND,Videos,https://lh5.googleusercontent.com/p/AF1QipPZ30H_Hs1uvfeHLBDHeVyDaVbL1tERlMD46YcD=w529-h298-k-no
ChIJDdRKbQuY9jkR12103saex6M,JAMA MASJID BARKITAND,Dome,https://lh5.googleusercontent.com/p/AF1QipNPJcvqsRiY3TkzQIIYWJ2g5VI0vRnki2MPzoCz=w224-h397-k-no
ChIJxyyl8w-Y9jkRDcRPlwK647I,Muskil Khusa Majsid,All,https://lh5.googleusercontent.com/p/AF1QipNTxShc3AnfyLnI3IfrIXVJuv2whxo1JQa6QYUR=w224-h495-k-no
ChIJxyyl8w-Y9jkRDcRPlwK647I,Muskil Khusa Majsid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bSGn54oqY-4slYPfR_u_Yg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=141.19109&pitch=0&thumbfov=100
ChIJIYb2Sg2Y9jkRrynoCbPVxxk,Co operative colony masjid,All,https://lh5.googleusercontent.com/p/AF1QipM2gQ1KTLmcDju1EIuXt-WDgQDIDJxNO1rmb1VX=w397-h298-k-no
ChIJvQ60AJ6j9jkR1x8Sz7nU_2w,"Noorani Masjid, Hussain Nagar, Baniahir",All,https://lh5.googleusercontent.com/p/AF1QipMWDY5ssBkJfyCagTE66_vf4bLRlT548kuX1UHC=w224-h398-k-no
ChIJvQ60AJ6j9jkR1x8Sz7nU_2w,"Noorani Masjid, Hussain Nagar, Baniahir",Videos,https://lh5.googleusercontent.com/p/AF1QipOKgrKdO94VvA1W5aQbx3ZjXcDcHsJUZP1wNeeD=w224-h398-k-no
ChIJIQjfyqei9jkRWa_A0v2Y-Lw,MADINA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipOkaltftIghHNHmVRkiy2C9RlQ-16OMn7LsqpCz=w224-h389-k-no
ChIJIQjfyqei9jkRWa_A0v2Y-Lw,MADINA MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipOkaltftIghHNHmVRkiy2C9RlQ-16OMn7LsqpCz=w224-h389-k-no
ChIJXRNOu_iZ9jkRUqa9p6kTAtI,IQRA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipOQQcCQqrB1pXEzD0UhLaK7dB1rYTd_22QjdD0y=w224-h298-k-no
ChIJXRNOu_iZ9jkRUqa9p6kTAtI,IQRA MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sm75IDMtZayPHcHrnbinyw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=23.285988&pitch=0&thumbfov=100
ChIJndFbsUmj9jkRxO8ikNGIKnA,MASJIDE AQSA,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=137M0pyf3qRHUtks7bQeHQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=92.668625&pitch=0&thumbfov=100
ChIJndFbsUmj9jkRxO8ikNGIKnA,MASJIDE AQSA,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=137M0pyf3qRHUtks7bQeHQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=92.668625&pitch=0&thumbfov=100
ChIJoUXVOkSX9jkRgqErqrPPzow,Madarsa,All,https://lh5.googleusercontent.com/p/AF1QipOTfpoG66IltCV658n0CQeYLVCiwbWQeBLs52P3=w224-h365-k-no
ChIJJzTgoZWj9jkRr3RmB-YdPjY,Bhaga zama maszid,All,https://lh5.googleusercontent.com/p/AF1QipOCjoF8DYNJghv3KnRmaO6mtUM_sBdLjck66efL=w224-h298-k-no
ChIJJzTgoZWj9jkRr3RmB-YdPjY,Bhaga zama maszid,Dome,https://lh5.googleusercontent.com/p/AF1QipOCjoF8DYNJghv3KnRmaO6mtUM_sBdLjck66efL=w224-h298-k-no
