place_id,place_name,about,link
ChIJYQLXDeMLDDkRHTCuJXuFQpU,Masjid Umar Farooq,All,https://lh5.googleusercontent.com/p/AF1QipM4NoayxqYkUyRE7P6qVIIL5B51sw-sp87uN13P=w397-h298-k-no
ChIJYQLXDeMLDDkRHTCuJXuFQpU,Masjid Umar Farooq,Videos,https://lh5.googleusercontent.com/p/AF1QipPWseCf_Z5v8DsQk5M5EkyfvFB7-sX3AMjmPJmL=w224-h398-k-no
ChIJmZr30O8PDDkRsbGxFRpy9o8,Madarsa Islamia Arabia Faizul Uloom Saidpur Jansath Muzaffarnagar U P,All,https://lh5.googleusercontent.com/p/AF1QipN1LeHjOchkDDEhe5c9Oo3GAuatDq3EPlH2vH35=w529-h298-k-no
ChIJmZr30O8PDDkRsbGxFRpy9o8,Madarsa Islamia Arabia Faizul Uloom Saidpur Jansath Muzaffarnagar U P,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=R4D6e706iWFRMDNwEtIbFg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=52.76495&pitch=0&thumbfov=100
ChIJmZr30O8PDDkRsbGxFRpy9o8,Madarsa Islamia Arabia Faizul Uloom Saidpur Jansath Muzaffarnagar U P,Videos,https://lh5.googleusercontent.com/p/AF1QipPbsPk9mj7Cpvy469D6-RnMWrBMYW1CNsfaeQ4=w541-h298-k-no
ChIJq-bmw2sLDDkRe3kdY41s0-U,Chhoti Masjid Narsinghpur MuzaffarNagar U P,All,https://lh5.googleusercontent.com/p/AF1QipMT-uajz6cV-ziL-41Y-wsE2UlIsvzWwr1yXDp1=w529-h298-k-no
ChIJq-bmw2sLDDkRe3kdY41s0-U,Chhoti Masjid Narsinghpur MuzaffarNagar U P,Videos,https://lh5.googleusercontent.com/p/AF1QipOdZCGwSmAhcmuDeplpeI1w-ktjgHfLJzerjU-W=w224-h398-k-no
ChIJzwib9OILDDkRyFg5R1aTGIk,Masjid Aisha,All,https://lh5.googleusercontent.com/p/AF1QipMWMu7zoFIdhlRDhzFCCpTvoYzhW8w8N_Jg2H5l=w224-h448-k-no
ChIJzwib9OILDDkRyFg5R1aTGIk,Masjid Aisha,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=frpMzud2AbL9DZH5KdAppw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=1.2943478&pitch=0&thumbfov=100
ChIJhVWUvFcJDDkRlLvQCh1CObE,Eidgah Jannatabad,All,https://lh5.googleusercontent.com/p/AF1QipMTeYmVuDl0hI2NBYVRLecsDiqPidVBx7a32aEp=w224-h398-k-no
ChIJhVWUvFcJDDkRlLvQCh1CObE,Eidgah Jannatabad,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EJgXjUi1maBnzrJpO2QrpQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=316.5543&pitch=0&thumbfov=100
ChIJpcEhnuILDDkRnqoggNfnVEg,Bilal Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PhumaOWQw7_WGvO5DdxbsA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=187.20459&pitch=0&thumbfov=100
ChIJpcEhnuILDDkRnqoggNfnVEg,Bilal Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PhumaOWQw7_WGvO5DdxbsA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=187.20459&pitch=0&thumbfov=100
ChIJj-mAzBYJDDkRk7_eo5tRejI,Masjid-e-Rang Mahal shiya masjid,All,https://lh5.googleusercontent.com/p/AF1QipMIyIZ-qR9hxOyAGPssJ4Y3CZXYE7uhDiIp7wvM=w224-h485-k-no
ChIJj-mAzBYJDDkRk7_eo5tRejI,Masjid-e-Rang Mahal shiya masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMKUgtezY3fzJavxZxsabAV1dpS7qQC68cpYroT=w224-h485-k-no
ChIJj-mAzBYJDDkRk7_eo5tRejI,Masjid-e-Rang Mahal shiya masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipO8ArTooFRstyBH_I3Y4XNsuRy4FN3IyjAf5aw-=w224-h298-k-no-pi-10-ya230.00002-ro-0-fo100
ChIJz1fToZwJDDkRTRvV7C1r1HI,Jhod wali masjid,All,https://lh5.googleusercontent.com/p/AF1QipP3s3PBvEkotuAyfcCDElfRrzsk1jw2pYhCeuaH=w224-h398-k-no
ChIJz1fToZwJDDkRTRvV7C1r1HI,Jhod wali masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNLaAmoC49iZmGow6mVR3XStnEUUyWoeFrGKbXK=w224-h407-k-no
ChIJz1fToZwJDDkRTRvV7C1r1HI,Jhod wali masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNiKTgqaQ3spIEwvK2HKaOzH_xErSPzpyiUOeyE=w224-h398-k-no
ChIJz1fToZwJDDkRTRvV7C1r1HI,Jhod wali masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HZFhbO4HKW0eJxE80J8lPA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=180.77441&pitch=0&thumbfov=100
ChIJe8YZNHEJDDkRGAeT5DgsX84,Jama Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g9Yw98Li_a9sK5UOJTe1Vg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=168.34608&pitch=0&thumbfov=100
ChIJe8YZNHEJDDkRGAeT5DgsX84,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g9Yw98Li_a9sK5UOJTe1Vg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=168.34608&pitch=0&thumbfov=100
ChIJBatkguILDDkRhMfHU_kpnw8,Kajiyan Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XEICssgYLk9aWpREnEA7dQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=333.10236&pitch=0&thumbfov=100
ChIJBatkguILDDkRhMfHU_kpnw8,Kajiyan Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XEICssgYLk9aWpREnEA7dQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=333.10236&pitch=0&thumbfov=100
ChIJF-7Zh1EPDDkRZZw_8xx824Q,Mohammadi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM5BjvwWZOgYxy80VDOgvhy8yc_6z7e0N40MSHf=w224-h398-k-no
ChIJF-7Zh1EPDDkRZZw_8xx824Q,Mohammadi Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KzQi3Y8Gtqk31yNgL2CCTw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=225.08469&pitch=0&thumbfov=100
ChIJ_yKl1NYLDDkRzlHAxht00Qs,Bara Dare Wali Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gstKF6P4BmdaQzECQ2gDKw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=188.33188&pitch=0&thumbfov=100
ChIJ_yKl1NYLDDkRzlHAxht00Qs,Bara Dare Wali Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gstKF6P4BmdaQzECQ2gDKw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=188.33188&pitch=0&thumbfov=100
ChIJpQ46GFwJDDkRk22Sxq51qhA,Masjid Tehseel Vali,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6nLr0Dd1cWaCApbvJrfNjA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=0.119987436&pitch=0&thumbfov=100
ChIJpQ46GFwJDDkRk22Sxq51qhA,Masjid Tehseel Vali,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6nLr0Dd1cWaCApbvJrfNjA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=0.119987436&pitch=0&thumbfov=100
ChIJ9VRNMnILDDkRerklgufu9VA,jama masjid,All,https://lh5.googleusercontent.com/p/AF1QipPUilYXcHt5QJg_J2Kq9h5Qjd4hAyYnnXFzWXyx=w224-h298-k-no
