name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Full Shah Data Musjid jaora,Mosque,"J4VH+RWP Full Shah Data Musjid jaora, Jaora, Madhya Pradesh 457226",,J4VH+RWP,Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/Full+Shah+Data+Musjid+jaora/data=!4m7!3m6!1s0x39641af2a073ca75:0x2a690f4299423b1a!8m2!3d23.6445898!4d75.1298379!16s%2Fg%2F11g86nyt44!19sChIJdcpzoPIaZDkRGjtCmUIPaSo?authuser=0&hl=en&rclk=1,"23.6445898,75.1298379"
Sarkaari Masjid,Mosque,"J4RH+QW7 Sarkaari Masjid, Jaora, Madhya Pradesh 457226",,J4RH+QW7,Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/Sarkaari+Masjid/data=!4m7!3m6!1s0x39641aed21f0dcbf:0x9a1fa2694b400d6!8m2!3d23.6419099!4d75.1297823!16s%2Fg%2F1hhwwj5jq!19sChIJv9zwIe0aZDkR1gC0lCb6oQk?authuser=0&hl=en&rclk=1,"23.641909899999998,75.1297823"
Eid gaah Jaora,Mosque,"J4XG+H58 Eid gaah Jaora, Idgah Rd, Jaora, Madhya Pradesh 457226",,"J4XG+H58, Idgah Rd",Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/Eid+gaah+Jaora/data=!4m7!3m6!1s0x39641af3e242c6c1:0x7035d5ebafaede09!8m2!3d23.6489066!4d75.1254471!16s%2Fg%2F11c2y7shbq!19sChIJwcZC4vMaZDkRCd6ur-vVNXA?authuser=0&hl=en&rclk=1,"23.6489066,75.1254471"
"Noorani Masjid, Mevatipura, Jaora",Mosque,"Noorani Masjid, Mevatipura, Jaora, 39, Aadarsh Dakh, Jaora, Madhya Pradesh 457226",,"39, Aadarsh Dakh",Jaora,457226,Madhya Pradesh,IN,"https://www.google.com/maps/place/Noorani+Masjid,+Mevatipura,+Jaora/data=!4m7!3m6!1s0x39641aeec1f3a731:0x2bcd797a0e0cba71!8m2!3d23.6394356!4d75.1235548!16s%2Fg%2F11dx95rp81!19sChIJMafzwe4aZDkRcboMDnp5zSs?authuser=0&hl=en&rclk=1","23.6394356,75.1235548"
Mosque,Mosque,"J4VJ+2WV Mosque, Jaora, Madhya Pradesh 457226",,J4VJ+2WV,Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/Mosque/data=!4m7!3m6!1s0x39641a92c481b16b:0x1ba6b9d3202c142!8m2!3d23.6426142!4d75.1323048!16s%2Fg%2F1tcxsn5p!19sChIJa7GBxJIaZDkRQsECMp1rugE?authuser=0&hl=en&rclk=1,"23.6426142,75.1323048"
Rapat Wali Masjid,Mosque,"Rapat Wali Masjid, 45, Chhawni Rapat Rd, Jaora, Madhya Pradesh 457226",,"45, Chhawni Rapat Rd",Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/Rapat+Wali+Masjid/data=!4m7!3m6!1s0x39641aee7c5de43f:0xe901bbc973379aef!8m2!3d23.6413592!4d75.1248403!16s%2Fg%2F11dxc_fnw3!19sChIJP-RdfO4aZDkR75o3c8m7Aek?authuser=0&hl=en&rclk=1,"23.6413592,75.1248403"
Semli Wali Masjid,Mosque,"Semli Wali Masjid, 5, Railway Sta Rd, Jaora, Madhya Pradesh 457226",,"5, Railway Sta Rd",Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/Semli+Wali+Masjid/data=!4m7!3m6!1s0x39641ae87231a0c7:0xf1d52d3d27d3ffab!8m2!3d23.633662!4d75.120088!16s%2Fg%2F11c6t0gvn_!19sChIJx6AxcugaZDkRq__TJz0t1fE?authuser=0&hl=en&rclk=1,"23.633661999999998,75.120088"
Jaora masjid,Mosque,"J4M9+P94 Jaora masjid, Jaora, Madhya Pradesh 457226",,J4M9+P94,Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/Jaora+masjid/data=!4m7!3m6!1s0x39641bc6b0673197:0x6d53d9f3c4a6c36e!8m2!3d23.6342566!4d75.1184405!16s%2Fg%2F11rd09y4rx!19sChIJlzFnsMYbZDkRbsOmxPPZU20?authuser=0&hl=en&rclk=1,"23.6342566,75.11844049999999"
Mosque,Mosque,"J4J8+RRM Mosque, Jaora, Madhya Pradesh 457226",,J4J8+RRM,Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/Mosque/data=!4m7!3m6!1s0x39641ae784406ea9:0x459aa0ca30e6563d!8m2!3d23.6320778!4d75.1170548!16s%2Fg%2F11hbmkg9y3!19sChIJqW5AhOcaZDkRPVbmMMqgmkU?authuser=0&hl=en&rclk=1,"23.632077799999998,75.11705479999999"
RAPAT MASJID HOUSE,Mosque,"J4RG+G4M RAPAT MASJID HOUSE, Jaora, Madhya Pradesh 457226",,J4RG+G4M,Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/RAPAT+MASJID+HOUSE/data=!4m7!3m6!1s0x39641bd8523176e3:0x3b023a07c7f62930!8m2!3d23.6413324!4d75.1252928!16s%2Fg%2F11h256lk_p!19sChIJ43YxUtgbZDkRMCn2xwc6Ajs?authuser=0&hl=en&rclk=1,"23.6413324,75.1252928"
Mughalpura Masjid,Mosque,"J4QG+29Q Mughalpura Masjid, Mughalpura, Jaora, Madhya Pradesh 457226",Mughalpura,J4QG+29Q,Jaora,,Madhya Pradesh,IN,https://www.google.com/maps/place/Mughalpura+Masjid/data=!4m7!3m6!1s0x39641baa98c5a5b7:0x503ef6fc44480f8d!8m2!3d23.6375836!4d75.1259714!16s%2Fg%2F11h3kc70d0!19sChIJt6XFmKobZDkRjQ9IRPz2PlA?authuser=0&hl=en&rclk=1,"23.6375836,75.1259714"
Masjid ratlami gate jaora,Mosque,"Masjid ratlami gate jaora, Ratlami gate, Jaora, Madhya Pradesh 457226",,Ratlami gate,Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/Masjid+ratlami+gate+jaora/data=!4m7!3m6!1s0x39641bb6f21246af:0xe3158ac9d1db60b1!8m2!3d23.6349563!4d75.122663!16s%2Fg%2F11rzr8tvdd!19sChIJr0YS8rYbZDkRsWDb0cmKFeM?authuser=0&hl=en&rclk=1,"23.6349563,75.122663"
Maulana Masjid,Mosque,"J4VG+GM5 Maulana Masjid, Jaora, Madhya Pradesh 457226",,J4VG+GM5,Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/Maulana+Masjid/data=!4m7!3m6!1s0x39641aedf333938d:0x14420749a692b742!8m2!3d23.6437504!4d75.1267403!16s%2Fg%2F1tg59hrw!19sChIJjZMz8-0aZDkRQreSpkkHQhQ?authuser=0&hl=en&rclk=1,"23.6437504,75.1267403"
CHHIPA PURA MASJID,Mosque,"J4WP+327 CHHIPA PURA MASJID, Hathi khana, Jaora, Madhya Pradesh 457226",Hathi khana,J4WP+327,Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/CHHIPA+PURA+MASJID/data=!4m7!3m6!1s0x39641bc928999dbf:0x4331301fd3651b7e!8m2!3d23.6451644!4d75.1350367!16s%2Fg%2F11fcszsv4y!19sChIJv52ZKMkbZDkRfhtl0x8wMUM?authuser=0&hl=en&rclk=1,"23.6451644,75.1350367"
Kalandari Masjid,Mosque,"J4VG+6HG Kalandari Masjid, Jaora, Madhya Pradesh 457226",,J4VG+6HG,Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/Kalandari+Masjid/data=!4m7!3m6!1s0x39641b648cc55683:0xe1aa5ba905c26049!8m2!3d23.6430721!4d75.1264469!16s%2Fg%2F11g2w5htvk!19sChIJg1bFjGQbZDkRSWDCBalbquE?authuser=0&hl=en&rclk=1,"23.643072099999998,75.12644689999999"
Vajihi Masjid,Mosque,"Vajihi Masjid, Unique marbles, Vali Bawa Rauza Complex, 54, Bhohra Bakhal Rd, Jaora, Madhya Pradesh 457226",,"Unique marbles, Vali Bawa Rauza Complex, 54, Bhohra Bakhal Rd",Jaora,457226,Madhya Pradesh,IN,https://www.google.com/maps/place/Vajihi+Masjid/data=!4m7!3m6!1s0x39641bb4608a5441:0x630a411a0fc5d865!8m2!3d23.6443107!4d75.1308659!16s%2Fg%2F11h1g3m6hq!19sChIJQVSKYLQbZDkRZdjFDxpBCmM?authuser=0&hl=en&rclk=1,"23.6443107,75.1308659"
Guler wali masjid jaora,Grocery store,"J4MF+X3M Guler wali masjid jaora, Jaora, Madhya Pradesh 457226",,J4MF+X3M,Jaora,,Madhya Pradesh,IN,https://www.google.com/maps/place/Guler+wali+masjid+jaora/data=!4m7!3m6!1s0x39641bc42faccfc7:0x8847fa0706b22d2!8m2!3d23.6349634!4d75.1226754!16s%2Fg%2F11t40y4z__!19sChIJx8-sL8QbZDkR0iJrcKB_hAg?authuser=0&hl=en&rclk=1,"23.6349634,75.12267539999999"
