place_id,place_name,about,link
ChIJHePn7tYZWDkRoRSzbT_h6CE,Jumma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNF0iCpahkCJ-QzPpiBlNBBtqtYGEaZbU13NJVt=w224-h298-k-no
ChIJHePn7tYZWDkRoRSzbT_h6CE,Jumma Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipO_epYL0bijAL_dAVa9ODagwOCvMYpmuON0UA3o=w397-h298-k-no
ChIJHePn7tYZWDkRoRSzbT_h6CE,Jumma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPRHzsit1FaYtY1vH1mx9WlWTz6X6zEsbUvDV3V=w224-h407-k-no
ChIJHePn7tYZWDkRoRSzbT_h6CE,Jumma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fZKmmbHQDSS4KTGFU07isA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=272.23325&pitch=0&thumbfov=100
ChIJf6ENFV4XWDkRQafO36ieOT8,Baharpura Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPlDEoef73O1XyoLv7VZ-q06z53lvVhyG1XxrBD=w224-h298-k-no-pi-20-ya105-ro-0-fo100
ChIJf6ENFV4XWDkRQafO36ieOT8,Baharpura Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipOzXkAGyogKdD7Thj-VhI-5d_Ur9JDDEeWWlkOM=w224-h298-k-no-pi-10-ya137.99998-ro-0-fo100
ChIJ50AJsmAXWDkRTKXqugNQEc4,Jamaati 24 Masjid Jetpur Navagadh,All,https://lh5.googleusercontent.com/p/AF1QipNrQ4uctqtYyEukF58IF8KttR3dsf9O8wlN8nYe=w224-h298-k-no
ChIJ50AJsmAXWDkRTKXqugNQEc4,Jamaati 24 Masjid Jetpur Navagadh,Dome,https://lh5.googleusercontent.com/p/AF1QipOxbUBSZNEAZF5WdEilm7Spqbk64fud8S8L-pJX=w224-h398-k-no
ChIJkXNcKuAZWDkRE8Zt9-DXKwg,Zikariya Sunni Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOZ3MsHgXEa8Xenl1X1Q4l9ScfYEmqTwHiPrf6x=w611-h298-k-no
ChIJj3hTJtYZWDkR9BJYziBN0BI,Madni Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNt0GwY7iGuKyAjoLobkeXdcr0O8dkBIthgLJkg=w298-h298-k-no
ChIJj3hTJtYZWDkR9BJYziBN0BI,Madni Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4I5ZW2CArAGh-kdyBnLEDw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=49.020977&pitch=0&thumbfov=100
ChIJgUrM018XWDkRZJKGlg5eZs0,Shamishah Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMR7_iDRcxiH7oiKG0q1JVAoD-ykr0X9231D7Lv=w224-h298-k-no-pi-0-ya99.00001-ro-0-fo100
ChIJgUrM018XWDkRZJKGlg5eZs0,Shamishah Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5oLWozlulXiCUTTn1Kknow&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=224.60709&pitch=0&thumbfov=100
ChIJz_UG6XkXWDkRo4TQ9w0lNEw,Jetpur rajkot Highway,All,https://lh5.googleusercontent.com/p/AF1QipP0XEyTdDlUmDhzJg6AWUmLXWCjfNSVBjIYoElH=w224-h298-k-no
ChIJBST3OmcXWDkRZrXMRPyZw8k,Madina Masjid Gondal Darvaja jetpur,All,https://lh5.googleusercontent.com/p/AF1QipOyOYYeO551rDagfOOGmfP9eA2zL0uq7FP1JpZN=w224-h298-k-no
ChIJBST3OmcXWDkRZrXMRPyZw8k,Madina Masjid Gondal Darvaja jetpur,Dome,https://lh5.googleusercontent.com/p/AF1QipNuiZgVY7GbMDIqEqdoij8Xm0CkpezzjgziHec_=w447-h298-k-no
ChIJI0jY4HYXWDkRNf9z6h6m-v4,Saiyeda Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMq72V4u48hlU9OrvtuCGynu3bF5uhGqcZwxFh8=w397-h298-k-no
ChIJI0jY4HYXWDkRNf9z6h6m-v4,Saiyeda Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipP-slgENqirxb2ZkT1L0fJSFItVE3pCmUqG-CQ1=w224-h448-k-no
ChIJI0jY4HYXWDkRNf9z6h6m-v4,Saiyeda Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOO5tKmS_ZLQQyGK0ntGDUkGfNqBDIrzgfViObG=w224-h398-k-no
ChIJBapp0V0XWDkRfMFEp_qdG0k,"Jumma Masjid, Jetpur-360370",All,https://lh5.googleusercontent.com/p/AF1QipOPB91qt3sv5m4KMcQJb9ZrNaHg7u-vAyKsvub-=w397-h298-k-no
ChIJBapp0V0XWDkRfMFEp_qdG0k,"Jumma Masjid, Jetpur-360370",Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipN0yUZHaiMSxef9x_csD6ywNUdkK5a9fbk4fHno=w224-h298-k-no-pi-20-ya353-ro-0-fo100
ChIJg7zM6mAXWDkRU36erPyZzcg,Nagina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPv-ZMf2lZKVpndSOOKHtkDK3G0vFMj_s4tRh3M=w397-h298-k-no
ChIJg7zM6mAXWDkRU36erPyZzcg,Nagina Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMlQ00plT0BZYbNGPxnAYWDo-i_P2IJ3y9mKi7L=w224-h298-k-no-pi-0-ya96.887436-ro-0-fo100
ChIJB9BJU2cXWDkRCYZsY7rGzQI,hussaini masjid,All,https://lh5.googleusercontent.com/p/AF1QipMd0JpKVMYcRSXh9KkP9W51GSfXxKEZ-ZLvQOT5=w224-h298-k-no
ChIJac-mggUXWDkRuI1PVNoI7xU,Masjid E Khair,All,https://lh5.googleusercontent.com/p/AF1QipPZ90eSsQI8xMV7yWxQ6aa87IvxdRdT3cvcPSla=w529-h298-k-no
ChIJac-mggUXWDkRuI1PVNoI7xU,Masjid E Khair,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vyLIupguW7fhp2MPbfD81w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=100.67327&pitch=0&thumbfov=100
ChIJ4ZJ-PRAZWDkRAQS8iMY4BzM,Ousman e Gani Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPIwvQ0HiUg5Ia0JjkQC-wspGR1RUJafS_4YI1t=w662-h298-k-no
ChIJ4ZJ-PRAZWDkRAQS8iMY4BzM,Ousman e Gani Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOToMMLff-MANmf5SSDp0C4Z_Z1xOL_dMcyDKF0=w224-h471-k-no
ChIJ4ZJ-PRAZWDkRAQS8iMY4BzM,Ousman e Gani Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CexPf2hiv0dZNn1nj7h7sA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=39.864826&pitch=0&thumbfov=100
ChIJsSR_rPgZWDkRLdpBVmAnwZ8,Eid gah masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tkH7eqUyBGZ9f3i2IwhD3Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=348.4382&pitch=0&thumbfov=100
ChIJsSR_rPgZWDkRLdpBVmAnwZ8,Eid gah masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tkH7eqUyBGZ9f3i2IwhD3Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=348.4382&pitch=0&thumbfov=100
