name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Makka Masjid,Mosque,"2Q6C+RHW Makka Masjid, JOPADPATTI AREA, Jevargi, Karnataka 585310",JOPADPATTI AREA,2Q6C+RHW,Jevargi,585310,Karnataka,IN,https://www.google.com/maps/place/Makka+Masjid/data=!4m7!3m6!1s0x3bc88da4570f23d3:0x4cbc8419ea6990e0!8m2!3d17.0121116!4d76.771453!16s%2Fg%2F11bxc5w80r!19sChIJ0yMPV6SNyDsR4JBp6hmEvEw?authuser=0&hl=en&rclk=1,"17.0121116,76.771453"
Jamiya Masjid,Mosque,"2Q8F+57F Jamiya Masjid, Near Tippu Sultan Chowk, Jevargi, Karnataka",,"2Q8F+57F, Near Tippu Sultan Chowk",Jevargi,,Karnataka,IN,https://www.google.com/maps/place/Jamiya+Masjid/data=!4m7!3m6!1s0x3bc88da3e849fc71:0xe2a764a98c27340e!8m2!3d17.015448!4d76.7731827!16s%2Fg%2F11bwg3btvx!19sChIJcfxJ6KONyDsRDjQnjKlkp-I?authuser=0&hl=en&rclk=1,"17.015448,76.77318269999999"
Masjid E Quba Ahle Hadees,Mosque,"2Q6H+H39 Masjid E Quba Ahle Hadees, Jevargi, Karnataka 585310",,2Q6H+H39,Jevargi,585310,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Quba+Ahle+Hadees/data=!4m7!3m6!1s0x3bc88da7a7e9f7d3:0x841639215fab8276!8m2!3d17.0114128!4d76.7777417!16s%2Fg%2F11ddxsbp48!19sChIJ0_fpp6eNyDsRdoKrXyE5FoQ?authuser=0&hl=en&rclk=1,"17.0114128,76.77774169999999"
Masjid-E-Saadath Ismail Shafeeq,Mosque,"2Q69+MWQ Masjid-E-Saadath Ismail Shafeeq, Saadath Colony, Jevargi, Karnataka 585310",,"2Q69+MWQ, Saadath Colony",Jevargi,585310,Karnataka,IN,https://www.google.com/maps/place/Masjid-E-Saadath+Ismail+Shafeeq/data=!4m7!3m6!1s0x3bc88da4e88167e5:0xbee95a97fe314abe!8m2!3d17.0117172!4d76.7698703!16s%2Fg%2F11c558hzvd!19sChIJ5WeB6KSNyDsRvkox_pda6b4?authuser=0&hl=en&rclk=1,"17.0117172,76.7698703"
Masjid-E-yaqub Ali,Mosque,"2Q5G+R8X Masjid-E-yaqub Ali, Jevargi, Karnataka 585310",,2Q5G+R8X,Jevargi,585310,Karnataka,IN,https://www.google.com/maps/place/Masjid-E-yaqub+Ali/data=!4m7!3m6!1s0x3bc88db0c3c59eb9:0xd4bfd0649dfc98a2!8m2!3d17.009505!4d76.7758811!16s%2Fg%2F11rwnbxft0!19sChIJuZ7Fw7CNyDsRopj8nWTQv9Q?authuser=0&hl=en&rclk=1,"17.009505,76.77588109999999"
Masjid E Mohammadiya,Mosque,"2Q7F+G8V Masjid E Mohammadiya, Jevargi, Karnataka 585310",,2Q7F+G8V,Jevargi,585310,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Mohammadiya/data=!4m7!3m6!1s0x3bc88da40899ac53:0x4379a9b8f4b9b94!8m2!3d17.0138516!4d76.7732926!16s%2Fg%2F11dfglm7dg!19sChIJU6yZCKSNyDsRlJtLj5uaNwQ?authuser=0&hl=en&rclk=1,"17.0138516,76.77329259999999"
MADEENA MASJID,Mosque,"2Q7H+58Q MADEENA MASJID, Unnamed Road, Jevargi, Karnataka 585310",,"2Q7H+58Q, Unnamed Road",Jevargi,585310,Karnataka,IN,https://www.google.com/maps/place/MADEENA+MASJID/data=!4m7!3m6!1s0x3bc88dea20399f0b:0x4c262b5a330a9d78!8m2!3d17.0129737!4d76.7783707!16s%2Fg%2F11fjw512k1!19sChIJC585IOqNyDsReJ0KM1orJkw?authuser=0&hl=en&rclk=1,"17.0129737,76.7783707"
Eidgah Jevargi,Mosque,"2QCC+44F Eidgah Jevargi, Jevargi, Karnataka 585310",,2QCC+44F,Jevargi,585310,Karnataka,IN,https://www.google.com/maps/place/Eidgah+Jevargi/data=!4m7!3m6!1s0x3bc88d3efc4c3031:0xb34ddd95df99d032!8m2!3d17.020309!4d76.7702961!16s%2Fg%2F11hzt9vydt!19sChIJMTBM_D6NyDsRMtCZ35XdTbM?authuser=0&hl=en&rclk=1,"17.020308999999997,76.7702961"
MASID-E-BILAL,Mosque,"2Q8H+M22 MASID-E-BILAL, Jevargi, Karnataka 585310",,2Q8H+M22,Jevargi,585310,Karnataka,IN,https://www.google.com/maps/place/MASID-E-BILAL/data=!4m7!3m6!1s0x3bc88db8bbab7d33:0xf532c1c64af20c70!8m2!3d17.0165974!4d76.7774834!16s%2Fg%2F11tccdbjn6!19sChIJM32ru7iNyDsRcAzySsbBMvU?authuser=0&hl=en&rclk=1,"17.0165974,76.7774834"
Jewargimkkkamasjid Muslim Basti,Mosque,"2Q8H+MR8 Jewargimkkkamasjid Muslim Basti, Fire Station Jevargi, Jevargi, Karnataka",,"2Q8H+MR8, Fire Station Jevargi",Jevargi,,Karnataka,IN,https://www.google.com/maps/place/Jewargimkkkamasjid+Muslim+Basti/data=!4m7!3m6!1s0x3bc88da09cdae281:0xeb313b2215c6b4f4!8m2!3d17.0166545!4d76.7795752!16s%2Fg%2F11gc9h05sg!19sChIJgeLanKCNyDsR9LTGFSI7Mes?authuser=0&hl=en&rclk=1,"17.016654499999998,76.7795752"
