name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid-E-Saifee,Mosque,"G5MC+RP6 Masjid-E-Saifee, Bajaj Khana, Jhalrapatan, Rajasthan 326023",Bajaj Khana,G5MC+RP6,Jhalrapatan,326023,Rajasthan,IN,https://www.google.com/maps/place/Masjid-E-Saifee/data=!4m7!3m6!1s0x39653c05f7a02971:0xb861eec6deef2c53!8m2!3d24.5345327!4d76.1717627!16s%2Fg%2F1tfkc_2l!19sChIJcSmg9wU8ZTkRUyzv3sbuYbg?authuser=0&hl=en&rclk=1,"24.5345327,76.1717627"
Masjid Nagori Luharan,Mosque,"G5JC+X75 Masjid Nagori Luharan, Jhalrapatan, Triveni Nagar, Rajasthan 326023",,G5JC+X75,"Jhalrapatan, Triveni Nagar",326023,Rajasthan,IN,https://www.google.com/maps/place/Masjid+Nagori+Luharan/data=!4m7!3m6!1s0x39653c0f6b6331f7:0xb445c0af528f8629!8m2!3d24.5323753!4d76.1707191!16s%2Fg%2F11d_dw5s4s!19sChIJ9zFjaw88ZTkRKYaPUq_ARbQ?authuser=0&hl=en&rclk=1,"24.532375299999998,76.1707191"
Masjid Neelgaraan,Mosque,"G5QF+68H Masjid Neelgaraan, Jhalrapatan Rd, Jhalrapatan, Rajasthan 326023",,"G5QF+68H, Jhalrapatan Rd",Jhalrapatan,326023,Rajasthan,IN,https://www.google.com/maps/place/Masjid+Neelgaraan/data=!4m7!3m6!1s0x39653c068fed0427:0x51876c7d2edb7d90!8m2!3d24.538074!4d76.1733567!16s%2Fg%2F11bx6k8m24!19sChIJJwTtjwY8ZTkRkH3bLn1sh1E?authuser=0&hl=en&rclk=1,"24.538073999999998,76.1733567"
Masjid Tek Wali Markaj,Mosque,"G5RF+424 Masjid Tek Wali Markaj, Jhalrapatan, Rajasthan 326023",,G5RF+424,Jhalrapatan,326023,Rajasthan,IN,https://www.google.com/maps/place/Masjid+Tek+Wali+Markaj/data=!4m7!3m6!1s0x39653c03ffffffff:0x1bd10f34c4f1f17!8m2!3d24.5402639!4d76.1725774!16s%2Fg%2F11g8749ndz!19sChIJ_____wM8ZTkRFx9PTPMQvQE?authuser=0&hl=en&rclk=1,"24.5402639,76.1725774"
MASJID AISHA & MADRASA BANAAT,Mosque,"G5QG+6GW MASJID AISHA & MADRASA BANAAT, Jhalrapatan, Rajasthan 326023",,G5QG+6GW,Jhalrapatan,326023,Rajasthan,IN,https://www.google.com/maps/place/MASJID+AISHA+%26+MADRASA+BANAAT/data=!4m7!3m6!1s0x39653c070f34982f:0x8d9bf4008ade7026!8m2!3d24.5381025!4d76.1763185!16s%2Fg%2F11df1g2dc9!19sChIJL5g0Dwc8ZTkRJnDeigD0m40?authuser=0&hl=en&rclk=1,"24.538102499999997,76.1763185"
Sipahiyan Masjid,Mosque,"G5PF+FMC Sipahiyan Masjid, Surajpol Road, Bajaj Khana, Talayi Area, Jhalrapatan, Rajasthan 326023","Bajaj Khana, Talayi Area","G5PF+FMC, Surajpol Road",Jhalrapatan,326023,Rajasthan,IN,https://www.google.com/maps/place/Sipahiyan+Masjid/data=!4m7!3m6!1s0x39653c064038600b:0x6a14c582029d3ec0!8m2!3d24.5361911!4d76.1741298!16s%2Fg%2F11hbt_fn12!19sChIJC2A4QAY8ZTkRwD6dAoLFFGo?authuser=0&hl=en&rclk=1,"24.5361911,76.1741298"
MASJID MUKERIYAAN,Mosque,"G5M9+98X MASJID MUKERIYAAN, High School Rd, Mukeri Mohalla, Jhalrapatan, Triveni Nagar, Rajasthan 326023",Mukeri Mohalla,"G5M9+98X, High School Rd","Jhalrapatan, Triveni Nagar",326023,Rajasthan,IN,https://www.google.com/maps/place/MASJID+MUKERIYAAN/data=!4m7!3m6!1s0x39653dcbde66dc3d:0x3ec334c28baabcbd!8m2!3d24.5334835!4d76.1683568!16s%2Fg%2F11fsnl14xz!19sChIJPdxm3ss9ZTkRvbyqi8I0wz4?authuser=0&hl=en&rclk=1,"24.5334835,76.1683568"
Kalandari Masjid Jhalrapatan,Mosque,"G5WC+35R Kalandari Masjid Jhalrapatan, Jhalrapatan, Rajasthan 326023",,G5WC+35R,Jhalrapatan,326023,Rajasthan,IN,https://www.google.com/maps/place/Kalandari+Masjid+Jhalrapatan/data=!4m7!3m6!1s0x39653d7c726887c9:0x1b66bc8855186ea!8m2!3d24.5452476!4d76.1704056!16s%2Fg%2F11sgdy2s33!19sChIJyYdocnw9ZTkR6oZRhchrtgE?authuser=0&hl=en&rclk=1,"24.5452476,76.1704056"
Masjid Kagjiyan msjid kaaghhziyaan,Mosque,"G5VC+PJ4 Masjid Kagjiyan msjid kaaghhziyaan, Jhalrapatan, Rajasthan 326023",,G5VC+PJ4,Jhalrapatan,326023,Rajasthan,IN,https://www.google.com/maps/place/Masjid+Kagjiyan+%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A6+%E0%A4%95%E0%A4%BE%E0%A5%9A%E0%A5%9B%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%A8/data=!4m7!3m6!1s0x39653d8935508c05:0xb32be801454ba503!8m2!3d24.5440411!4d76.1711871!16s%2Fg%2F11t6394fm7!19sChIJBYxQNYk9ZTkRA6VLRQHoK7M?authuser=0&hl=en&rclk=1,"24.544041099999998,76.1711871"
masjid-e-vajhi,Mosque,"G5MC+RH8 masjid-e-vajhi, Bajaj Khana, Jhalrapatan, Rajasthan 326023",Bajaj Khana,G5MC+RH8,Jhalrapatan,326023,Rajasthan,IN,https://www.google.com/maps/place/masjid-e-vajhi/data=!4m7!3m6!1s0x39653d46d1a150cf:0x4a4c5c7e51f86aa5!8m2!3d24.534547!4d76.171458!16s%2Fg%2F11g0g65pkh!19sChIJz1Ch0UY9ZTkRpWr4UX5cTEo?authuser=0&hl=en&rclk=1,"24.534547,76.171458"
