name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Rauze Wali Masjid,Mosque,"Rauze Wali Masjid, 10A/58, Prayagraj, Uttar Pradesh 211019",,10A/58,Prayagraj,211019,Uttar Pradesh,IN,https://www.google.com/maps/place/Rauze+Wali+Masjid/data=!4m7!3m6!1s0x39854ada6cd8ff7d:0x3017adb249d3897!8m2!3d25.426788!4d81.9027966!16s%2Fg%2F11dfsn5vyt!19sChIJff_YbNpKhTkRlzidJNt6AQM?authuser=0&hl=en&rclk=1,"25.426788,81.9027966"
Shahi Masjid msjd,Mosque,"Shahi Masjid msjd, Jhusi, Prayagraj, Uttar Pradesh 211019",,,"Jhusi, Prayagraj",211019,Uttar Pradesh,IN,https://www.google.com/maps/place/Shahi+Masjid+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x39854ad0829a82dd:0x9844b3859327528a!8m2!3d25.4276876!4d81.9022004!16s%2Fg%2F11b90fz_bm!19sChIJ3YKagtBKhTkRilInk4WzRJg?authuser=0&hl=en&rclk=1,"25.4276876,81.9022004"
Masjid Anwar Market,Mosque,"CWJ5+79W Masjid Anwar Market, Jhusi, Prayagraj, Uttar Pradesh 211019",,CWJ5+79W,"Jhusi, Prayagraj",211019,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Anwar+Market/data=!4m7!3m6!1s0x39854b3b743d3c95:0x8f4423621814e422!8m2!3d25.4307419!4d81.9084439!16s%2Fg%2F11mhzm9v95!19sChIJlTw9dDtLhTkRIuQUGGIjRI8?authuser=0&hl=en&rclk=1,"25.430741899999997,81.9084439"
Yunus Masjid,Mosque,"CWP4+VPP Yunus Masjid, New Gangeli Sivala, New Jhusi, Jhusi, Uttar Pradesh 211019",Jhusi,"CWP4+VPP, New Gangeli Sivala, New Jhusi","Jhusi, Prayagraj",211019,Uttar Pradesh,IN,https://www.google.com/maps/place/Yunus+Masjid/data=!4m7!3m6!1s0x39854ad4fc427239:0x213803da92b0627d!8m2!3d25.4372109!4d81.906843!16s%2Fg%2F11bycl2ywd!19sChIJOXJC_NRKhTkRfWKwktoDOCE?authuser=0&hl=en&rclk=1,"25.4372109,81.906843"
Jhunsi Masjid,Mosque,"CWFC+FWM Jhunsi Masjid, Jhusi, Prayagraj, Uttar Pradesh 211019",,CWFC+FWM,"Jhusi, Prayagraj",211019,Uttar Pradesh,IN,https://www.google.com/maps/place/Jhunsi+Masjid/data=!4m7!3m6!1s0x39854b3b6855994d:0xf8d851264d9ec6d6!8m2!3d25.42371!4d81.9223079!16s%2Fg%2F11fx89xs7w!19sChIJTZlVaDtLhTkR1saeTSZR2Pg?authuser=0&hl=en&rclk=1,"25.42371,81.92230789999999"
Pathnai wali Masjid ( Raza masjid),Mosque,"CWG2+CXP Pathnai wali Masjid ( Raza masjid), Haveliya, Jhusi, Prayagraj, Uttar Pradesh 211019",Haveliya,CWG2+CXP,"Jhusi, Prayagraj",211019,Uttar Pradesh,IN,https://www.google.com/maps/place/Pathnai+wali+Masjid+%28+Raza+masjid%29/data=!4m7!3m6!1s0x39854ada6d4c70ed:0xb6e05428d44e12f1!8m2!3d25.4260843!4d81.9024542!16s%2Fg%2F11g8wh3k0c!19sChIJ7XBMbdpKhTkR8RJO1ChU4LY?authuser=0&hl=en&rclk=1,"25.4260843,81.9024542"
Zakir Shah Masjid,Religious destination,"CWH2+9X6 Zakir Shah Masjid, Jhusi, Prayagraj, Uttar Pradesh 211019",,CWH2+9X6,"Jhusi, Prayagraj",211019,Uttar Pradesh,IN,https://www.google.com/maps/place/Zakir+Shah+Masjid/data=!4m7!3m6!1s0x39854ad0900bf3ef:0x4bf7e95a8b90985b!8m2!3d25.4284092!4d81.9023882!16s%2Fg%2F11g8kw73d8!19sChIJ7_MLkNBKhTkRW5iQi1rp90s?authuser=0&hl=en&rclk=1,"25.428409199999997,81.90238819999999"
Jhunsi Eid Gaah,Mosque,"CWM2+GFX Jhunsi Eid Gaah, Jhusi, Prayagraj, Uttar Pradesh 211019",,CWM2+GFX,"Jhusi, Prayagraj",211019,Uttar Pradesh,IN,https://www.google.com/maps/place/Jhunsi+Eid+Gaah/data=!4m7!3m6!1s0x39854ad22eb6b58b:0x38de6b352bff5873!8m2!3d25.4338672!4d81.9012315!16s%2Fg%2F11dxf12qp4!19sChIJi7W2LtJKhTkRc1j_KzVr3jg?authuser=0&hl=en&rclk=1,"25.433867199999998,81.9012315"
Turkana masjid,Mosque,"CWQ3+PVH Turkana masjid, Jhusi, Prayagraj, Uttar Pradesh 211019",,CWQ3+PVH,"Jhusi, Prayagraj",211019,Uttar Pradesh,IN,https://www.google.com/maps/place/Turkana+masjid/data=!4m7!3m6!1s0x39854b9a4610e53f:0x9b5a517340685949!8m2!3d25.4393183!4d81.9047296!16s%2Fg%2F11fnbfqyy0!19sChIJP-UQRppLhTkRSVloQHNRWps?authuser=0&hl=en&rclk=1,"25.4393183,81.9047296"
Real Qasba Masjid,Mosque,"CWH3+862 Real Qasba Masjid, Jhusi, Prayagraj, Uttar Pradesh 211019",,CWH3+862,"Jhusi, Prayagraj",211019,Uttar Pradesh,IN,https://www.google.com/maps/place/Real+Qasba+Masjid/data=!4m7!3m6!1s0x39854b798a8d2253:0xd17a9cc4aafa1ed2!8m2!3d25.4282747!4d81.9030061!16s%2Fg%2F11f631ckhm!19sChIJUyKNinlLhTkR0h76qsScetE?authuser=0&hl=en&rclk=1,"25.4282747,81.9030061"
