place_id,place_name,about,link
ChIJwaU1xuqEBjsRp47HtGf81_Y,pilaal msjit,All,https://lh5.googleusercontent.com/p/AF1QipN_wEcYqZys_F-txQyWvDWqg8sZ_K-1E8HIZiS9=w224-h497-k-no
ChIJwaU1xuqEBjsRp47HtGf81_Y,pilaal msjit,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zYkiMiEnNtUMK9Zc7O1KgA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=33.591106&pitch=0&thumbfov=100
ChIJ5Y2NBeuEBjsR3Rd19oFGqPo,Al Masjidul Mubarak,All,https://lh5.googleusercontent.com/p/AF1QipNqgMMGOts-ME4EKSVAnq515FeYonaUwELv6Crz=w224-h298-k-no
ChIJ5Y2NBeuEBjsR3Rd19oFGqPo,Al Masjidul Mubarak,Dome,https://lh5.googleusercontent.com/p/AF1QipNrQ1MrOOR4KzA3SsC_1Ge6Wp-kzkCCdAwJlvjm=w224-h330-k-no
ChIJvVrYxPqEBjsR-hobFTQJH0s,mkkaa nkr msjit,All,https://lh5.googleusercontent.com/p/AF1QipOG9R_qpLk0tb2cgmD15mMu1YW_OpnMWVDsV1kX=w397-h298-k-no
ChIJvVrYxPqEBjsR-hobFTQJH0s,mkkaa nkr msjit,Dome,https://lh5.googleusercontent.com/p/AF1QipNxQ2lmRbnX3FPKoP6bHSon0ec_8mzkBzcZ2fEP=w224-h433-k-no
ChIJvVrYxPqEBjsR-hobFTQJH0s,mkkaa nkr msjit,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7fiBbHrVumI8n5UsC221Bg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=222.84853&pitch=0&thumbfov=100
ChIJxVsXvfGEBjsRlT5scRJoFuc,Masjid Al Aqsa,All,https://lh5.googleusercontent.com/p/AF1QipOii33Ie694--pxUAdmyPhcoIjZ8BdKgHqHKnYU=w650-h298-k-no
ChIJxVsXvfGEBjsRlT5scRJoFuc,Masjid Al Aqsa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OISAOHJG5rFfuBWngfrquw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=291.0302&pitch=0&thumbfov=100
ChIJB0HFfvKEBjsRSv2zZt6US60,Madina Nagar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOp6S-V4_wtIYcgFxEy3PP28grbrUsSM8LeHA1k=w224-h298-k-no-pi-10-ya15.999991-ro-0-fo100
ChIJB0HFfvKEBjsRSv2zZt6US60,Madina Nagar Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOwgbKdaKUx1XLwbSblcbOzUAhbYYJjoZoxQE_a=w397-h298-k-no
ChIJB0HFfvKEBjsRSv2zZt6US60,Madina Nagar Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPVlsOkfKzxTKpve5cYztllT3GJvfENM7puaETO=w224-h298-k-no-pi-10-ya221-ro-0-fo100
ChIJxdxPH-6EBjsRIRI9hQ7IMdQ,Nathahar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMVj0Qha-ZJbjDSy1Qj9hGzm3749ZCyRcCHfnY=w529-h298-k-no
ChIJxdxPH-6EBjsRIRI9hQ7IMdQ,Nathahar Masjid,Shrine,https://lh5.googleusercontent.com/p/AF1QipMVj0Qha-ZJbjDSy1Qj9hGzm3749ZCyRcCHfnY=w529-h298-k-no
ChIJxdxPH-6EBjsRIRI9hQ7IMdQ,Nathahar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6OWY0_q4B2C_txfoDJv6Bg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=77.22772&pitch=0&thumbfov=100
ChIJExF7g-uEBjsRPuVN8e-XnxE,Naina Muhammad Jumma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNFpJtyhX0qx4BiS5BzuNSzc_ZXZp8GjAmQXPkA=w224-h298-k-no
ChIJExF7g-uEBjsRPuVN8e-XnxE,Naina Muhammad Jumma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HS9riiDfYPJZzdGg3QGayw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=250.60991&pitch=0&thumbfov=100
ChIJk2v8pcGEBjsRtMs0tov1VSk,Mavadikkal Jumma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN9rMBXzzwcBLPPJ5yIsTYj29adkJnZa-jHA7Gr=w397-h298-k-no
ChIJfcMx6CaFBjsRa7SYvGSOKPE,peettttai kaatr mukaitiinnn jumaa msjit,All,https://lh5.googleusercontent.com/p/AF1QipPdzJ6ylAg48T00CZ9Jjo0naljOJZ73avvb3-wd=w396-h298-k-no
ChIJfcMx6CaFBjsRa7SYvGSOKPE,peettttai kaatr mukaitiinnn jumaa msjit,Dome,https://lh5.googleusercontent.com/p/AF1QipOqH6kY3x3Mo7kI4osJyIq8FbAD3Goo3zJVGT6n=w224-h298-k-no
ChIJfcMx6CaFBjsRa7SYvGSOKPE,peettttai kaatr mukaitiinnn jumaa msjit,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qOyGtJwYRv0Nm8Ra1jnSnA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=195.90738&pitch=0&thumbfov=100
ChIJAc_v6OyEBjsRvB2wbiMhqpk,Naina Muhammad Jumma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMjriI5lOszopsS-TRiEFkA3Fjuk8JK1xui0E7o=w224-h298-k-no
