place_id,place_name,about,link
ChIJaQ657zLvDDkRX7ctD_SPdMw,Masjid Abu Bakar,All,https://lh5.googleusercontent.com/p/AF1QipPG99RGm_weuN1ColNulCZ80BYMh8HTwPj6UPNU=w529-h298-k-no
ChIJ5e9r_TTvDDkRB2nz2PGI8so,"Masjid Ar Raheem-ud-deen, Kakrala. msjd lrHym ldyn. khkhrl",All,https://lh5.googleusercontent.com/p/AF1QipOvh2dxSNi5XnjvSEXT9i5YZXb_NPXVV_HjzA2g=w529-h298-k-no
ChIJ5e9r_TTvDDkRB2nz2PGI8so,"Masjid Ar Raheem-ud-deen, Kakrala. msjd lrHym ldyn. khkhrl",Dome,https://lh5.googleusercontent.com/p/AF1QipNz5fc8JUtM9fZWLbIfDujwW9GHOZwucRvzIm_r=w529-h298-k-no
ChIJP-yLGOLpDDkRIdn-SPn0rJU,Hasan Raza Jama Masjid (Barelvi),All,https://lh5.googleusercontent.com/p/AF1QipPUjtrZVS_SKQLzvHZO6yt6NOL0cGF4p4fR9cDD=w224-h398-k-no
ChIJP-yLGOLpDDkRIdn-SPn0rJU,Hasan Raza Jama Masjid (Barelvi),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NlnJ-HHoNDpg2QGXgfZwWg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=10.52449&pitch=0&thumbfov=100
ChIJLZ0WoIfvDDkRMYcWjVXzkJs,Masjid-Mohammadi Madrasa Islahul Muslimeen Pustapar Kakrala Sector 80 Noida,All,https://lh5.googleusercontent.com/p/AF1QipP3_Ug53XK2KEMg6ZSQVKN1jezVNUNlUwYFR9tw=w224-h398-k-no
ChIJLZ0WoIfvDDkRMYcWjVXzkJs,Masjid-Mohammadi Madrasa Islahul Muslimeen Pustapar Kakrala Sector 80 Noida,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DENB7e1isK9YzHQVTg_UDA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=174.59537&pitch=0&thumbfov=100
ChIJReY1VX_vDDkRbdnnUk5kVFA,Sabbir Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMq7AdviB8SA9wk0dkYuGu3YsjTAw_vkbf5pkAK=w529-h298-k-no
ChIJReY1VX_vDDkRbdnnUk5kVFA,Sabbir Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipOc7LAHR9YMYXkSaQ3FzW_QNPze8fTUM_9zrqNh=w529-h298-k-no
ChIJReY1VX_vDDkRbdnnUk5kVFA,Sabbir Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipO3WR0S2pCquP3gYkllAvXC47_9CSAI8Ab3vGqa=w529-h298-k-no
