place_id,place_name,about,link
ChIJ60H8TC05BDsRX1QvyN0zyZ4,Kallidaikurichi Rahmath Jumma Mosque,All,https://lh5.googleusercontent.com/p/AF1QipP-1Zc0xOCXPSw3ER-7T9hqqqgAhAsBljrhfCIx=w224-h398-k-no
ChIJ60H8TC05BDsRX1QvyN0zyZ4,Kallidaikurichi Rahmath Jumma Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KRglAd0B2taAXo6Y7S-i9g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=112.0921&pitch=0&thumbfov=100
ChIJ60H8TC05BDsRX1QvyN0zyZ4,Kallidaikurichi Rahmath Jumma Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipNttGH0QE66Tn4Vlxz6YQxoBhpyXUqmHoLvzyIS=w397-h298-k-no
ChIJeU0DMzE5BDsREN32_5HVA9k,Small Masjid cinnnnnn pllllivaacl,All,https://lh5.googleusercontent.com/p/AF1QipPUW4uTVIssT1ZYC4EWUF5kpTEBCmC1zdgur6Qq=w224-h407-k-no
ChIJ03TJ4DM5BDsRVIKv3fcUtug,BIG JUMMA MASJID AREA periy jiimaa pllllivaacl vttttaarm,All,https://lh5.googleusercontent.com/p/AF1QipMoGk0RJT2Z5vWGknbCD-_ZIwj_ClOFSx_HgN1J=w224-h298-k-no
ChIJ03TJ4DM5BDsRVIKv3fcUtug,BIG JUMMA MASJID AREA periy jiimaa pllllivaacl vttttaarm,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Jv8ksMRIFGVJe1_TUGgwMQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=24.06846&pitch=0&thumbfov=100
ChIJLcCXWy05BDsRqZZ5CtD706k,TNTJ Markas tvhiit mrkks,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QZzk87cZ_Io3tURR7l0cdg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=49.12344&pitch=0&thumbfov=100
ChIJLcCXWy05BDsRqZZ5CtD706k,TNTJ Markas tvhiit mrkks,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QZzk87cZ_Io3tURR7l0cdg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=49.12344&pitch=0&thumbfov=100
ChIJz6Ik4DM5BDsRzOZ4059f_kE,Big Jumma Mosque periy jiimaa pllllivaacl,All,https://lh5.googleusercontent.com/p/AF1QipOPFwC9Zxg7dcKQbGM88R8p0hXnB6ol1yR42EKN=w529-h298-k-no
ChIJz6Ik4DM5BDsRzOZ4059f_kE,Big Jumma Mosque periy jiimaa pllllivaacl,Dome,https://lh5.googleusercontent.com/p/AF1QipN9a3NT6kBR7gCnrpXT50RQNyW59xQB1FSGeUNf=w397-h298-k-no
ChIJz6Ik4DM5BDsRzOZ4059f_kE,Big Jumma Mosque periy jiimaa pllllivaacl,Videos,https://lh5.googleusercontent.com/p/AF1QipPIed79ic8RnA-hMTANvhKRScTZyZos1AFwJ0jP=w224-h344-k-no
ChIJz6Ik4DM5BDsRzOZ4059f_kE,Big Jumma Mosque periy jiimaa pllllivaacl,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RX2HzgrF8CZ-3etoUsh9tA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=15.943124&pitch=0&thumbfov=100
ChIJabNz_5A5BDsRbuw4YPvMsLQ,Al Jamiul Anwar Jummah Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOWn7WSNuAUfeprU4dfdds04ulTnMGvwwAnskOv=w612-h298-k-no
ChIJr7fIVM0-BDsRFCRYx0rd7i8,Rahmath Jumma Masjid-Old,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9y6ZeiOP1liO5TDc7Hv4tQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=201.00502&pitch=0&thumbfov=100
ChIJr7fIVM0-BDsRFCRYx0rd7i8,Rahmath Jumma Masjid-Old,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9y6ZeiOP1liO5TDc7Hv4tQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=201.00502&pitch=0&thumbfov=100
ChIJm54ArjM5BDsRP1YzQJbDTHg,Mohideen Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPcKNp-LyQ8XXb9ickwYxDeCWxSNFGU98aYUtyF=w397-h298-k-no
ChIJm54ArjM5BDsRP1YzQJbDTHg,Mohideen Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=76qIO9qKIUKtZQQgYcv_ng&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=90.20071&pitch=0&thumbfov=100
ChIJ2Q8-VjI5BDsRW0hr7K0Thq4,"Pattariyar St, mosque",All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aNw5ZM8uFdjNusIbwdrUmQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=64.15486&pitch=0&thumbfov=100
ChIJ2Q8-VjI5BDsRW0hr7K0Thq4,"Pattariyar St, mosque",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aNw5ZM8uFdjNusIbwdrUmQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=64.15486&pitch=0&thumbfov=100
