name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Kamarhati Badi Masjid,Mosque,"Kamarhati Badi Masjid, new line, Sabji Bagan Rd, Kamarhati, Kolkata, West Bengal 700058",Kamarhati,"new line, Sabji Bagan Rd",Kolkata,700058,West Bengal,IN,https://www.google.com/maps/place/Kamarhati+Badi+Masjid/data=!4m7!3m6!1s0x39f89c5957fe6eb7:0x9e921699476e6ff1!8m2!3d22.6763298!4d88.3675103!16s%2Fg%2F1tp1x707!19sChIJt27-V1mc-DkR8W9uR5kWkp4?authuser=0&hl=en&rclk=1,"22.676329799999998,88.36751029999999"
Noori Jamia Masjid,Mosque,"Noori Jamia Masjid, 110, PB Ghat Rd, Kamarhati, Agarpara, Panihati, West Bengal 700058","Kamarhati, Agarpara","110, PB Ghat Rd",Panihati,700058,West Bengal,IN,https://www.google.com/maps/place/Noori+Jamia+Masjid/data=!4m7!3m6!1s0x39f89c5d77d64389:0xbda4efbdc760e456!8m2!3d22.6822623!4d88.3700771!16s%2Fg%2F1thtm_zh!19sChIJiUPWd12c-DkRVuRgx73vpL0?authuser=0&hl=en&rclk=1,"22.682262299999998,88.37007709999999"
Gaushia Islahi Masjid,Mosque,"Gaushia Islahi Masjid, 92, Craig St, Kamarhati, Agarpara, Panihati, West Bengal 700058","Kamarhati, Agarpara","92, Craig St",Panihati,700058,West Bengal,IN,https://www.google.com/maps/place/Gaushia+Islahi+Masjid/data=!4m7!3m6!1s0x39f89c5c3a1618e7:0x68337308caacb817!8m2!3d22.6793258!4d88.3685001!16s%2Fg%2F11c1p2k_xt!19sChIJ5xgWOlyc-DkRF7isyghzM2g?authuser=0&hl=en&rclk=1,"22.679325799999997,88.36850009999999"
Agarpara Jama Masjid Kamarhati,Mosque,"3, Agarpara Jama Masjid Kamarhati, 1, Graham Rd, Kamarhati, Ariadaha, Panihati, West Bengal 700058","Kamarhati, Ariadaha","3, 1, Graham Rd",Panihati,700058,West Bengal,IN,https://www.google.com/maps/place/Agarpara+Jama+Masjid+Kamarhati/data=!4m7!3m6!1s0x39f89c4355d1754b:0x2310ce6c3c38de8c!8m2!3d22.677446!4d88.3726847!16s%2Fg%2F11hblpqphq!19sChIJS3XRVUOc-DkRjN44PGzOECM?authuser=0&hl=en&rclk=1,"22.677446,88.3726847"
Noorani Masjid,Mosque,"Noorani Masjid, Anwar Bagan, 700058, Kamarhati, Kolkata","Rojan Bagan, Kamarhati","Anwar Bagan, 700058",Kolkata,,West Bengal,IN,https://www.google.com/maps/place/Noorani+Masjid/data=!4m7!3m6!1s0x39f89c5a4c02a0ed:0x2152282b81572a68!8m2!3d22.6737944!4d88.3692233!16s%2Fg%2F11g6vjnjdm!19sChIJ7aACTFqc-DkRaCpXgSsoUiE?authuser=0&hl=en&rclk=1,"22.6737944,88.3692233"
Umar Mosque,Mosque,"Umar Mosque, 67, Kamarhati, Agarpara, Panihati, West Bengal 700109","Kamarhati, Agarpara",67,Panihati,700109,West Bengal,IN,https://www.google.com/maps/place/Umar+Mosque/data=!4m7!3m6!1s0x39f89c5d1ce8514b:0x5bb2a9072ccfc39e!8m2!3d22.6796679!4d88.3705281!16s%2Fg%2F11dxj2g2_v!19sChIJS1HoHF2c-DkRnsPPLAepsls?authuser=0&hl=en&rclk=1,"22.6796679,88.3705281"
Masjid wa Madarsah Muhammadia,Mosque,"Masjid wa Madarsah Muhammadia, 90, Mackenzie Rd, Toot Bagan, Rojan Bagan, Kamarhati, Ariadaha, Kolkata, West Bengal 700058","Toot Bagan, Rojan Bagan, Kamarhati, Ariadaha","90, Mackenzie Rd",Kolkata,700058,West Bengal,IN,https://www.google.com/maps/place/Masjid+wa+Madarsah+Muhammadia/data=!4m7!3m6!1s0x39f89c5be003eaf5:0x11b267b679af7636!8m2!3d22.6758673!4d88.3676492!16s%2Fg%2F11c7157jq8!19sChIJ9eoD4Fuc-DkRNnavebZnshE?authuser=0&hl=en&rclk=1,"22.6758673,88.3676492"
Raza Jama Masjid,Mosque,"Raza Jama Masjid, 65/1, Dasu Babu Bagan, Kamarhati, Kolkata, West Bengal 700058",Kamarhati,"65/1, Dasu Babu Bagan",Kolkata,700058,West Bengal,IN,https://www.google.com/maps/place/Raza+Jama+Masjid/data=!4m7!3m6!1s0x39f89d8637b0827d:0x1b13593ef7ec8b3a!8m2!3d22.6758815!4d88.3708708!16s%2Fg%2F11g1k7dnj2!19sChIJfYKwN4ad-DkROovs9z5ZExs?authuser=0&hl=en&rclk=1,"22.6758815,88.37087079999999"
Hazrat Bilal Masjid,Mosque,"M9F8+3PH Hazrat Bilal Masjid, Kamarhati, Kolkata, West Bengal 700057",Kamarhati,M9F8+3PH,Kolkata,,West Bengal,IN,https://www.google.com/maps/place/Hazrat+Bilal+Masjid/data=!4m7!3m6!1s0x39f89d45de2110e5:0x4c53063d035909a6!8m2!3d22.6726916!4d88.3668676!16s%2Fg%2F11gq_sxyqj!19sChIJ5RAh3kWd-DkRpglZAz0GU0w?authuser=0&hl=en&rclk=1,"22.6726916,88.36686759999999"
Kamarhati Muhammadi Masjid,Mosque,"Kamarhati Muhammadi Masjid, 91, Toot Bagan, Nehaboot Nagar, Ariadaha, Kolkata, West Bengal 700058","Toot Bagan, Nehaboot Nagar, Ariadaha",91,Kolkata,700058,West Bengal,IN,https://www.google.com/maps/place/Kamarhati+Muhammadi+Masjid/data=!4m7!3m6!1s0x39f89c595f7d8a37:0x4f11f54687d4420a!8m2!3d22.6758702!4d88.3676388!16s%2Fg%2F11gdsfdp85!19sChIJN4p9X1mc-DkRCkLUh0b1EU8?authuser=0&hl=en&rclk=1,"22.6758702,88.3676388"
