name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
MASJID E ABUBAKAR (KANIGIRI ),Mosque,"MASJID E ABUBAKAR (KANIGIRI ), NGO Colony Main Rd, Near venkateswara hall, Kanigiri, Andhra Pradesh 523230",,"NGO Colony Main Rd, Near venkateswara hall",Kanigiri,523230,Andhra Pradesh,IN,https://www.google.com/maps/place/MASJID+E+ABUBAKAR+%28KANIGIRI+%29/data=!4m7!3m6!1s0x3a4b2ee3abc8020b:0x7637ab28e02cebf7!8m2!3d15.4075359!4d79.5125728!16s%2Fg%2F11c6ql991p!19sChIJCwLIq-MuSzoR9-ss4CirN3Y?authuser=0&hl=en&rclk=1,"15.4075359,79.5125728"
"Bilal Masjid, Ov Road, Kanigiri",Mosque,"CG33+R4G Bilal Masjid, Ov Road, Kanigiri, NH565, Kanigiri, Andhra Pradesh 523230",,"CG33+R4G, NH565",Kanigiri,523230,Andhra Pradesh,IN,"https://www.google.com/maps/place/Bilal+Masjid,+Ov+Road,+Kanigiri/data=!4m7!3m6!1s0x3a4b2eefe9bf1e37:0x891df0f517ef2065!8m2!3d15.4045634!4d79.5028377!16s%2Fg%2F11fx99p8p9!19sChIJNx6_6e8uSzoRZSDvF_XwHYk?authuser=0&hl=en&rclk=1","15.404563399999999,79.5028377"
MASJID-E-ALI,Mosque,"CG23+Q6H MASJID-E-ALI, Kanigiri, Andhra Pradesh 523230",,CG23+Q6H,Kanigiri,,Andhra Pradesh,IN,https://www.google.com/maps/place/MASJID-E-ALI/data=!4m7!3m6!1s0x3a4b2ef06b08a8f5:0xee72ab6e4e3f211d!8m2!3d15.4019338!4d79.5031016!16s%2Fg%2F11ggsn0jyt!19sChIJ9agIa_AuSzoRHSE_Tm6rcu4?authuser=0&hl=en&rclk=1,"15.4019338,79.5031016"
"CHOTI MASJID, Kanigiri (Dargah masjid)",Mosque,"CG42+VF CHOTI MASJID, Kanigiri (Dargah masjid), Kanigiri, Andhra Pradesh 523230",,CG42+VF,Kanigiri,523230,Andhra Pradesh,IN,"https://www.google.com/maps/place/CHOTI+MASJID,+Kanigiri+%28Dargah+masjid%29/data=!4m7!3m6!1s0x3a4b2fd4bfe99581:0xa890ad146d8477ad!8m2!3d15.4071542!4d79.5010749!16s%2Fg%2F11s18gxgp5!19sChIJgZXpv9QvSzoRrXeEbRStkKg?authuser=0&hl=en&rclk=1","15.407154199999999,79.50107489999999"
Usman Masjid,Mosque,"CG32+G2X Usman Masjid, Kanigiri, Andhra Pradesh 523230",,CG32+G2X,Kanigiri,523230,Andhra Pradesh,IN,https://www.google.com/maps/place/Usman+Masjid/data=!4m7!3m6!1s0x3a4b2eee23b83deb:0x17220ce0fd09b58e!8m2!3d15.4038551!4d79.5001133!16s%2Fg%2F11gfjsdsdb!19sChIJ6z24I-4uSzoRjrUJ_eAMIhc?authuser=0&hl=en&rclk=1,"15.4038551,79.5001133"
"MARKAZ MASJID, (KANIGIRI)",Mosque,"CG43+Q46 MARKAZ MASJID, (KANIGIRI), Kanigiri, Andhra Pradesh 523230",,CG43+Q46,Kanigiri,,Andhra Pradesh,IN,"https://www.google.com/maps/place/MARKAZ+MASJID,+%28KANIGIRI%29/data=!4m7!3m6!1s0x3a4b2f245b3d1ab1:0xd6793072c367ecb3!8m2!3d15.4069142!4d79.5027596!16s%2Fg%2F11mc6yt85p!19sChIJsRo9WyQvSzoRs-xnw3IwedY?authuser=0&hl=en&rclk=1","15.4069142,79.50275959999999"
Kanigiri Eidgah,Mosque,"CF7X+C82 Kanigiri Eidgah, NH565, Muslims Funeral Ground, Kanigiri, Andhra Pradesh 523245",Muslims Funeral Ground,"CF7X+C82, NH565",Kanigiri,523245,Andhra Pradesh,IN,https://www.google.com/maps/place/Kanigiri+Eidgah/data=!4m7!3m6!1s0x3a4b2f0f7739110f:0x23e9955291c8f781!8m2!3d15.4135042!4d79.4982682!16s%2Fg%2F11r6l461r1!19sChIJDxE5dw8vSzoRgffIkVKV6SM?authuser=0&hl=en&rclk=1,"15.413504199999998,79.4982682"
Usman Mosque,Mosque,"CG33+GC5 Usman Mosque, NH565, Kanigiri, Andhra Pradesh 523230",,"CG33+GC5, NH565",Kanigiri,523230,Andhra Pradesh,IN,https://www.google.com/maps/place/Usman+Mosque/data=!4m7!3m6!1s0x3a4b2eeffd0047f1:0x367e2dd211be2d6f!8m2!3d15.403764!4d79.503597!16s%2Fg%2F11cn0ltwyp!19sChIJ8UcA_e8uSzoRby2-EdItfjY?authuser=0&hl=en&rclk=1,"15.403763999999999,79.503597"
"mdinaa-ee-msjiid, knigiri - MADINA-E-MASJID, KANIGIRI",Mosque,"CG52+C8H mdinaa-ee-msjiid, knigiri - MADINA-E-MASJID, KANIGIRI, Kanigiri, Andhra Pradesh 523245",,CG52+C8H,Kanigiri,523245,Andhra Pradesh,IN,"https://www.google.com/maps/place/%E0%B0%AE%E0%B0%A6%E0%B0%BF%E0%B0%A8%E0%B0%BE-%E0%B0%8F-%E0%B0%AE%E0%B0%B8%E0%B1%8D%E0%B0%9C%E0%B1%80%E0%B0%A6%E0%B1%8D,+%E0%B0%95%E0%B0%A8%E0%B0%BF%E0%B0%97%E0%B0%BF%E0%B0%B0%E0%B0%BF+-+MADINA-E-MASJID,+KANIGIRI/data=!4m7!3m6!1s0x3a4b2fe9018a6b75:0x8de286f88193a78a!8m2!3d15.4085625!4d79.5008594!16s%2Fg%2F11stzb2xdg!19sChIJdWuKAekvSzoRiqeTgfiG4o0?authuser=0&hl=en&rclk=1","15.408562499999999,79.5008594"
Masjid e ayesha,Mosque,"CG52+C8H Masjid e ayesha, Kanigiri, Andhra Pradesh 523245",,CG52+C8H,Kanigiri,523245,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid+e+ayesha/data=!4m7!3m6!1s0x3a4b2f55cbf701ed:0x3df1cf513830f2ec!8m2!3d15.4085625!4d79.5008594!16s%2Fg%2F11kpz1zld1!19sChIJ7QH3y1UvSzoR7PIwOFHP8T0?authuser=0&hl=en&rclk=1,"15.408562499999999,79.5008594"
Masjid- e- suffah,Mosque,"Masjid- e- suffah, masjid, Forest office, Karanam Bazar Rd, opposite Main Road, Kothapeta, vaddepalem, Kanigiri, Andhra Pradesh 523230",Kothapeta,"masjid, Forest office, Karanam Bazar Rd, opposite Main Road","vaddepalem, Kanigiri",523230,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid-+e-+suffah/data=!4m7!3m6!1s0x3a4b2f8b587794ed:0x2326ffec2dd5657b!8m2!3d15.4019445!4d79.5091583!16s%2Fg%2F11v5dv_gz3!19sChIJ7ZR3WIsvSzoRe2XVLez_JiM?authuser=0&hl=en&rclk=1,"15.401944499999999,79.5091583"
piirl caaviddi knigiri,Mosque,"CG52+28G piirl caaviddi knigiri, Kanigiri, Andhra Pradesh 523230",,CG52+28G,Kanigiri,523230,Andhra Pradesh,IN,https://www.google.com/maps/place/%E0%B0%AA%E0%B1%80%E0%B0%B0%E0%B1%8D%E0%B0%B2+%E0%B0%9A%E0%B0%BE%E0%B0%B5%E0%B0%BF%E0%B0%A1%E0%B0%BF+%E0%B0%95%E0%B0%A8%E0%B0%BF%E0%B0%97%E0%B0%BF%E0%B0%B0%E0%B0%BF/data=!4m7!3m6!1s0x3a4b2f1fc3f7be6d:0x5b660a0264326e33!8m2!3d15.4074313!4d79.50053!16s%2Fg%2F11t7vqpdw1!19sChIJbb73wx8vSzoRM24yZAIKZls?authuser=0&hl=en&rclk=1,"15.407431299999999,79.50053"
