name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
"Khidma Juma Masjid,Unity Centre Kakkad",Mosque,"Khidma Juma Masjid,Unity Centre Kakkad, opposite Kannur Municipal Corporation Zonal Office, Puzhathi, Kerala 670005",,opposite Kannur Municipal Corporation Zonal Office,Puzhathi,670005,Kerala,IN,"https://www.google.com/maps/place/Khidma+Juma+Masjid,Unity+Centre+Kakkad/data=!4m7!3m6!1s0x3ba43ddffcb9d63f:0xb29cb347a6acee22!8m2!3d11.8967953!4d75.3847225!16s%2Fg%2F11sqqb8s0k!19sChIJP9a5_N89pDsRIu6spkeznLI?authuser=0&hl=en&rclk=1","11.896795299999999,75.3847225"
Kannur City Juma MASJID,Mosque,"V96H+CCX Kannur City Juma MASJID, City - chirakkal kulam, road, Kannur, Kerala 670007",Thavakkara,"V96H+CCX, City - chirakkal kulam, road",Kannur,670007,Kerala,IN,https://www.google.com/maps/place/Kannur+City+Juma+MASJID/data=!4m7!3m6!1s0x3ba422d1ad17796d:0x95302d59ffc4ff35!8m2!3d11.8611111!4d75.3786111!16s%2Fg%2F1tkks97n!19sChIJbXkXrdEipDsRNf_E_1ktMJU?authuser=0&hl=en&rclk=1,"11.861111099999999,75.3786111"
JUMA MASJID KANNUR BUS STAND,Mosque,"V9G8+PMQ JUMA MASJID KANNUR BUS STAND, Yogasala Rd, Talap, Kannur, Kerala 670001",Talap,"V9G8+PMQ, Yogasala Rd",Kannur,670001,Kerala,IN,https://www.google.com/maps/place/JUMA+MASJID+KANNUR+BUS+STAND/data=!4m7!3m6!1s0x3ba43d364b975eab:0x48f75eb25cc68e6f!8m2!3d11.8768446!4d75.3667246!16s%2Fg%2F124yb46sp!19sChIJq16XSzY9pDsRb47GXLJe90g?authuser=0&hl=en&rclk=1,"11.8768446,75.3667246"
Thana Zakkariya Juma Masjid,Mosque,"V9FM+F4R Thana Zakkariya Juma Masjid, Thana - Anayidukku Rd, Thana, Kannur, Kerala 670012",Thana,"V9FM+F4R, Thana - Anayidukku Rd",Kannur,670012,Kerala,IN,https://www.google.com/maps/place/Thana+Zakkariya+Juma+Masjid/data=!4m7!3m6!1s0x3ba43d2b8fcbfa73:0x20db2e0e03531985!8m2!3d11.8737289!4d75.3827564!16s%2Fg%2F1ptxshsk5!19sChIJc_rLjys9pDsRhRlTAw4u2yA?authuser=0&hl=en&rclk=1,"11.8737289,75.38275639999999"
Chalad Juma Masjid,Mosque,"V9M3+4PR Chalad Juma Masjid, Manal, Kannur, Kerala 670014",Manal,V9M3+4PR,Kannur,670014,Kerala,IN,https://www.google.com/maps/place/Chalad+Juma+Masjid/data=!4m7!3m6!1s0x3ba43d44c2644f8d:0x94581e47f2caad7d!8m2!3d11.8828583!4d75.3542751!16s%2Fg%2F1ths7sq3!19sChIJjU9kwkQ9pDsRfa3K8kceWJQ?authuser=0&hl=en&rclk=1,"11.882858299999999,75.3542751"
Camp Bazar Juma Masjid,Mosque,"Camp Bazar Juma Masjid, MA Rd, Kannur, Kerala 670001",,MA Rd,Kannur,670001,Kerala,IN,https://www.google.com/maps/place/Camp+Bazar+Juma+Masjid/data=!4m7!3m6!1s0x3ba43d359e592ce9:0x9f4885022f8f5c5b!8m2!3d11.8712405!4d75.365677!16s%2Fg%2F1hc1cd4j7!19sChIJ6SxZnjU9pDsRW1yPLwKFSJ8?authuser=0&hl=en&rclk=1,"11.871240499999999,75.36567699999999"
Burnassery Muhiyudheen Juma Masjid,Mosque,"V967+44M Burnassery Muhiyudheen Juma Masjid, Burnacherry, Kannur, Kerala 670013",Burnacherry,V967+44M,Kannur,670013,Kerala,IN,https://www.google.com/maps/place/Burnassery+Muhiyudheen+Juma+Masjid/data=!4m7!3m6!1s0x3ba422b64a8efb53:0xfcae227c6ff5f736!8m2!3d11.8603273!4d75.3627874!16s%2Fg%2F11c2pmm5fw!19sChIJU_uOSrYipDsRNvf1b3wirvw?authuser=0&hl=en&rclk=1,"11.8603273,75.3627874"
Chirakkal kulam Juma Masjid.,Mosque,"V97G+FM6 Chirakkal kulam Juma Masjid., Thavakkara, Kannur, Kerala 670007",Thavakkara,V97G+FM6,Kannur,670007,Kerala,IN,https://www.google.com/maps/place/Chirakkal+kulam+Juma+Masjid./data=!4m7!3m6!1s0x3ba422d1f8a33507:0xd710ef8561548f5e!8m2!3d11.8636582!4d75.376634!16s%2Fg%2F1pv0c008p!19sChIJBzWj-NEipDsRXo9UYYXvENc?authuser=0&hl=en&rclk=1,"11.8636582,75.376634"
Madeena Masjid,Mosque,"V9C7+9WJ Madeena Masjid, Rajiv Gandhi Rd, Kannur, Kerala 670001",,"V9C7+9WJ, Rajiv Gandhi Rd",Kannur,670001,Kerala,IN,https://www.google.com/maps/place/Madeena+Masjid/data=!4m7!3m6!1s0x3ba43d357c479539:0x8186eb94c2b665cb!8m2!3d11.870968!4d75.3647706!16s%2Fg%2F1tycv21b!19sChIJOZVHfDU9pDsRy2W2wpTrhoE?authuser=0&hl=en&rclk=1,"11.870968,75.3647706"
"Mohyidheen juma Masjid, Ayikara",Mosque,"V95G+QG3 Mohyidheen juma Masjid, Ayikara, Ayikkara Government Hospital Rd, Thavakkara, Kannur, Kerala 670003",Thavakkara,"V95G+QG3, Ayikkara Government Hospital Rd",Kannur,670003,Kerala,IN,"https://www.google.com/maps/place/Mohyidheen+juma+Masjid,+Ayikara/data=!4m7!3m6!1s0x3ba422d01fb9857f:0x86b658e57a3f01db!8m2!3d11.8593957!4d75.376293!16s%2Fg%2F124ykrgfw!19sChIJf4W5H9AipDsR2wE_euVYtoY?authuser=0&hl=en&rclk=1","11.8593957,75.37629299999999"
Masjid Al-Abrar,Mosque,"Masjid Al-Abrar, Nr. Caltex junction,, Kannur, Kerala 670001",Thavakkara,"Nr. Caltex junction,",Kannur,670001,Kerala,IN,https://www.google.com/maps/place/Masjid+Al-Abrar/data=!4m7!3m6!1s0x3ba43d3221299005:0xafe01c65e45362f8!8m2!3d11.8743668!4d75.3747789!16s%2Fg%2F11c0x8c9b8!19sChIJBZApITI9pDsR-GJT5GUc4K8?authuser=0&hl=en&rclk=1,"11.874366799999999,75.3747789"
