place_id,place_name,about,link
ChIJq4OmsNqFkTkR4eRZwnkPpks,Masjid Sabarahad,All,https://lh5.googleusercontent.com/p/AF1QipOtj-aayIeOWVxWKAuI94bLl1nl-WT2bzL1Wd91=w530-h298-k-no
ChIJX6fg875HCzkRkle7G2vABGc,Karanpur kalan Masjid madina,All,https://lh5.googleusercontent.com/p/AF1QipOovymqLnmlQPPXBsfQRQ2u4PPDGpIM46H3mQgR=w397-h298-k-no
ChIJX6fg875HCzkRkle7G2vABGc,Karanpur kalan Masjid madina,Videos,https://lh5.googleusercontent.com/p/AF1QipPlrdzeQWh9zA3aqEZ7AphwycsxsiXgm32WIGWE=w224-h398-k-no
ChIJQxnBXuJRmDkRS7Ldzi6nRDs,Masjid.Karanpur,All,https://lh5.googleusercontent.com/p/AF1QipOhVMURyu40gCitJYMfYneG9yx7juaJk4p4fWRo=w224-h298-k-no
ChIJM291BoSBPTkREBq7pJn0_jI,Jama masjid,All,https://lh5.googleusercontent.com/p/AF1QipOWUdLhmavQzTeYM9W69WDoB28e2RALVm9Wqosj=w224-h398-k-no
ChIJq6qq6rI6mzkRDPtfUw6d06g,Jama Masjid Karanpur,All,https://lh5.googleusercontent.com/p/AF1QipNnww8n6JwO6MvhUJXIkHS9KnKdZqRN2WPy4xtK=w224-h398-k-no
ChIJ_Wuwj4h_7jkRLcZBnnFFWN8,"KARANPUR JAMA MASJID,Md Firoz",All,https://lh5.googleusercontent.com/p/AF1QipOeqvkni8sXMdj2SzxPbqGJO88s_VMKMRtXC5v2=w224-h298-k-no
ChIJ_Wuwj4h_7jkRLcZBnnFFWN8,"KARANPUR JAMA MASJID,Md Firoz",Dome,https://lh5.googleusercontent.com/p/AF1QipMMOk5VdLD67mE5tmW4I4Icy-SK4UZTD0REnsi7=w529-h298-k-no
ChIJ_Wuwj4h_7jkRLcZBnnFFWN8,"KARANPUR JAMA MASJID,Md Firoz",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vkV2Xup_TczJGlBo4XpRoA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=92.474655&pitch=0&thumbfov=100
ChIJS_rElvttmTkRf1CRsNewtmE,Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMwke2v9PMbqJwXKcMS0rm4uV2V-iF7hLzyZCpP=w528-h298-k-no
ChIJE3z-S5fPNzoRbjTrID7nopo,Masjid (Mosque),All,https://lh5.googleusercontent.com/p/AF1QipM83_49V6JkejupPzXj9jrm5veMGsAQ1SPu6WcY=w529-h298-k-no
ChIJE3z-S5fPNzoRbjTrID7nopo,Masjid (Mosque),Latest,https://lh5.googleusercontent.com/p/AF1QipMvMENa39jzgZ-GPsZl-Vtmfbi_nbf4Eq_YKtmy=w224-h398-k-no
