name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
"Jama Masjid, Kasganj, Uttar Pradesh",Mosque,"RJ6X+H27 Jama Masjid, Kasganj, Uttar Pradesh, Mohalla Nawab, Tarora, Kasganj, Uttar Pradesh 207123","Mohalla Nawab, Tarora",RJ6X+H27,Kasganj,207123,Uttar Pradesh,IN,"https://www.google.com/maps/place/Jama+Masjid,+Kasganj,+Uttar+Pradesh/data=!4m7!3m6!1s0x3974e0198fcad4a7:0xa00cc18488091ab5!8m2!3d27.8114079!4d78.647555!16s%2Fg%2F11b7kfx4c0!19sChIJp9TKjxngdDkRtRoJiITBDKA?authuser=0&hl=en&rclk=1","27.8114079,78.647555"
Sunni Bareilvi Masjid,Mosque,"RJ5V+C5W Sunni Bareilvi Masjid, Tarora, Kasganj, Uttar Pradesh 207123",Tarora,RJ5V+C5W,Kasganj,207123,Uttar Pradesh,IN,https://www.google.com/maps/place/Sunni+Bareilvi+Masjid/data=!4m7!3m6!1s0x3974e017abb101f9:0xb0df44abba820c34!8m2!3d27.8086197!4d78.6429447!16s%2Fg%2F11gfjbxm5r!19sChIJ-QGxqxfgdDkRNAyCuqtE37A?authuser=0&hl=en&rclk=1,"27.808619699999998,78.6429447"
Noori Jama Masjid,Mosque,"RJ6R+JJ9 Noori Jama Masjid, Tarora, Kasganj, Uttar Pradesh 207123",Tarora,RJ6R+JJ9,Kasganj,207123,Uttar Pradesh,IN,https://www.google.com/maps/place/Noori+Jama+Masjid/data=!4m7!3m6!1s0x3974e016cb5dd13d:0x8a79c9b37c22fce0!8m2!3d27.8115348!4d78.641623!16s%2Fg%2F11gc89k687!19sChIJPdFdyxbgdDkR4PwifLPJeYo?authuser=0&hl=en&rclk=1,"27.8115348,78.641623"
Masjid Ahle-Hadis Kasganj,Mosque,"RJ6W+F9X Masjid Ahle-Hadis Kasganj, Gappu ka chauraha, Tarora, Kasganj, Uttar Pradesh 207123",Tarora,"RJ6W+F9X, Gappu ka chauraha",Kasganj,207123,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Ahle-Hadis+Kasganj/data=!4m7!3m6!1s0x3974e019fb36d9fd:0xd39844cf6893b269!8m2!3d27.8112465!4d78.6459853!16s%2Fg%2F11fy4d1x30!19sChIJ_dk2-xngdDkRabKTaM9EmNM?authuser=0&hl=en&rclk=1,"27.8112465,78.64598529999999"
Masjid Rangrezan,Mosque,"RJ4V+CJ3 Masjid Rangrezan, Nadrai Gate Main Market Rd, Kasganj, Uttar Pradesh 207123",,"RJ4V+CJ3, Nadrai Gate Main Market Rd",Kasganj,207123,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Rangrezan/data=!4m7!3m6!1s0x3974e03d64219a23:0xac5e1da9f0606f5!8m2!3d27.8060101!4d78.6440324!16s%2Fg%2F11bxfn09r7!19sChIJI5ohZD3gdDkR9QYGn9rhxQo?authuser=0&hl=en&rclk=1,"27.806010099999998,78.6440324"
Masjid Niyariyan,Place of worship,"Masjid Niyariyan, near, Atrauli - Chharra - Kasganj Rd, Kasganj, Uttar Pradesh 207123",Tarora,"near, Atrauli - Chharra - Kasganj Rd",Kasganj,207123,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Niyariyan/data=!4m7!3m6!1s0x3974e01722a6e649:0x95ca54475eb9a890!8m2!3d27.8103042!4d78.6433339!16s%2Fg%2F11bxjs7k1z!19sChIJSeamIhfgdDkRkKi5XkdUypU?authuser=0&hl=en&rclk=1,"27.810304199999997,78.6433339"
Masjid Ek Minar,Mosque,"RJ7W+45J Masjid Ek Minar, SH 33, Tarora, Kasganj, Uttar Pradesh 207123",Tarora,"RJ7W+45J, SH 33",Kasganj,207123,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Ek+Minar/data=!4m7!3m6!1s0x3974e123b01265e5:0x9ef9a0ee7699c233!8m2!3d27.8128375!4d78.6454006!16s%2Fg%2F11p78pnvlm!19sChIJ5WUSsCPhdDkRM8KZdu6g-Z4?authuser=0&hl=en&rclk=1,"27.812837499999997,78.6454006"
BARKATEE masjid,Mosque,"RJ7R+MJC BARKATEE masjid, Tarora, Kasganj, Uttar Pradesh 207123",Tarora,RJ7R+MJC,Kasganj,207123,Uttar Pradesh,IN,https://www.google.com/maps/place/BARKATEE+masjid/data=!4m7!3m6!1s0x3974e1bef6a8cff5:0x8b9c89f23c5992a8!8m2!3d27.8141794!4d78.6415209!16s%2Fg%2F11h_bqwd98!19sChIJ9c-o9r7hdDkRqJJZPPKJnIs?authuser=0&hl=en&rclk=1,"27.8141794,78.6415209"
Sarai Masjid,Mosque,"RJ6X+VCM Sarai Masjid, Kasganj, Uttar Pradesh 207123",,RJ6X+VCM,Kasganj,207123,Uttar Pradesh,IN,https://www.google.com/maps/place/Sarai+Masjid/data=!4m7!3m6!1s0x3974e19b651da5cf:0xa026295c8d31868!8m2!3d27.8122204!4d78.6485432!16s%2Fg%2F11hzblkvhj!19sChIJz6UdZZvhdDkRaBjTyJViAgo?authuser=0&hl=en&rclk=1,"27.812220399999998,78.64854319999999"
Madina Masjid(Railway Masjid),Mosque,"RJ7X+5WJ Madina Masjid(Railway Masjid), Kasganj, Uttar Pradesh 207123",,RJ7X+5WJ,Kasganj,207123,Uttar Pradesh,IN,https://www.google.com/maps/place/Madina+Masjid%28Railway+Masjid%29/data=!4m7!3m6!1s0x3974e01bdd5e66b5:0xf92d1b72af9b9c5c!8m2!3d27.81295!4d78.6497591!16s%2Fg%2F11c5_0yl3m!19sChIJtWZe3RvgdDkRXJybr3IbLfk?authuser=0&hl=en&rclk=1,"27.812949999999997,78.6497591"
