place_id,place_name,about,link
ChIJh-X01ggDBjsR2Y3mtXcGl2M,Masjid Mubarak Ahmadiyya muslim jamaath,All,https://lh5.googleusercontent.com/p/AF1QipOfHP3uV5QAzX8tOXN-TSd7Ic5MUIKzLDQjZHVA=w224-h398-k-no
ChIJh-X01ggDBjsR2Y3mtXcGl2M,Masjid Mubarak Ahmadiyya muslim jamaath,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8xVUE-MOgJ3E7x5tX_PFqQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=169.31569&pitch=0&thumbfov=100
ChIJDZe-dowQBjsRinUicTDBsbM,Athikkattukulangara Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMBmzpgaCixpfjoeF71cRg96aPpT7gzsdPzikMR=w224-h398-k-no
ChIJDZe-dowQBjsRinUicTDBsbM,Athikkattukulangara Juma Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOmaORAK9YUmOyctFQ9JYp7EgH7CvCECdbJrp3h=w529-h298-k-no
ChIJDZe-dowQBjsRinUicTDBsbM,Athikkattukulangara Juma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOWNgI8WAQyZ-nV4GlKKZFu03EyiVAz0oJLD54i=w224-h398-k-no
ChIJDZe-dowQBjsRinUicTDBsbM,Athikkattukulangara Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eehb8-iV5F8r7FMS1fOVzw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=195.49594&pitch=0&thumbfov=100
ChIJxYnFKUwbBjsRkShR5RVUzGg,Kanjippuzha Muslim Jama Ath,All,https://lh5.googleusercontent.com/p/AF1QipNfpqTs41Cg6KIzYskcK0fZcocVNnbnxrWMjJpD=w224-h397-k-no
ChIJxYnFKUwbBjsRkShR5RVUzGg,Kanjippuzha Muslim Jama Ath,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GN-xKSPA05M_H3QOhi8jyg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=96.7006&pitch=0&thumbfov=100
ChIJg2u7AjkDBjsRURKDaCpyJ9g,Vavvakkavu Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOZLl81yirqL986aLrtBz1EvOfWRaoQQiUZzH8X=w529-h298-k-no
ChIJg2u7AjkDBjsRURKDaCpyJ9g,Vavvakkavu Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RrF6g7hmguzmhLlXKm-yYg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=66.855194&pitch=0&thumbfov=100
