name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Al Jamiul Azhar Jum'ah Masjid,Mosque,"Al Jamiul Azhar Jum'ah Masjid, KTM Street, Customs Rd, Odakkarai, Kayalpattinam, Tamil Nadu 628204",Odakkarai,"KTM Street, Customs Rd",Kayalpattinam,628204,Tamil Nadu,IN,https://www.google.com/maps/place/Al+Jamiul+Azhar+Jum%27ah+Masjid/data=!4m7!3m6!1s0x3b0391f62c912291:0x18bc1aa952d623d6!8m2!3d8.563398!4d78.1252193!16s%2Fg%2F11dz49pvz7!19sChIJkSKRLPaRAzsR1iPWUqkavBg?authuser=0&hl=en&rclk=1,"8.563398,78.1252193"
KMT Hospital Masjid,Mosque,"H44C+HVV KMT Hospital Masjid, Chinna Nesavu Street, Kayalpattinam, Tamil Nadu 628202","Wavoo Nagar, Odakkarai","H44C+HVV, Chinna Nesavu Street",Kayalpattinam,628202,Tamil Nadu,IN,https://www.google.com/maps/place/KMT+Hospital+Masjid/data=!4m7!3m6!1s0x3b0391fa7616b5f7:0x17309ac3de0e590c!8m2!3d8.5564757!4d78.1221734!16s%2Fg%2F1thxjhdy!19sChIJ97UWdvqRAzsRDFkO3sOaMBc?authuser=0&hl=en&rclk=1,"8.5564757,78.1221734"
Masjid - Thowheed Palli TNTJ,Mosque,"H45F+FJ8 Masjid - Thowheed Palli TNTJ, Wavoo Nagar, Odakkarai, Kayalpattinam, Tamil Nadu 628204","Wavoo Nagar, Odakkarai",H45F+FJ8,Kayalpattinam,628204,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+-+Thowheed+Palli+TNTJ/data=!4m7!3m6!1s0x3b0391f731459d75:0x6b2475af35b3ffa6!8m2!3d8.5586696!4d78.1240636!16s%2Fg%2F11cs0zgj64!19sChIJdZ1FMfeRAzsRpv-zNa91JGs?authuser=0&hl=en&rclk=1,"8.5586696,78.1240636"
Masjid - Kuruvithurai Palli,Mosque,"H47H+78G Masjid - Kuruvithurai Palli, Customs Rd, Odakkarai, Kayalpattinam, Tamil Nadu 628204",Odakkarai,"H47H+78G, Customs Rd",Kayalpattinam,628204,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+-+Kuruvithurai+Palli/data=!4m7!3m6!1s0x3b0391f5fb5ca30d:0xa0b4c3cac5279f00!8m2!3d8.5631991!4d78.128333!16s%2Fg%2F1tg4v88t!19sChIJDaNc-_WRAzsRAJ8nxcrDtKA?authuser=0&hl=en&rclk=1,"8.5631991,78.128333"
Masjid - Magudhoom Jummah Palli,Mosque,"H48F+7CQ Masjid - Magudhoom Jummah Palli, Mogudoom St, Kayalpattinam, Tamil Nadu 628204",,"H48F+7CQ, Mogudoom St",Kayalpattinam,628204,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+-+Magudhoom+Jummah+Palli/data=!4m7!3m6!1s0x3b03921d3cd8c39d:0x978e3a3f5550645a!8m2!3d8.5657247!4d78.1236146!16s%2Fg%2F1tdj_06g!19sChIJncPYPB2SAzsRWmRQVT86jpc?authuser=0&hl=en&rclk=1,"8.565724699999999,78.1236146"
Masjid - Mikaeel (Irattai Kulathu) Palli,Mosque,"H49G+QJH Masjid - Mikaeel (Irattai Kulathu) Palli, Sadukai St, Kayalpattinam, Tamil Nadu 628204",,"H49G+QJH, Sadukai St",Kayalpattinam,628204,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+-+Mikaeel+%28Irattai+Kulathu%29+Palli/data=!4m7!3m6!1s0x3b03921bf4bcff0b:0x49439b6f94f82b6d!8m2!3d8.5694276!4d78.1266027!16s%2Fg%2F11h14mvk1!19sChIJC_-89BuSAzsRbSv4lG-bQ0k?authuser=0&hl=en&rclk=1,"8.5694276,78.12660269999999"
Kadiriya Kodimara Sirnainaar Pally,Mosque,"Kadiriya Kodimara Sirnainaar Pally, Masjid - Kodimarathu Sirunainar Palli, Arampalli Street, Kayalpattinam, Tamil Nadu 628204",,"Masjid - Kodimarathu Sirunainar Palli, Arampalli Street",Kayalpattinam,628204,Tamil Nadu,IN,https://www.google.com/maps/place/Kadiriya+Kodimara+Sirnainaar+Pally/data=!4m7!3m6!1s0x3b03931be87a5eab:0xbf673a876a536a41!8m2!3d8.5652265!4d78.1250171!16s%2Fg%2F11hsnm5f0l!19sChIJq1566BuTAzsRQWpTaoc6Z78?authuser=0&hl=en&rclk=1,"8.5652265,78.1250171"
Masjid - Seyyidina Bilal Palli,Mosque,"H4CH+QGW Masjid - Seyyidina Bilal Palli, Kayalpattinam, Tamil Nadu 628204",,H4CH+QGW,Kayalpattinam,628204,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+-+Seyyidina+Bilal+Palli/data=!4m7!3m6!1s0x3b0392190c612c5b:0x882291227ff9de21!8m2!3d8.5719947!4d78.1288286!16s%2Fg%2F11c6prx6kx!19sChIJWyxhDBmSAzsRId75fyKRIog?authuser=0&hl=en&rclk=1,"8.5719947,78.12882859999999"
Masjid - Periya Kutba Palli,Mosque,"H48G+RHC Masjid - Periya Kutba Palli, Nainar St, Kayalpattinam, Tamil Nadu 628204",,"H48G+RHC, Nainar St",Kayalpattinam,628204,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+-+Periya+Kutba+Palli/data=!4m7!3m6!1s0x3b03921c486e5927:0x4b03b8547f5f4f5d!8m2!3d8.5670652!4d78.1263918!16s%2Fg%2F11rrr0z0_q!19sChIJJ1luSBySAzsRXU9ff1S4A0s?authuser=0&hl=en&rclk=1,"8.5670652,78.1263918"
Masjid - Mohideen Palli,Mosque,"H49F+4RJ Masjid - Mohideen Palli, Kuthukal St, Kayalpattinam, Tamil Nadu 628204",,"H49F+4RJ, Kuthukal St",Kayalpattinam,628204,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+-+Mohideen+Palli/data=!4m7!3m6!1s0x3b03921c8d179d7f:0xa286806f7e46667c!8m2!3d8.5678277!4d78.1245022!16s%2Fg%2F1tgfv1c_!19sChIJf50XjRySAzsRfGZGfm-AhqI?authuser=0&hl=en&rclk=1,"8.5678277,78.1245022"
