name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
BB TRADING COMPANY KENDRAPARA,Oil Wholesaler,"BB TRADING COMPANY KENDRAPARA, New Idgah, By Pass Road, near Imambada Masjid, Badahat, Kendrapara, Odisha 754211",Badahat,"New Idgah, By Pass Road, near Imambada Masjid",Kendrapara,754211,Odisha,IN,https://www.google.com/maps/place/BB+TRADING+COMPANY+KENDRAPARA/data=!4m7!3m6!1s0x3a1bdab4ecd8ffd5:0x2ee3573b502743ff!8m2!3d20.5032139!4d86.4201959!16s%2Fg%2F1hhj2z00d!19sChIJ1f_Y7LTaGzoR_0MnUDtX4y4?authuser=0&hl=en&rclk=1,"20.5032139,86.4201959"
Rasulabad Masjid,Mosque,"Rasulabad Masjid, Gauragop, Kendrapara, Odisha 754211",,,"Gauragop, Kendrapara",754211,Odisha,IN,https://www.google.com/maps/place/Rasulabad+Masjid/data=!4m7!3m6!1s0x3a1bc55000000001:0x384c2da1728b173b!8m2!3d20.5006678!4d86.4176191!16s%2Fg%2F11b6rt9rzt!19sChIJAQAAAFDFGzoROxeLcqEtTDg?authuser=0&hl=en&rclk=1,"20.5006678,86.4176191"
Markazi Masjid Fakirabad,Mosque,"GC29+G97 Markazi Masjid Fakirabad, Fakirabad, Kendrapara, Odisha 754211",Fakirabad,GC29+G97,Kendrapara,754211,Odisha,IN,https://www.google.com/maps/place/Markazi+Masjid+Fakirabad/data=!4m7!3m6!1s0x3a1bdb538ea7630d:0x631bf47583bc80e!8m2!3d20.5017979!4d86.4186311!16s%2Fg%2F11fl7n6rgm!19sChIJDWOnjlPbGzoRDsg7WEe_MQY?authuser=0&hl=en&rclk=1,"20.5017979,86.4186311"
RAZA MASJID RANPARA MADINA BAZAR,Mosque,"RAZA MASJID RANPARA MADINA BAZAR, Kendrapara Bypass Rd, Kendrapara, Garapur, Odisha 754211",,Kendrapara Bypass Rd,"Kendrapara, Garapur",754211,Odisha,IN,https://www.google.com/maps/place/RAZA+MASJID+RANPARA+MADINA+BAZAR/data=!4m7!3m6!1s0x3a1bc535a23aa3e5:0x41c8e4d80d7f1333!8m2!3d20.5103507!4d86.4214259!16s%2Fg%2F11f2w5ss8w!19sChIJ5aM6ojXFGzoRMxN_DdjkyEE?authuser=0&hl=en&rclk=1,"20.5103507,86.4214259"
Noori masjid Ranapada,Mosque,"Noori masjid Ranapada, Kendrapara, Garapur, Odisha 754211",,,"Kendrapara, Garapur",754211,Odisha,IN,https://www.google.com/maps/place/Noori+masjid+Ranapada/data=!4m7!3m6!1s0x3a1bc575f5e8e8d3:0xa97b1f4c8a015d0b!8m2!3d20.5108942!4d86.4233071!16s%2Fg%2F11vdwwkx7c!19sChIJ0-jo9XXFGzoRC10Bikwfe6k?authuser=0&hl=en&rclk=1,"20.5108942,86.4233071"
SUNNI HABIBI MASJID MANTRIPADA,Mosque,"H925+72J SUNNI HABIBI MASJID MANTRIPADA, at-mantripada, po-fakirabad, dist, Mantripada, Odisha",,"H925+72J, at-mantripada, po-fakirabad, dist",Mantripada,,Odisha,IN,https://www.google.com/maps/place/SUNNI+HABIBI+MASJID+MANTRIPADA/data=!4m7!3m6!1s0x3a1bdbc0991ab61b:0xcb6123be76c4242c!8m2!3d20.5507004!4d86.3575179!16s%2Fg%2F11gfgdcdl4!19sChIJG7YamcDbGzoRLCTEdr4jYcs?authuser=0&hl=en&rclk=1,"20.5507004,86.35751789999999"
Akbari Masjid,Mosque,"Akbari Masjid, Dilarpur, Kendrapara, Odisha 754211",,,"Dilarpur, Kendrapara",754211,Odisha,IN,https://www.google.com/maps/place/Akbari+Masjid/data=!4m7!3m6!1s0x3a1bdab4ee1d9fcf:0x2a6b78e65df59892!8m2!3d20.5045884!4d86.4167792!16s%2Fg%2F11f15gj3pl!19sChIJz58d7rTaGzoRkpj1XeZ4ayo?authuser=0&hl=en&rclk=1,"20.5045884,86.4167792"
Gausia Masjid Jamara,Mosque,"HC83+86W Gausia Masjid Jamara, Dihamugubadi, Odisha 754211",,HC83+86W,Dihamugubadi,754211,Odisha,IN,https://www.google.com/maps/place/Gausia+Masjid+Jamara/data=!4m7!3m6!1s0x3a1bdbb49444b21b:0x3812eb987cd66ec!8m2!3d20.565851!4d86.403092!16s%2Fg%2F11f62lv149!19sChIJG7JElLTbGzoR7GbNh7kugQM?authuser=0&hl=en&rclk=1,"20.565851,86.403092"
Baabe Raza Jaipura Sunni Masjid,Mosque,"Baabe Raza Jaipura Sunni Masjid, Jaipura, Kendrapara, Odisha 754211",Jaipura,,Kendrapara,754211,Odisha,IN,https://www.google.com/maps/place/Baabe+Raza+Jaipura+Sunni+Masjid/data=!4m7!3m6!1s0x3a1bc54a1075b0c1:0x1fc9f6ed08ad5c74!8m2!3d20.5078534!4d86.4231068!16s%2Fg%2F11gflsjr6t!19sChIJwbB1EErFGzoRdFytCO32yR8?authuser=0&hl=en&rclk=1,"20.5078534,86.4231068"
Masjid Mohammadi Kendrapara,Mosque,"GC4C+M97 Masjid Mohammadi Kendrapara, Garapur Main Rd, Kendrapara, Odisha 754211",,"GC4C+M97, Garapur Main Rd",Kendrapara,754211,Odisha,IN,https://www.google.com/maps/place/Masjid+Mohammadi+Kendrapara/data=!4m7!3m6!1s0x3a1bc54af133e493:0x2edd9f10489cf026!8m2!3d20.5066727!4d86.4209097!16s%2Fg%2F11c7sxmpcj!19sChIJk-Qz8UrFGzoRJvCcSBCf3S4?authuser=0&hl=en&rclk=1,"20.5066727,86.4209097"
"Jama Masjid, Mirzapatna",Mosque,"G9JQ+V4H Jama Masjid, Mirzapatna, Kendrapara Indupur Road, Gualsingh, Odisha 754211",,"G9JQ+V4H, Kendrapara Indupur Road",Gualsingh,754211,Odisha,IN,"https://www.google.com/maps/place/Jama+Masjid,+Mirzapatna/data=!4m7!3m6!1s0x3a1bdb02af27743d:0xd0dff154fcca8308!8m2!3d20.5321988!4d86.3878718!16s%2Fg%2F11g6bv7g55!19sChIJPXQnrwLbGzoRCIPK_FTx39A?authuser=0&hl=en&rclk=1","20.5321988,86.3878718"
AHMADDIYA MASJID,Mosque,"GC38+V89 AHMADDIYA MASJID, Badahat, Kendrapara, Odisha 754211",Badahat,GC38+V89,Kendrapara,754211,Odisha,IN,https://www.google.com/maps/place/AHMADDIYA+MASJID/data=!4m7!3m6!1s0x3a1bdab45a2baa03:0xb34e85ce4ce2cfbf!8m2!3d20.5046531!4d86.4158697!16s%2Fg%2F11f1t0zgzg!19sChIJA6orWrTaGzoRv8_iTM6FTrM?authuser=0&hl=en&rclk=1,"20.5046531,86.4158697"
NEW EIDGAH,Mosque,"GC48+QHX NEW EIDGAH, Kendrapara, Odisha 754211",,GC48+QHX,Kendrapara,754211,Odisha,IN,https://www.google.com/maps/place/NEW+EIDGAH/data=!4m7!3m6!1s0x3a1bdab50b5cec05:0x3469d7be20053678!8m2!3d20.5069931!4d86.4164829!16s%2Fg%2F1232p3nm9!19sChIJBexcC7XaGzoReDYFIL7XaTQ?authuser=0&hl=en&rclk=1,"20.5069931,86.41648289999999"
Tahiyatul Masjid (Sunni Masjid),Mosque,"G9QF+3JC Tahiyatul Masjid (Sunni Masjid), Haladia, Thakurpatna, Odisha",,"G9QF+3JC, Haladia","Thakurpatna, Thakurhat",,Odisha,IN,https://www.google.com/maps/place/Tahiyatul+Masjid+%28Sunni+Masjid%29/data=!4m7!3m6!1s0x3a1bdb602177f3a5:0xed0c0d73464e5a57!8m2!3d20.5376911!4d86.3740286!16s%2Fg%2F11fjz34nb5!19sChIJpfN3IWDbGzoRV1pORnMNDO0?authuser=0&hl=en&rclk=1,"20.5376911,86.3740286"
"Jama Masjid Palasingha, Gogua",Mosque,"HFCJ+HXM Jama Masjid Palasingha, Gogua, Palasingha, Odisha 754211",,HFCJ+HXM,Palasingha,754211,Odisha,IN,"https://www.google.com/maps/place/Jama+Masjid+Palasingha,+Gogua/data=!4m7!3m6!1s0x3a1bc5b83ff370dd:0x6bf48786d48fee0a!8m2!3d20.5714529!4d86.4824374!16s%2Fg%2F11jh6fhyz8!19sChIJ3XDzP7jFGzoRCu6P1IaH9Gs?authuser=0&hl=en&rclk=1","20.5714529,86.4824374"
Idghamohallah Masjid,Mosque,"GC47+PP3 Idghamohallah Masjid, Kendrapara, Odisha 754211",,GC47+PP3,Kendrapara,,Odisha,IN,https://www.google.com/maps/place/Idghamohallah+Masjid/data=!4m7!3m6!1s0x3a1bdb8402bd7293:0xf129812d1d044aa5!8m2!3d20.5067693!4d86.4142816!16s%2Fg%2F11nmrqc1cl!19sChIJk3K9AoTbGzoRpUoEHS2BKfE?authuser=0&hl=en&rclk=1,"20.5067693,86.4142816"
SUNNI TAHITUL MASJID DAWATPUR,Mosque,"GC92+V77 SUNNI TAHITUL MASJID DAWATPUR, Nageswarpur, Odisha 754211",,GC92+V77,Nageswarpur,754211,Odisha,IN,https://www.google.com/maps/place/SUNNI+TAHITUL+MASJID+DAWATPUR/data=!4m7!3m6!1s0x3a1bdb4de1224891:0xb2448df20bed9a9!8m2!3d20.5196681!4d86.4006706!16s%2Fg%2F11fngyy92v!19sChIJkUgi4U3bGzoRqdm-IN9IJAs?authuser=0&hl=en&rclk=1,"20.5196681,86.4006706"
New Tahiyatul masjid,Mosque,"G9PF+Q85 New Tahiyatul masjid, Haladia, Thakurpatna, Odisha 754250",,"G9PF+Q85, Haladia","Thakurpatna, Thakurhat",754250,Odisha,IN,https://www.google.com/maps/place/New+Tahiyatul+masjid/data=!4m7!3m6!1s0x3a1bdb321399f9a1:0x658fd5d49e531f4d!8m2!3d20.5368885!4d86.3733683!16s%2Fg%2F11m0qy924v!19sChIJofmZEzLbGzoRTR9TntTVj2U?authuser=0&hl=en&rclk=1,"20.5368885,86.3733683"
Sunni Markazi masjid EmamBada kendrapara,Mosque,"Sunni Markazi masjid EmamBada kendrapara, New Idgah By Pass, Main Rd, near Imambada Masjid, Badahat, Kendrapara, Odisha 754211",Badahat,"New Idgah By Pass, Main Rd, near Imambada Masjid",Kendrapara,754211,Odisha,IN,https://www.google.com/maps/place/Sunni+Markazi+masjid+EmamBada+kendrapara/data=!4m7!3m6!1s0x3a1bdb5b009260eb:0x11d4819904e1437b!8m2!3d20.5042818!4d86.4171476!16s%2Fg%2F11sjk0sv98!19sChIJ62CSAFvbGzoRe0PhBJmB1BE?authuser=0&hl=en&rclk=1,"20.504281799999998,86.41714759999999"
