place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJh9kRXt78DDkRXz0GaSM3Kd8,Zeenat-ul Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPAZltlIiyo5p54WppVA0IuZvXqOiJhoAU23HCX=w224-h298-k-no
ChIJh9kRXt78DDkRXz0GaSM3Kd8,Zeenat-ul Masjid,Latest,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fwVqLAWtGxy2VQCKLfJDuQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=309.9164&pitch=0&thumbfov=100
ChIJh9kRXt78DDkRXz0GaSM3Kd8,Zeenat-ul Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipP1O4FA-nsQB6qHzPA2JfZV4FmhOeT9coSdiC2-=w529-h298-k-no
ChIJh9kRXt78DDkRXz0GaSM3Kd8,Zeenat-ul Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNmYSo5EWS5bmrGbl3Onaod4d2X7wMKw0byBYKZ=w529-h298-k-no
ChIJh9kRXt78DDkRXz0GaSM3Kd8,Zeenat-ul Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMyIZDosikfjVGxABOuv-U7DWWeb3VxdmOFq6aQ=w224-h298-k-no-pi-14.630224-ya355.61093-ro-0-fo100
ChIJWf6g4HH-DDkRuO2NgNaxaek,Ameena Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM3m8xCVBUw2yfic00WNo6xzwkaTC-JIzjFAkN0=w238-h298-k-no
ChIJadFzh8_jDDkRZat8EvWdjhc,Eros Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNDE632qDRC2B-Db-iItVhr7D5xBo9H89mRmmSv=w529-h298-k-no
ChIJadFzh8_jDDkRZat8EvWdjhc,Eros Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hAjHHIaJWZOOJasRnQD6aA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=183.59102&pitch=0&thumbfov=100
ChIJadFzh8_jDDkRZat8EvWdjhc,Eros Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipN2uZwNh1xy9xk1GvNuLueEm_D_jVhXxeMHTc8A=w224-h398-k-no
ChIJVVZXQhEeDTkRtHipwKRveoM,Pankhe Wali Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1qFGZw7YRQFIYwbzjgdayg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=206.42548&pitch=0&thumbfov=100
ChIJVVZXQhEeDTkRtHipwKRveoM,Pankhe Wali Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1qFGZw7YRQFIYwbzjgdayg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=206.42548&pitch=0&thumbfov=100
ChIJ7Xl-qyb9DDkREDJO6Uu1AIA,"BADI MASJID, RAKAB GANJ",All,https://lh5.googleusercontent.com/p/AF1QipNM7Rd031vGhjiZyue-2lsp3C69QUwaZZX3omMs=w224-h398-k-no
ChIJ7Xl-qyb9DDkREDJO6Uu1AIA,"BADI MASJID, RAKAB GANJ",Videos,https://lh5.googleusercontent.com/p/AF1QipNM7Rd031vGhjiZyue-2lsp3C69QUwaZZX3omMs=w224-h398-k-no
ChIJXzCjaRT9DDkRM5WoqcqYPyE,Masjid Hanfia,All,https://lh5.googleusercontent.com/p/AF1QipOveeko-Yn9HV-HEbE7jsgeZFJpgnm1KBpkaIA5=w224-h298-k-no
ChIJDcqzD0L9DDkR-Vu-imzJ1ig,Qadri Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_eCE45TTpHLpI4TEgNrPnA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=288.04147&pitch=0&thumbfov=100
ChIJDcqzD0L9DDkR-Vu-imzJ1ig,Qadri Masjid,Latest,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_eCE45TTpHLpI4TEgNrPnA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=288.04147&pitch=0&thumbfov=100
ChIJDcqzD0L9DDkR-Vu-imzJ1ig,Qadri Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_eCE45TTpHLpI4TEgNrPnA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=288.04147&pitch=0&thumbfov=100
